comune,anno,mese,presenze_mese,presenze_stimate,superficie_kmq,densita_turistica,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2022,1,71.43,True,39.816,1.79,12,True
Abbasanta,2022,2,165.2,True,39.816,4.15,12,True
Abbasanta,2022,3,85.98,True,39.816,2.16,12,True
Abbasanta,2022,4,456.19,True,39.816,11.46,12,True
Abbasanta,2022,5,821.85,True,39.816,20.64,12,True
Abbasanta,2022,6,1249.68,True,39.816,31.39,12,True
Abbasanta,2022,7,1297.84,True,39.816,32.6,12,True
Abbasanta,2022,8,1629.76,True,39.816,40.93,12,True
Abbasanta,2022,9,1252.15,True,39.816,31.45,12,True
Abbasanta,2022,10,182.85,True,39.816,4.59,12,True
Abbasanta,2022,11,80.66,True,39.816,2.03,12,True
Abbasanta,2022,12,91.42,True,39.816,2.3,12,True
Aggius,2022,1,8.02,True,86.445,0.09,12,True
Aggius,2022,2,7.21,True,86.445,0.08,12,True
Aggius,2022,3,9.65,True,86.445,0.11,12,True
Aggius,2022,4,18.88,True,86.445,0.22,12,True
Aggius,2022,5,23.79,True,86.445,0.28,12,True
Aggius,2022,6,42.52,True,86.445,0.49,12,True
Aggius,2022,7,215.4,True,86.445,2.49,12,True
Aggius,2022,8,384.72,True,86.445,4.45,12,True
Aggius,2022,9,36.96,True,86.445,0.43,12,True
Aggius,2022,10,20.53,True,86.445,0.24,12,True
Aggius,2022,11,9.06,True,86.445,0.1,12,True
Aggius,2022,12,10.27,True,86.445,0.12,12,True
Aglientu,2022,1,2.67,True,148.358,0.02,12,True
Aglientu,2022,2,2.4,True,148.358,0.02,12,True
Aglientu,2022,3,3.22,True,148.358,0.02,12,True
Aglientu,2022,4,3691.29,True,148.358,24.88,12,True
Aglientu,2022,5,11052.93,True,148.358,74.5,12,True
Aglientu,2022,6,43395.17,True,148.358,292.5,12,True
Aglientu,2022,7,102732.47,True,148.358,692.46,12,True
Aglientu,2022,8,114575.24,True,148.358,772.29,12,True
Aglientu,2022,9,46445.32,True,148.358,313.06,12,True
Aglientu,2022,10,9527.84,True,148.358,64.22,12,True
Aglientu,2022,11,3.02,True,148.358,0.02,12,True
Aglientu,2022,12,3.42,True,148.358,0.02,12,True
Ales,2022,1,9.0,False,22.204,0.41,11,True
Ales,2022,3,22.0,False,22.204,0.99,11,True
Ales,2022,4,102.0,False,22.204,4.59,11,True
Ales,2022,5,60.0,False,22.204,2.7,11,True
Ales,2022,6,103.0,False,22.204,4.64,11,True
Ales,2022,7,125.0,False,22.204,5.63,11,True
Ales,2022,8,232.0,False,22.204,10.45,11,True
Ales,2022,9,112.0,False,22.204,5.04,11,True
Ales,2022,10,73.0,False,22.204,3.29,11,True
Ales,2022,11,26.0,False,22.204,1.17,11,True
Ales,2022,12,35.0,False,22.204,1.58,11,True
Alghero,2022,1,5909.0,False,225.428,26.21,12,True
Alghero,2022,2,7038.0,False,225.428,31.22,12,True
Alghero,2022,3,10622.0,False,225.428,47.12,12,True
Alghero,2022,4,50635.0,False,225.428,224.62,12,True
Alghero,2022,5,100803.0,False,225.428,447.16,12,True
Alghero,2022,6,190100.0,False,225.428,843.28,12,True
Alghero,2022,7,281730.0,False,225.428,1249.76,12,True
Alghero,2022,8,321518.0,False,225.428,1426.26,12,True
Alghero,2022,9,215379.0,False,225.428,955.42,12,True
Alghero,2022,10,86231.0,False,225.428,382.52,12,True
Alghero,2022,11,11036.0,False,225.428,48.96,12,True
Alghero,2022,12,10720.0,False,225.428,47.55,12,True
Arborea,2022,1,280.0,False,94.668,2.96,12,True
Arborea,2022,2,394.0,False,94.668,4.16,12,True
Arborea,2022,3,814.0,False,94.668,8.6,12,True
Arborea,2022,4,2767.0,False,94.668,29.23,12,True
Arborea,2022,5,5892.0,False,94.668,62.24,12,True
Arborea,2022,6,12283.0,False,94.668,129.75,12,True
Arborea,2022,7,20359.0,False,94.668,215.06,12,True
Arborea,2022,8,27557.0,False,94.668,291.09,12,True
Arborea,2022,9,12706.0,False,94.668,134.22,12,True
Arborea,2022,10,8769.0,False,94.668,92.63,12,True
Arborea,2022,11,513.0,False,94.668,5.42,12,True
Arborea,2022,12,138.0,False,94.668,1.46,12,True
Arbus,2022,1,160.0,False,269.273,0.59,12,True
Arbus,2022,2,165.0,False,269.273,0.61,12,True
Arbus,2022,3,145.0,False,269.273,0.54,12,True
Arbus,2022,4,1270.0,False,269.273,4.72,12,True
Arbus,2022,5,2077.0,False,269.273,7.71,12,True
Arbus,2022,6,6256.0,False,269.273,23.23,12,True
Arbus,2022,7,11739.0,False,269.273,43.6,12,True
Arbus,2022,8,15338.0,False,269.273,56.96,12,True
Arbus,2022,9,8570.0,False,269.273,31.83,12,True
Arbus,2022,10,3289.0,False,269.273,12.21,12,True
Arbus,2022,11,898.0,False,269.273,3.33,12,True
Arbus,2022,12,348.0,False,269.273,1.29,12,True
Aritzo,2022,1,40.0,False,75.183,0.53,12,True
Aritzo,2022,2,9.0,False,75.183,0.12,12,True
Aritzo,2022,3,13.0,False,75.183,0.17,12,True
Aritzo,2022,4,71.0,False,75.183,0.94,12,True
Aritzo,2022,5,413.0,False,75.183,5.49,12,True
Aritzo,2022,6,398.0,False,75.183,5.29,12,True
Aritzo,2022,7,448.0,False,75.183,5.96,12,True
Aritzo,2022,8,1302.0,False,75.183,17.32,12,True
Aritzo,2022,9,639.0,False,75.183,8.5,12,True
Aritzo,2022,10,433.0,False,75.183,5.76,12,True
Aritzo,2022,11,58.0,False,75.183,0.77,12,True
Aritzo,2022,12,133.0,False,75.183,1.77,12,True
Arzachena,2022,1,1265.0,False,231.32,5.47,12,True
Arzachena,2022,2,1883.0,False,231.32,8.14,12,True
Arzachena,2022,3,3409.0,False,231.32,14.74,12,True
Arzachena,2022,4,24196.0,False,231.32,104.6,12,True
Arzachena,2022,5,85959.0,False,231.32,371.6,12,True
Arzachena,2022,6,190899.0,False,231.32,825.26,12,True
Arzachena,2022,7,279552.0,False,231.32,1208.51,12,True
Arzachena,2022,8,301763.0,False,231.32,1304.53,12,True
Arzachena,2022,9,221684.0,False,231.32,958.34,12,True
Arzachena,2022,10,76594.0,False,231.32,331.12,12,True
Arzachena,2022,11,14488.0,False,231.32,62.63,12,True
Arzachena,2022,12,1052.0,False,231.32,4.55,12,True
Assemini,2022,1,1245.0,False,118.322,10.52,12,True
Assemini,2022,2,2002.0,False,118.322,16.92,12,True
Assemini,2022,3,1915.0,False,118.322,16.18,12,True
Assemini,2022,4,1039.0,False,118.322,8.78,12,True
Assemini,2022,5,2448.0,False,118.322,20.69,12,True
Assemini,2022,6,2531.0,False,118.322,21.39,12,True
Assemini,2022,7,3171.0,False,118.322,26.8,12,True
Assemini,2022,8,4487.0,False,118.322,37.92,12,True
Assemini,2022,9,2993.0,False,118.322,25.3,12,True
Assemini,2022,10,2206.0,False,118.322,18.64,12,True
Assemini,2022,11,2250.0,False,118.322,19.02,12,True
Assemini,2022,12,1642.0,False,118.322,13.88,12,True
Atzara,2022,1,17.0,False,35.952,0.47,11,True
