,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe
0,112001,Alghero,112001,238,301,263,68,298,112001,225.42827970457023,1.3219281999158976,0.8423979611421021,1.3352362019284738,0.8481130431476374,1.1666681764358424,0.7731905850497817,0.30164804561839276,0.2636311889783663,1.0557681596643747,0.7206495784255589,16.050442963201718,9.456409035712046,17.565300394043078,8.543225148476278,12.735733786154455,13.24735237758403,0.0,2.6565710913877822,16.41077341641526,56.059048493444465,5
1,112002,Anela,112002,1,190,1,3,6,112002,36.78058831958137,0.16312952767005362,0.15111424108390306,5.165768376218365,1.8190127640841045,0.027188254611675605,0.026825219514817873,0.08156476383502681,0.07840884796064511,0.027188254611675605,0.026825219514817873,1.700830615020457,36.585001723825094,0.4093450640804992,2.3100635052894276,0.3279719791460299,10.117675351986525,0.0,2.408536215887865,12.345826515958072,49.67742225497324,5
2,112003,Ardara,112003,2,14,3,4,8,112003,38.17265809463564,0.2095740878239818,0.19026830411048531,0.36675465369196814,0.31243906372002145,0.07859028293399317,0.0756548949187855,0.1047870439119909,0.09965259595510832,0.05239352195599545,0.05106711466904203,2.275961955651871,2.597429590399882,1.1832515497300373,2.967761010843504,0.6320231782351908,2.077162763691584,0.0,1.1240079918182573,1.90249435850115,16.628122223042073,2
3,112004,Banari,112004,0,8,3,2,11,112004,21.3619303607634,0.5149347373683181,0.4153723603887896,0.3744979908133222,0.3180885668638717,0.14043674655499583,0.13141130005127233,0.09362449770333055,0.08949740714902593,0.0,0.0,6.057297792754418,2.6522694479585516,2.1144089548552554,2.6516172569685055,0.0,3.30088107933229,0.0,1.4588199038802343,3.491907557854109,25.242412768518797,3
4,112005,Benetutti,112005,0,153,7,4,19,112005,94.06615535880564,0.20198550613157792,0.1839747779135089,1.6265148651648118,0.9656578210816854,0.07441571278531818,0.07177699082706007,0.04252326444875325,0.04164399045980952,0.0,0.0,2.1819911838805703,11.519302611365548,1.1203994207712307,1.2043367345183456,0.0,3.9391534023375563,0.0,1.5971939404682496,4.32092060930549,28.802603168491608,4
5,112006,Bessude,112006,0,10,1,2,1,112006,26.54436184439998,0.037672783616418654,0.03698049768219587,0.37672783616418654,0.31970955036675897,0.037672783616418654,0.03698049768219587,0.07534556723283731,0.07264206781411973,0.0,0.0,0.1472771921936793,2.6680616573771543,0.5671996324814198,2.1339244664760963,0.0,1.1447271684700908,0.0,0.763012350103676,0.691410546442959,7.340157155644525,1
6,112007,Bonnanaro,112007,0,10,3,4,3,112007,21.989685223837927,0.13642760091662653,0.12788965873236083,0.4547586697220884,0.3748400241327516,0.13642760091662653,0.12788965873236083,0.18190346788883538,0.16712624719609484,0.0,0.0,1.370175854156251,3.220691580423993,2.054047449429983,5.1518393837993735,0.0,2.3998110488087763,0.0,1.2237198561980587,2.3215625677118314,19.193583425747967,2
7,112008,Bono,112008,0,367,21,9,5,112008,74.5704413047276,0.06705069612727384,0.06489848396249848,4.9215210957419,1.7785933577403048,0.28161292373455016,0.24811938134365305,0.12069125302909292,0.11394568512800732,0.0,0.0,0.511069165921554,34.855193779200874,4.239950741910154,3.418197343083964,0.0,10.227838944421311,0.0,2.4183963142946308,12.488911297534061,49.9311102195375,5
8,112009,Bonorva,112009,6,155,13,5,15,112009,149.22547043436245,0.10051903308690069,0.09578191677975811,1.0386966752313072,0.7123107189917984,0.0871164953419806,0.08352877382439017,0.03350634436230023,0.032957238836180555,0.04020761323476028,0.03942032134058783,0.9255136011901717,7.356256975983008,1.3116217968959867,0.9489610423388593,0.48502453275097246,2.5698892933579267,0.0,1.2725345850468335,2.5424668422937358,20.449525171106693,2
9,112010,Borutta,112010,0,3,1,2,5,112010,4.725099529274651,1.0581787683036485,0.7218214987042476,0.6349072609821892,0.4915860816287028,0.21163575366072973,0.19197130919471903,0.42327150732145946,0.3529581001499206,0.0,0.0,12.7843863208051,4.496539826376562,3.1863778084075047,11.987824348634417,0.0,7.394900066812333,0.0,2.127624386564946,8.809379507021987,42.44991323193389,5
10,112011,Bottidda,112011,0,84,1,2,7,112011,33.98057573354573,0.20600004116733014,0.18730913244042444,2.472000494007962,1.244730939081493,0.029428577309618596,0.029003868983512114,0.05885715461923719,0.05719017047609193,0.0,0.0,2.231703893172504,17.507200429451625,0.4430752557183489,1.666942421191554,0.0,5.38496768963706,0.0,1.853946429117284,6.1988007412570605,35.408522658857834,4
11,112012,Bultei,112012,0,406,2,4,6,112012,96.89845614247626,0.06192049119108564,0.06007905296536097,4.189953237263462,1.6467246869760228,0.02064016373036188,0.02043004193080268,0.04128032746072376,0.0404510400874613,0.0,0.0,0.4475409156187192,29.67408432668575,0.31075732022932795,1.1691344824621916,0.0,7.790304992772248,0.0,2.1736494087939113,9.322946886358647,43.634079325071404,5
12,112013,Bulzi,112013,0,8,1,2,3,112013,21.533560035485785,0.1393174187201843,0.13042932757212916,0.3715131165871582,0.315914595029817,0.04643913957339477,0.04539310504784629,0.09287827914678955,0.0888148389918632,0.0,0.0,1.4059609877011132,2.6311299734880467,0.6991854694619166,2.630482980678296,0.0,1.6139803306764735,0.0,0.9608740905664033,1.3008949027005834,12.430891561367021,1
13,112014,Burgos,112014,1,9,4,4,7,112014,18.044786617795427,0.38792367836019365,0.32780887380059,0.4987590150345347,0.40463744237704946,0.2216706733486821,0.20021932635026926,0.2216706733486821,0.20021932635026926,0.055417668337170524,0.05393658274106994,4.484497008329721,3.5323107998445855,3.3374630803890137,6.278119479772487,0.6685034631239223,3.9044876868161307,0.0,1.5901506404300576,4.275895422454445,28.621387892863297,4
14,112015,Cargeghe,112015,0,9,2,3,8,112015,11.83501771541334,0.6759601204129333,0.5163862072737745,0.76045513546455,0.5655723753146896,0.16899003010323332,0.15614015388490013,0.25348504515485,0.22592770807424067,0.0,0.0,8.051304068606807,5.385694908417272,2.544305829468995,7.179160760315946,0.0,5.347550227627551,0.0,1.8480689475433412,6.150201478465881,35.25730243003796,4
15,112016,Castelsardo,112016,10,29,64,10,60,112016,43.786735349872565,1.370277996762657,0.8630072464802341,0.6623010317686175,0.5082028062464554,1.461629863213501,0.9008236765793015,0.2283796661271095,0.20569595631101434,0.2283796661271095,0.20569595631101434,16.6491671924241,4.690547973558959,22.00622947536197,6.468130443404309,2.7549444481166505,11.814347057511675,0.0,2.550565407094765,14.549530071966746,53.33165519865902,5
16,112017,Cheremule,112017,0,12,1,2,5,112017,24.676692006897202,0.2026203511638629,0.18450280211764952,0.486288842793271,0.3962823034455332,0.04052407023277258,0.039724499916774965,0.08104814046554516,0.07793107093611917,0.0,0.0,2.1898525840811787,3.443994553409044,0.6101284677212535,2.295431785221764,0.0,1.9842948749041298,0.0,1.0933634961268752,1.7818739131353876,15.839677786046325,2
17,112018,Chiaramonti,112018,0,26,8,3,14,112018,98.68647355164941,0.1418634134562812,0.1326615011528681,0.26346062499023654,0.2338544839178913,0.08106480768930355,0.07794648846902172,0.030399302883488827,0.029946399818314096,0.0,0.0,1.4374884983710166,1.8658806817203677,1.2205078763680965,0.8609639368223168,0.0,1.2709628857383637,0.0,0.8202039202943094,0.8553704322202109,8.811624521724813,1
18,112019,Codrongianos,112019,0,5,6,4,8,112019,30.617099810234386,0.2612918940586867,0.2321365084342796,0.1633074337866792,0.15126718407777726,0.19596892054401502,0.17895666902358212,0.13064594702934335,0.12278910394270473,0.0,0.0,2.916392850803019,1.156575810503695,2.9504987165828296,3.7001325101226854,0.0,2.309181427701798,0.0,1.1967008559954648,2.2038492719323455,18.498418440249022,2
19,112020,Cossoine,112020,1,15,3,4,10,112020,39.00754506434631,0.2563606600595894,0.22821917655538654,0.38454099008938414,0.32536866961126387,0.07690819801787684,0.07409415593202101,0.10254426402383578,0.09762047630737784,0.025636066005958944,0.02531297232840805,2.855328493395639,2.72339597146251,1.1579261594977126,2.904241376550156,0.3092479243548777,2.235593771701873,0.0,1.1742124572314707,2.108270746825047,17.91982014706845,2
20,112021,Erula,112021,0,10,3,3,8,112021,39.370136153101704,0.20319970367615137,0.1849844279336135,0.2539996295951892,0.2263381468320483,0.07619988887855676,0.07343621481965214,0.07619988887855676,0.07343621481965214,0.0,0.0,2.1970268104273067,1.798876025756622,1.147261890894782,2.158120420252742,0.0,1.6619974907842152,0.0,0.9790767773669968,1.3632614678612347,12.899223861263215,1
21,112022,Esporlatu,112022,0,5,2,2,4,112022,18.496689792623,0.2162549107351799,0.19577639211336337,0.2703186384189749,0.2392677653941571,0.10812745536758996,0.1026716136296356,0.10812745536758996,0.1026716136296356,0.0,0.0,2.358691787190893,1.914450500349379,1.6279618084531247,3.0623675815415776,0.0,1.971167660166474,0.0,1.088955027121983,1.7648237733212693,15.726253408057525,2
22,112023,Florinas,112023,2,18,5,4,14,112023,36.37056959314146,0.38492660842573206,0.32564714792893534,0.49490563940451265,0.40206308739548385,0.13747378872347574,0.12880982869701638,0.10997903097878059,0.10434112413569771,0.054989515489390295,0.053530828953899726,4.447383752360449,3.505020425247863,2.06979880312854,3.1148075941841284,0.6633386543169904,3.1579849972051264,0.0,1.4250305812535364,3.306308538728679,24.373055879008408,3
23,112024,Giave,112024,2,17,4,3,5,112024,46.992630616912365,0.10639966169930759,0.10111119560128899,0.36175884977764583,0.3087771360875138,0.08511972935944608,0.08169033054439172,0.06383979701958456,0.0618848128722307,0.04255986467972304,0.04167909719532735,0.9983344828262525,2.56204831088708,1.281558583543433,1.8080599801442263,0.5133997474483605,1.5188731110448024,0.0,0.9238116233525384,1.177365926869905,11.477320767107654,1
24,112025,Illorai,112025,8,6,3,5,9,112025,57.2967686373671,0.1570769209859156,0.14589692913552807,0.10471794732394374,0.09959005109701223,0.05235897366197187,0.05103428582660222,0.08726495610328645,0.08366532830192956,0.13962392976525834,0.1306983218111657,1.6258800979948689,0.7416333842994512,0.7883142090204274,2.471503390760963,1.6842837922222864,1.369989105113782,0.0,0.8628853581380693,0.9839895581625275,9.909764382461889,1
25,112026,Ittireddu,112026,2,68,3,3,17,112026,23.740362731195823,0.716080044457842,0.5400426459323353,2.864320177831368,1.3517857746750261,0.12636706666903094,0.11899746830691635,0.12636706666903094,0.11899746830691635,0.08424471111268729,0.0808836257990872,8.548116302924571,20.285686661054026,1.9025765258607459,3.578946781149697,1.0162441477338646,8.654838293258868,0.0,2.267459167242951,10.445836542834996,46.04768674514263,5
26,112027,Ittiri,112027,8,112,37,12,44,112027,111.9758881953764,0.3929417369141869,0.33141786830499687,1.0002153303270211,0.6932548399279781,0.3304282787687481,0.2855009045100864,0.10716592824932371,0.10180353251156957,0.0714439521662158,0.06900722673904908,4.546636529814261,7.0837244179729195,4.974912397963093,3.0351353724255734,0.8618285625405947,4.671357705148023,0.0,1.7354285432458139,5.271936189145582,32.359206111412206,4
27,112028,Laerru,112028,3,15,3,3,7,112028,20.16761468614721,0.3470911215300132,0.297947542898211,0.7437666889928853,0.5560475372903475,0.14875333779857708,0.13867730027533573,0.14875333779857708,0.13867730027533573,0.14875333779857708,0.13867730027533573,3.9788601140773405,5.267504002734278,2.2396231557724824,4.212966982084444,1.7944118627396706,3.769844899647902,0.0,1.5623137885745142,4.101016105549879,27.90518061015868,3
28,112029,Mara,112029,0,11,3,3,16,112029,18.645807405538008,0.8581017518848675,0.6195554030928249,0.5899449544208464,0.463699395771756,0.16089407847841264,0.14919046554637386,0.16089407847841264,0.14919046554637386,0.0,0.0,10.30679664612423,4.178107805570768,2.422413568123477,4.556814995037643,0.0,5.3045709081103025,0.0,1.8412749112897682,6.094378257658603,35.08250039893836,4
29,112030,Martis,112030,3,2,4,3,4,112030,22.87422319116803,0.1748693263404215,0.1611569297864778,0.08743466317021074,0.08382140233235166,0.1748693263404215,0.1611569297864778,0.1311519947553161,0.12323657780857755,0.1311519947553161,0.12323657780857755,1.8462066531539674,0.6192297195380501,2.632824233071355,3.7144647085958984,1.582086820327883,1.950612660767147,0.0,1.082012830404869,1.7381261363402642,15.547639394067472,2
30,112031,Monteleone Rocca Doria,112031,0,14,2,1,7,112031,13.541904594554621,0.5169139947134758,0.4166780044371783,1.0338279894269515,0.7099197264136237,0.1476897127752788,0.1377509763248346,0.0738448563876394,0.07124553163695356,0.0,0.0,6.081807292394471,7.321775972273062,2.2236092681751267,2.0914215866480426,0.0,4.413421272418839,0.0,1.6888812908384332,4.936918264240917,31.161603690813166,4
31,112032,Mores,112032,3,31,9,5,13,112032,94.69794023609587,0.137278593046365,0.1286382094217455,0.32735664495671657,0.2831894795695835,0.09503902595517577,0.09079000277508231,0.05279945886398654,0.05145276759181042,0.03167967531839192,0.03118822674442119,1.3807138427349173,2.3184050363509403,1.430903039765671,1.4953773821674132,0.38215199766500557,1.5425178269529571,0.0,0.9331548605002475,1.2080766084696124,11.717710539771295,1
32,112033,Muros,112033,0,6,4,2,2,112033,11.456598154248507,0.17457189063215334,0.16090373280695053,0.52371567189646,0.4211518728615939,0.3491437812643067,0.2994701551370269,0.17457189063215334,0.16090373280695053,0.0,0.0,1.8425234532898502,3.709058820239345,5.256692110481058,4.944195687421771,0.0,3.2729895162562688,0.0,1.4523137031733337,3.4556809050885144,25.07501638500526,3
33,112034,Nughedu San Nicolò,112034,0,52,4,2,8,112034,67.51194611303286,0.11849754688756688,0.11198630872934072,0.7702340547691847,0.5711117721764217,0.05924877344378344,0.05755995257605223,0.02962438672189172,0.02919406264660277,0.0,0.0,1.148144770706436,5.454951164904543,0.8920467057720329,0.8390168917945751,0.0,2.0124430973616594,0.0,1.1027514097957742,1.8184339251418244,16.08121702956278,2
34,112035,Nule,112035,0,72,5,5,10,112035,51.67798278619065,0.19350600508873178,0.17689519827862843,1.3932432366388687,0.8726494488250262,0.09675300254436589,0.09235399873480944,0.09675300254436589,0.09235399873480944,0.0,0.0,2.0769879975764125,9.867226422462037,1.4567085895060066,2.740222244215382,0.0,3.7922780594219416,0.0,1.5670058848855501,4.1301531706671755,28.025902362983118,3
35,112036,Nulvi,112036,3,5,17,5,19,112036,67.46548985122801,0.28162546572918956,0.24812916739764704,0.0741119646655762,0.07149424080717097,0.2519806798629591,0.2247268411394795,0.0741119646655762,0.07149424080717097,0.04446717879934572,0.043506878638386384,3.168187125437616,0.524875712106755,3.7938090921531873,2.0989865823129663,0.5364076821466469,2.2089256396502206,0.0,1.1659361894224072,2.0736331341136682,17.706882157197132,2
36,112037,Olmedo,112037,2,12,12,5,8,112037,33.71854060252011,0.23725819258624983,0.21289779643735152,0.35588728887937476,0.30445606576807427,0.35588728887937476,0.30445606576807427,0.14828637036640616,0.13827071832819407,0.05931454814656246,0.057622046262023136,2.6187792034271653,2.520464745783055,5.3582220393508555,4.199741609110906,0.7155115334040802,3.188906750051128,0.0,1.4324397810465903,3.34647092045689,24.563685296384207,3
37,112038,Osilo,112038,3,12,10,4,8,112038,97.74052967373723,0.08184936204770324,0.07867194896466767,0.12277404307155486,0.11580244720448041,0.10231170255962904,0.09740952242322937,0.04092468102385162,0.04010943449254491,0.030693510767888715,0.030231887094238324,0.6943237072965815,0.8695102548717024,1.5404001116890826,1.1590619239703133,0.37025589237940565,0.9446395760782041,0.0,0.6650766519698301,0.4315289574288142,4.8203944826160825,1
38,112039,Ossi,112039,1,42,21,6,17,112039,30.136993204243463,0.5640907798859742,0.44730468384402045,1.3936360444241715,0.8728135673511561,0.6968180222120858,0.5287547455061815,0.19909086348916738,0.18156365590058965,0.033181810581527894,0.03264317714993761,6.666005907108759,9.870008365525647,10.491258892079124,5.638617907520774,0.4002722588672154,7.451375553944701,0.0,2.1343292155697204,8.882732078067782,42.62242007241386,5
39,112040,Ozieri,112040,15,130,48,15,38,112040,252.7649366048541,0.15033730750165386,0.140055210238938,0.5143118414530264,0.41496110570359773,0.18989975684419436,0.1738690656291679,0.059343674013810736,0.05764954089701941,0.059343674013810736,0.05764954089701941,1.5424222522171391,3.642459017861943,2.859121677523057,1.6807215415515793,0.715862878809006,2.268860284748876,0.0,1.1844413873820598,2.151478594789365,18.18299768977861,2
40,112041,Padria,112041,0,7,4,3,5,112041,48.48252412675723,0.10312994403772242,0.09815154297670825,0.14438192165281138,0.13486468484150785,0.08250395523017794,0.07927683468014486,0.061877966422633456,0.06003900701061856,0.0,0.0,0.9578449810210632,1.0225415597174266,1.242175613071119,1.752497344362637,0.0,1.054298608504295,0.0,0.7199344799585051,0.5739583967357248,6.23181758903398,1
41,112042,Pattada,112042,2,318,18,6,35,112042,164.5234352294434,0.21273565040256548,0.1928786757932986,1.9328553379433093,1.075976466563901,0.1094069059213194,0.10382555353517983,0.036468968640439796,0.03581971384489143,0.0121563228801466,0.01208302818528457,2.315112153614445,13.68886692560668,1.6472251549380181,1.0328679882187866,0.14664175141377836,4.615789781847802,0.0,1.7255822340157572,5.199762397493406,32.105872925069015,4
42,112043,Perfugas,112043,5,10,9,4,8,112043,60.923753483016704,0.13131167307723587,0.12337773218330204,0.16413959134654485,0.15198226595619543,0.14772563221189036,0.13778227300209425,0.06565583653861794,0.06359041858530835,0.08206979567327242,0.07887568451139092,1.3068243997105473,1.1624693162795898,2.224150069498769,1.8594935455692119,0.9900081376873119,1.5054195084869286,0.0,0.9184561889734071,1.1598918617921607,11.339532157810705,1
43,112044,Ploaghe,112044,5,12,18,6,18,112044,95.76202874637413,0.18796594261461425,0.17224255269670677,0.12531062840974283,0.11805911168588272,0.18796594261461425,0.17224255269670677,0.06265531420487142,0.06077078920863412,0.052212761837392846,0.05089533895931522,2.0083844076756585,0.8874748580462203,2.8300062627590905,1.7745132573406681,0.6298426685005457,1.7195465448172258,0.0,1.00046515494575,1.4380084295772186,13.44951998909523,2
44,112045,Porto Torres,112045,26,361,92,26,90,112045,104.51431287966732,0.8611260746996596,0.6211817210396648,3.4540723662953017,1.4938188161875385,0.8802622096929854,0.6314112403573193,0.24876975491323502,0.22215887060583367,0.24876975491323502,0.22215887060583367,10.344247379411591,24.462429259679315,13.253185825311418,7.045615104179019,3.000910136965138,13.226451973128958,0.0,2.6551030467281174,16.3836271538415,56.02127754570785,5
45,112046,Pozzomaggiore,112046,1,25,30,6,15,112046,78.84875572542222,0.19023762470310912,0.17415297181357842,0.3170627078385152,0.27540403577987776,0.38047524940621824,0.3224278235103773,0.07609504988124365,0.07333879415902801,0.012682508313540609,0.012602758879038833,2.036515055499953,2.2455013210105244,5.728417199769402,2.155151187826421,0.15298912753088795,2.656584877783549,0.0,1.2965296183087776,2.6550704573990282,21.066887280160035,3
46,112047,Putifigari,112047,0,13,3,5,4,112047,52.893810468547365,0.07562321497670411,0.07290022846034137,0.24577544867428838,0.21975818636669714,0.05671741123252809,0.055167321316449636,0.09452901872088014,0.09032415085076409,0.0,0.0,0.6172242084522757,1.7406307365265876,0.853934637109402,2.677234948900218,0.0,1.1926971164242426,0.0,0.7851323460915263,0.7537157906123935,7.909276907479549,1
47,112048,Romana,112048,0,15,3,4,9,112048,21.392832170915383,0.42070165970057705,0.3511508761225485,0.701169432834295,0.5313159162335019,0.140233886566859,0.1312334050183591,0.18697851542247867,0.17141101556690935,0.0,0.0,4.890392645816811,4.965821740485212,2.111354704553819,5.2955740253756165,0.0,3.9251802735834525,0.0,1.5943608777274403,4.302771763289074,28.729712017658304,4
