comune,anno,popolazione_residente,superficie_kmq,arrivi_totali,presenze_totali,numero_strutture_totali,letti_totali,camere_totali,abitazioni_occupate,abitazioni_non_occupate,abitazioni_totali,presenze_per_residente,presenze_per_kmq,tasso_occupazione_media,permanenza_media_giorni,crescita_presenze_yoy_pct,crescita_letti_yoy_pct,letti_per_struttura,letti_per_residente,quota_abitazioni_non_occupate_pct,posti_letto_informali_stimati,pressione_potenziale_totale,densita_abitanti_kmq,gini_stagionalita,gini_stagionalita_solo_mesi_attivi,n_mesi_con_dati_turismo
Laerru,2023,845,20.168,,,,,,393,282,675,,,,,,,,,41.8,649.0,,41.9,,,
Las Plassas,2022,215,11.078,,,1.0,3.0,1.0,108,95,203,,,,,,,3.0,0.014,46.8,219.0,1.03,19.4,,,
Lei,2022,470,18.969,,,,,,213,139,352,,,,,,,,,39.5,320.0,,24.8,,,
Lei,2023,465,18.969,,,,,,207,144,351,,,,,,,,,41.0,331.0,,24.5,,,
Lei,2024,447,18.969,,,,,,207,144,351,,,,,,,,,41.0,331.0,,23.6,,,
Lei,2025,445,18.969,,,,,,207,144,351,,,,,,,,,41.0,331.0,,23.5,,,
Lodine,2022,307,7.803,,,2.0,12.0,6.0,148,5,153,,,,,,,6.0,0.039,3.3,12.0,0.077,39.3,,,
Lodine,2023,305,7.803,9.0,24.0,2.0,12.0,6.0,143,12,155,0.08,3.1,0.005,2.67,,0.0,6.0,0.039,7.7,28.0,0.13,39.1,,,
Lodine,2024,300,7.803,,,2.0,12.0,6.0,143,12,155,,,,,,0.0,6.0,0.04,7.7,28.0,0.132,38.4,,,
Lodine,2025,295,7.803,20.0,32.0,2.0,12.0,6.0,143,12,155,0.11,4.1,0.007,1.6,,0.0,6.0,0.041,7.7,28.0,0.134,37.8,,,
Lodè,2022,1529,122.984,,,3.0,44.0,22.0,803,603,1406,,,,,,,14.7,0.029,42.9,1387.0,0.936,12.4,,,
Lunamatrona,2022,1649,20.776,,,4.0,267.0,97.0,702,252,954,,,,,,,66.8,0.162,26.4,580.0,0.513,79.4,,,
Luras,2022,2429,88.2,,,5.0,65.0,37.0,1052,595,1647,,,,,,,13.0,0.027,36.1,1369.0,0.59,27.5,,,
Mara,2022,526,18.646,,,1.0,6.0,3.0,234,228,462,,,,,,,6.0,0.011,49.4,524.0,1.008,28.2,,,
Mara,2025,529,18.646,,,1.0,6.0,3.0,242,221,463,,,,,,0.0,6.0,0.011,47.7,508.0,0.972,28.4,,,
Martis,2022,470,22.874,,,5.0,38.0,13.0,240,213,453,,,,,,,7.6,0.081,47.0,490.0,1.123,20.5,,,
Masullas,2022,1012,18.709,,,1.0,5.0,3.0,420,226,646,,,,,,,5.0,0.005,35.0,520.0,0.519,54.1,,,
Masullas,2023,1006,18.709,,,1.0,5.0,3.0,435,226,661,,,,,,0.0,5.0,0.005,34.2,520.0,0.522,53.8,,,
