comune,anno,popolazione_residente,superficie_kmq,arrivi_totali,presenze_totali,numero_strutture_totali,letti_totali,camere_totali,abitazioni_occupate,abitazioni_non_occupate,abitazioni_totali,presenze_per_residente,presenze_per_kmq,tasso_occupazione_media,permanenza_media_giorni,crescita_presenze_yoy_pct,crescita_letti_yoy_pct,letti_per_struttura,letti_per_residente,quota_abitazioni_non_occupate_pct,posti_letto_informali_stimati,pressione_potenziale_totale,densita_abitanti_kmq,gini_stagionalita,gini_stagionalita_solo_mesi_attivi,n_mesi_con_dati_turismo
Abbasanta,2022,2594,39.816,1825.0,7385.0,6.0,139.0,52.0,1128,482,1610,2.85,185.5,0.146,4.05,,,23.2,0.054,29.9,1109.0,0.481,65.1,0.5784,0.2772,7
Abbasanta,2023,2585,39.816,574.0,1371.0,7.0,59.0,25.0,1149,486,1635,0.53,34.4,0.064,2.39,-81.4,-57.6,8.4,0.023,29.7,1118.0,0.455,64.9,0.3648,0.3648,12
Abbasanta,2024,2567,39.816,1430.0,3028.0,9.0,64.0,28.0,1149,486,1635,1.18,76.0,0.13,2.12,120.9,8.5,7.1,0.025,29.7,1118.0,0.46,64.5,0.3722,0.3152,11
Abbasanta,2025,2574,39.816,2196.0,4756.0,11.0,78.0,33.0,1149,486,1635,1.85,119.4,0.167,2.17,57.1,21.9,7.1,0.03,29.7,1118.0,0.465,64.6,0.1705,0.1705,12
Aggius,2022,1405,86.445,306.0,787.0,14.0,99.0,50.0,622,404,1026,0.56,9.1,0.022,2.57,,,7.1,0.07,39.4,929.0,0.732,16.3,0.863,,2
Aggius,2023,1411,86.445,237.0,833.0,21.0,133.0,65.0,629,409,1038,0.59,9.6,0.017,3.51,5.8,34.3,6.3,0.094,39.4,941.0,0.761,16.3,0.7942,0.5885,6
Aggius,2024,1411,86.445,316.0,852.0,32.0,194.0,90.0,629,409,1038,0.6,9.9,0.012,2.7,2.3,45.9,6.1,0.137,39.4,941.0,0.804,16.3,0.7267,0.5316,7
Aggius,2025,1403,86.445,912.0,2225.0,41.0,236.0,113.0,629,409,1038,1.59,25.7,0.026,2.44,161.2,21.6,5.8,0.168,39.4,941.0,0.839,16.2,0.6119,0.4825,9
Aglientu,2022,1168,148.358,44608.0,331435.0,138.0,5469.0,1769.0,674,2590,3264,283.76,2234.0,0.166,7.43,,,39.6,4.682,79.4,5957.0,9.783,7.9,0.6955,0.4781,7
Aglientu,2023,1168,148.358,32457.0,240545.0,168.0,5642.0,1722.0,701,2592,3293,205.95,1621.4,0.117,7.41,-27.4,3.2,33.6,4.83,78.7,5962.0,9.935,7.9,0.6949,0.5424,8
Aglientu,2024,1177,148.358,48728.0,326465.0,307.0,6643.0,2240.0,701,2592,3293,277.37,2200.5,0.135,6.7,35.7,17.7,21.6,5.644,78.7,5962.0,10.709,7.9,0.7007,0.6735,11
Aglientu,2025,1195,148.358,57860.0,367072.0,456.0,7513.0,2548.0,701,2592,3293,307.17,2474.2,0.134,6.34,12.4,13.1,16.5,6.287,78.7,5962.0,11.276,8.1,0.6826,0.6191,10
Aidomaggiore,2024,382,41.236,138.0,230.0,1.0,8.0,3.0,177,181,358,0.6,5.6,0.079,1.67,,0.0,8.0,0.021,50.6,416.0,1.111,9.3,0.7328,0.3587,5
Aidomaggiore,2025,379,41.236,190.0,365.0,1.0,8.0,3.0,177,181,358,0.96,8.9,0.125,1.92,58.7,0.0,8.0,0.021,50.6,416.0,1.12,9.2,0.6417,0.3858,7
Albagiara,2025,227,9.17,76.0,105.0,1.0,6.0,2.0,113,97,210,0.46,11.5,0.048,1.38,,50.0,6.0,0.026,46.2,223.0,1.009,24.8,0.7553,0.266,4
Ales,2022,1293,22.204,468.0,899.0,10.0,44.0,22.0,584,357,941,0.7,40.5,0.056,1.92,,,4.4,0.034,37.9,821.0,0.669,58.2,0.4473,0.397,11
Ales,2023,1267,22.204,411.0,758.0,10.0,47.0,22.0,572,371,943,0.6,34.1,0.044,1.84,-15.7,6.8,4.7,0.037,39.3,853.0,0.711,57.1,0.4699,0.4217,11
Ales,2024,1257,22.204,442.0,817.0,10.0,47.0,22.0,572,371,943,0.65,36.8,0.048,1.85,7.8,0.0,4.7,0.037,39.3,853.0,0.716,56.6,0.4526,0.4029,11
Ales,2025,1249,22.204,671.0,1241.0,11.0,52.0,25.0,572,371,943,0.99,55.9,0.065,1.85,51.9,10.6,4.7,0.042,39.3,853.0,0.725,56.3,0.3256,0.3256,12
Alghero,2022,42458,225.428,357364.0,1291721.0,1756.0,20707.0,8145.0,21315,9548,30863,30.42,5730.1,0.171,3.61,,,11.8,0.488,30.9,21960.0,1.005,188.3,0.5535,0.5535,12
Alghero,2023,42420,225.428,376149.0,1373563.0,2308.0,23392.0,8091.0,21578,9841,31419,32.38,6093.1,0.161,3.65,6.3,13.0,10.1,0.551,31.3,22634.0,1.085,188.2,0.5251,0.5251,12
Alghero,2024,42281,225.428,441444.0,1589756.0,3104.0,27132.0,10806.0,21578,9841,31419,37.6,7052.2,0.161,3.6,15.7,16.0,8.7,0.642,31.3,22634.0,1.177,187.6,0.5263,0.5263,12
Alghero,2025,41989,225.428,507650.0,1813687.0,3734.0,29872.0,12091.0,21578,9841,31419,43.19,8045.5,0.166,3.57,14.1,10.1,8.0,0.711,31.3,22634.0,1.25,186.3,0.5257,0.5257,12
Allai,2025,338,27.481,9.0,51.0,6.0,38.0,19.0,162,144,306,0.15,1.9,0.004,5.67,21.4,18.8,6.3,0.112,47.1,331.0,1.092,12.3,0.9167,,1
Alà dei Sardi,2023,1765,197.51,44.0,243.0,5.0,21.0,8.0,810,499,1309,0.14,1.2,0.032,5.52,,0.0,4.2,0.012,38.1,1148.0,0.662,8.9,0.8452,,2
Alà dei Sardi,2024,1776,197.51,43.0,122.0,5.0,21.0,11.0,810,499,1309,0.07,0.6,0.016,2.84,-49.8,0.0,4.2,0.012,38.1,1148.0,0.658,9.0,0.876,,2
Alà dei Sardi,2025,1758,197.51,47.0,217.0,5.0,21.0,11.0,810,499,1309,0.12,1.1,0.028,4.62,77.9,0.0,4.2,0.012,38.1,1148.0,0.665,8.9,0.7107,0.3057,5
Arborea,2022,3777,94.668,28420.0,92472.0,23.0,1905.0,670.0,1503,182,1685,24.48,976.8,0.133,3.25,,,82.8,0.504,10.8,419.0,0.615,39.9,0.5897,0.5897,12
Arborea,2023,3746,94.668,37555.0,126949.0,23.0,1883.0,666.0,1520,184,1704,33.89,1341.0,0.185,3.38,37.3,-1.2,81.9,0.503,10.8,423.0,0.616,39.6,0.5864,0.5864,12
Arborea,2024,3733,94.668,26149.0,87875.0,27.0,1931.0,684.0,1520,184,1704,23.54,928.2,0.125,3.36,-30.8,2.5,71.5,0.517,10.8,423.0,0.631,39.4,0.5893,0.5893,12
Arborea,2025,3708,94.668,32063.0,107027.0,30.0,1961.0,690.0,1520,184,1704,28.86,1130.6,0.15,3.34,21.8,1.6,65.4,0.529,10.8,423.0,0.643,39.2,0.575,0.575,12
Arbus,2022,5843,269.273,18025.0,50255.0,146.0,1362.0,581.0,2753,3165,5918,8.6,186.6,0.101,2.79,,,9.3,0.233,53.5,7280.0,1.479,21.7,0.6097,0.6097,12
Arbus,2023,5741,269.273,18661.0,54714.0,188.0,1507.0,617.0,2740,3211,5951,9.53,203.2,0.099,2.93,8.9,10.6,8.0,0.262,54.0,7385.0,1.549,21.3,0.5647,0.5647,12
Arbus,2024,5658,269.273,25976.0,71690.0,294.0,1904.0,840.0,2740,3211,5951,12.67,266.2,0.103,2.76,31.0,26.3,6.5,0.337,54.0,7385.0,1.642,21.0,0.578,0.578,12
Arbus,2025,5602,269.273,31023.0,86717.0,385.0,2394.0,1050.0,2740,3211,5951,15.48,322.0,0.099,2.8,21.0,25.7,6.2,0.427,54.0,7385.0,1.746,20.8,0.5758,0.5758,12
Ardara,2025,702,38.173,101.0,171.0,2.0,14.0,7.0,310,131,441,0.24,4.5,0.033,1.69,,250.0,7.0,0.02,29.7,301.0,0.449,18.4,0.7053,0.2927,5
Aritzo,2022,1237,75.183,1870.0,3957.0,12.0,261.0,128.0,530,581,1111,3.2,52.6,0.042,2.12,,,21.8,0.211,52.3,1336.0,1.291,16.5,0.545,0.545,12
Aritzo,2023,1201,75.183,2061.0,3661.0,11.0,257.0,126.0,517,601,1118,3.05,48.7,0.039,1.78,-7.5,-1.5,23.4,0.214,53.8,1382.0,1.365,16.0,0.4705,0.4224,11
Aritzo,2024,1217,75.183,1904.0,3868.0,12.0,259.0,128.0,517,601,1118,3.18,51.4,0.041,2.03,5.7,0.8,21.6,0.213,53.8,1382.0,1.349,16.2,0.4601,0.4111,11
Aritzo,2025,1211,75.183,2034.0,3626.0,14.0,268.0,133.0,517,601,1118,2.99,48.2,0.037,1.78,-6.3,3.5,19.1,0.221,53.8,1382.0,1.363,16.1,0.4517,0.4517,12
Armungia,2024,399,55.243,76.0,213.0,4.0,31.0,14.0,219,255,474,0.53,3.9,0.019,2.8,1421.4,47.6,7.8,0.078,53.8,587.0,1.548,7.2,0.8909,,2
Armungia,2025,399,55.243,49.0,203.0,7.0,33.0,18.0,219,255,474,0.51,3.7,0.017,4.14,-4.7,6.5,4.7,0.083,53.8,587.0,1.553,7.2,0.8546,,2
Arzachena,2022,13328,231.32,231770.0,1202744.0,603.0,20916.0,7505.0,6315,9560,15875,90.24,5199.5,0.158,5.19,,,34.7,1.569,60.2,21988.0,3.219,57.6,0.5928,0.5928,12
Arzachena,2023,13399,231.32,229692.0,1116513.0,796.0,20271.0,7240.0,6488,9562,16050,83.33,4826.7,0.151,4.86,-7.2,-3.1,25.5,1.513,59.6,21993.0,3.154,57.9,0.594,0.594,12
Arzachena,2024,13436,231.32,250972.0,1188081.0,1341.0,23512.0,9451.0,6488,9562,16050,88.43,5136.1,0.138,4.73,6.4,16.0,17.5,1.75,59.6,21993.0,3.387,58.1,0.5847,0.5847,12
Arzachena,2025,13435,231.32,283187.0,1352148.0,2125.0,31195.0,12211.0,6488,9562,16050,100.64,5845.4,0.119,4.77,13.8,32.7,14.7,2.322,59.6,21993.0,3.959,58.1,0.5791,0.5791,12
Arzana,2023,2232,162.755,57.0,98.0,3.0,13.0,7.0,992,449,1441,0.04,0.6,0.021,1.72,,-82.2,4.3,0.006,31.2,1033.0,0.469,13.7,0.8735,,2
Arzana,2024,2215,162.755,118.0,475.0,5.0,26.0,11.0,992,449,1441,0.21,2.9,0.05,4.03,384.7,100.0,5.2,0.012,31.2,1033.0,0.478,13.6,0.5115,0.4138,10
Arzana,2025,2211,162.755,164.0,631.0,8.0,115.0,46.0,992,449,1441,0.29,3.9,0.015,3.85,32.8,342.3,14.4,0.052,31.2,1033.0,0.519,13.6,0.5833,0.375,8
Assemini,2022,26159,118.322,10301.0,27929.0,55.0,655.0,281.0,11312,861,12173,1.07,236.0,0.117,2.71,,,11.9,0.025,7.1,1980.0,0.101,221.1,0.2064,0.2064,12
Assemini,2023,25926,118.322,11518.0,25115.0,67.0,592.0,245.0,11414,901,12315,0.97,212.3,0.116,2.18,-10.1,-9.6,8.8,0.023,7.3,2072.0,0.103,219.1,0.1901,0.1901,12
Assemini,2024,25762,118.322,12007.0,31704.0,94.0,719.0,288.0,11414,901,12315,1.23,267.9,0.121,2.64,26.2,21.5,7.6,0.028,7.3,2072.0,0.108,217.7,0.1194,0.1194,12
Assemini,2025,25630,118.322,13499.0,37498.0,128.0,855.0,357.0,11414,901,12315,1.46,316.9,0.12,2.78,18.3,18.9,6.7,0.033,7.3,2072.0,0.114,216.6,0.1724,0.1724,12
Assolo,2024,329,16.337,28.0,152.0,2.0,17.0,2.0,158,144,302,0.46,9.3,0.024,5.43,,-5.6,8.5,0.052,47.7,331.0,1.058,20.1,0.864,,2
Atzara,2022,1026,35.952,344.0,454.0,5.0,24.0,12.0,489,389,878,0.44,12.6,0.052,1.32,,,4.8,0.023,44.3,895.0,0.895,28.5,0.3774,0.3208,11
Atzara,2023,1002,35.952,259.0,427.0,6.0,30.0,15.0,477,368,845,0.43,11.9,0.039,1.65,-5.9,25.0,5.0,0.03,43.6,846.0,0.875,27.9,0.5808,0.3712,8
Atzara,2024,978,35.952,284.0,395.0,5.0,18.0,9.0,477,368,845,0.4,11.0,0.06,1.39,-7.5,-40.0,3.6,0.018,43.6,846.0,0.884,27.2,0.5226,0.4792,11
Atzara,2025,967,35.952,312.0,381.0,6.0,20.0,11.0,477,368,845,0.39,10.6,0.052,1.22,-3.5,11.1,3.3,0.021,43.6,846.0,0.896,26.9,0.2924,0.2924,12
Austis,2023,744,50.748,179.0,379.0,10.0,68.0,32.0,379,234,613,0.51,7.5,0.015,2.12,,41.7,6.8,0.091,38.2,538.0,0.815,14.7,0.6681,0.3361,6
Austis,2024,741,50.748,134.0,316.0,11.0,70.0,34.0,379,234,613,0.43,6.2,0.012,2.36,-16.6,2.9,6.4,0.094,38.2,538.0,0.821,14.6,0.606,0.4746,9
Austis,2025,723,50.748,93.0,190.0,11.0,70.0,34.0,379,234,613,0.26,3.7,0.007,2.04,-39.9,0.0,6.4,0.097,38.2,538.0,0.841,14.2,0.5474,0.3966,9
Badesi,2022,1838,31.463,44134.0,335665.0,100.0,4953.0,1572.0,901,2376,3277,182.63,10668.6,0.186,7.61,,,49.5,2.695,72.5,5465.0,5.668,58.4,0.6728,0.6074,10
Badesi,2023,1822,31.463,42500.0,293077.0,143.0,5601.0,1648.0,908,2469,3377,160.85,9315.0,0.143,6.9,-12.7,13.1,39.2,3.074,73.1,5679.0,6.191,57.9,0.7014,0.7014,12
Badesi,2024,1838,31.463,48604.0,374834.0,269.0,6309.0,2377.0,908,2469,3377,203.94,11913.5,0.163,7.71,27.9,12.6,23.5,3.433,73.1,5679.0,6.522,58.4,0.631,0.631,12
Badesi,2025,1832,31.463,58832.0,394310.0,388.0,6620.0,2565.0,908,2469,3377,215.23,12532.5,0.163,6.7,5.2,4.9,17.1,3.614,73.1,5679.0,6.713,58.2,0.6662,0.6662,12
Ballao,2023,719,46.108,133.0,308.0,1.0,8.0,3.0,333,301,634,0.43,6.7,0.105,2.32,,0.0,8.0,0.011,47.5,692.0,0.974,15.6,0.6007,0.2014,6
Ballao,2024,719,46.108,67.0,131.0,1.0,8.0,3.0,333,301,634,0.18,2.8,0.045,1.96,-57.5,0.0,8.0,0.011,47.5,692.0,0.974,15.6,0.6615,0.3231,6
Ballao,2025,716,46.108,131.0,196.0,2.0,13.0,6.0,333,301,634,0.27,4.3,0.041,1.5,49.6,62.5,6.5,0.018,47.5,692.0,0.985,15.5,0.5226,0.284,8
Banari,2023,515,21.362,103.0,230.0,2.0,11.0,23.0,269,299,568,0.45,10.8,0.057,2.23,,0.0,5.5,0.021,52.6,688.0,1.357,24.1,0.7023,0.4896,7
Banari,2024,515,21.362,148.0,281.0,2.0,11.0,23.0,269,299,568,0.55,13.2,0.07,1.9,22.2,0.0,5.5,0.021,52.6,688.0,1.357,24.1,0.5893,0.3839,8
Banari,2025,506,21.362,103.0,238.0,3.0,19.0,25.0,269,299,568,0.47,11.1,0.034,2.31,-15.3,72.7,6.3,0.038,52.6,688.0,1.397,23.7,0.7902,0.3706,4
Baradili,2023,78,5.638,20.0,40.0,3.0,24.0,8.0,45,46,91,0.51,7.1,0.005,2.0,,0.0,8.0,0.308,50.5,106.0,1.664,13.8,0.9167,,1
Baradili,2024,80,5.638,20.0,56.0,4.0,30.0,10.0,45,46,91,0.7,9.9,0.005,2.8,40.0,25.0,7.5,0.375,50.5,106.0,1.698,14.2,0.9167,,1
Baradili,2025,76,5.638,67.0,201.0,4.0,30.0,10.0,45,46,91,2.64,35.7,0.018,3.0,258.9,0.0,7.5,0.395,50.5,106.0,1.787,13.5,0.7713,0.314,4
Baratili San Pietro,2022,1211,6.002,427.0,2346.0,19.0,92.0,38.0,534,216,750,1.94,390.9,0.07,5.49,,,4.8,0.076,28.8,497.0,0.486,201.8,0.7244,0.5275,7
Baratili San Pietro,2023,1220,6.002,267.0,1729.0,19.0,94.0,39.0,549,213,762,1.42,288.1,0.05,6.48,-26.3,2.2,4.9,0.077,28.0,490.0,0.479,203.3,0.7156,0.5124,7
Baratili San Pietro,2024,1210,6.002,414.0,2782.0,26.0,154.0,49.0,549,213,762,2.3,463.5,0.049,6.72,60.9,63.8,5.9,0.127,28.0,490.0,0.532,201.6,0.6216,0.6216,12
Baratili San Pietro,2025,1197,6.002,614.0,3565.0,29.0,169.0,57.0,549,213,762,2.98,594.0,0.058,5.81,28.1,9.7,5.8,0.141,28.0,490.0,0.55,199.4,0.6119,0.4825,9
Baressa,2023,559,12.537,672.0,1079.0,3.0,27.0,14.0,287,224,511,1.93,86.1,0.109,1.61,,0.0,9.0,0.048,43.8,515.0,0.97,44.6,0.4732,0.3678,10
Baressa,2024,553,12.537,534.0,1085.0,3.0,27.0,14.0,287,224,511,1.96,86.5,0.11,2.03,0.6,0.0,9.0,0.049,43.8,515.0,0.98,44.1,0.4803,0.433,11
Baressa,2025,535,12.537,747.0,1358.0,2.0,24.0,12.0,287,224,511,2.54,108.3,0.155,1.82,25.2,-11.1,12.0,0.045,43.8,515.0,1.008,42.7,0.4642,0.2856,9
Bari Sardo,2022,3861,37.625,36264.0,197218.0,133.0,2825.0,984.0,1872,999,2871,51.08,5241.7,0.191,5.44,,,21.2,0.732,34.8,2298.0,1.327,102.6,0.6192,0.6192,12
Bari Sardo,2023,3837,37.625,33907.0,193817.0,153.0,2942.0,1041.0,1869,1074,2943,50.51,5151.3,0.18,5.72,-1.7,4.1,19.2,0.767,36.5,2470.0,1.411,102.0,0.5774,0.5774,12
Bari Sardo,2024,3823,37.625,43700.0,232929.0,223.0,3236.0,1213.0,1869,1074,2943,60.93,6190.8,0.197,5.33,20.2,10.0,14.5,0.846,36.5,2470.0,1.493,101.6,0.5762,0.5762,12
Bari Sardo,2025,3807,37.625,47016.0,251887.0,293.0,3618.0,1389.0,1869,1074,2943,66.16,6694.7,0.191,5.36,8.1,11.8,12.3,0.95,36.5,2470.0,1.599,101.2,0.566,0.566,12
Barumini,2022,1176,26.173,1693.0,1987.0,4.0,48.0,24.0,523,221,744,1.69,75.9,0.113,1.17,,,12.0,0.041,29.7,508.0,0.473,44.9,0.3623,0.3043,11
Barumini,2023,1157,26.173,1665.0,2365.0,4.0,48.0,24.0,515,229,744,2.04,90.4,0.135,1.42,19.0,0.0,12.0,0.041,30.8,527.0,0.497,44.2,0.3661,0.3661,12
Barumini,2024,1135,26.173,1499.0,1844.0,5.0,52.0,26.0,515,229,744,1.62,70.5,0.097,1.23,-22.0,8.3,10.4,0.046,30.8,527.0,0.51,43.4,0.2894,0.2894,12
Barumini,2025,1117,26.173,2420.0,3105.0,7.0,63.0,31.0,515,229,744,2.78,118.6,0.135,1.28,68.4,21.2,9.0,0.056,30.8,527.0,0.528,42.7,0.3299,0.3299,12
Bauladu,2022,647,23.9,227.0,943.0,4.0,28.0,11.0,266,141,407,1.46,39.5,0.092,4.15,,,7.0,0.043,34.6,324.0,0.545,27.1,0.6814,0.4538,7
Bauladu,2023,632,23.9,167.0,863.0,4.0,28.0,11.0,270,137,407,1.37,36.1,0.084,5.17,-8.5,0.0,7.0,0.044,33.7,315.0,0.543,26.4,0.7836,0.4806,5
Bauladu,2024,612,23.9,201.0,1039.0,4.0,27.0,12.0,270,137,407,1.7,43.5,0.105,5.17,20.4,-3.6,6.8,0.044,33.7,315.0,0.559,25.6,0.5735,0.4313,9
Bauladu,2025,616,23.9,319.0,1537.0,5.0,33.0,14.0,270,137,407,2.5,64.3,0.128,4.82,47.9,22.2,6.6,0.054,33.7,315.0,0.565,25.8,0.5349,0.4927,11
Baunei,2022,3480,212.11,18062.0,65893.0,295.0,1616.0,786.0,1587,1785,3372,18.93,310.7,0.112,3.65,,,5.5,0.464,52.9,4106.0,1.644,16.4,0.575,0.575,12
Baunei,2023,3437,212.11,22666.0,82111.0,331.0,1780.0,869.0,1587,1731,3318,23.89,387.1,0.126,3.62,24.6,10.1,5.4,0.518,52.2,3981.0,1.676,16.2,0.5589,0.5589,12
Baunei,2024,3402,212.11,30092.0,105962.0,462.0,2329.0,1146.0,1587,1731,3318,31.15,499.6,0.125,3.52,29.0,30.8,5.0,0.685,52.2,3981.0,1.855,16.0,0.5278,0.5278,12
Baunei,2025,3377,212.11,40649.0,145177.0,568.0,2772.0,1369.0,1587,1731,3318,42.99,684.4,0.143,3.57,37.0,19.0,4.9,0.821,52.2,3981.0,2.0,15.9,0.5395,0.5395,12
Belvì,2022,560,18.286,101.0,373.0,5.0,46.0,25.0,249,252,501,0.67,20.4,0.022,3.69,,,9.2,0.082,50.3,580.0,1.117,30.6,0.485,0.382,10
Belvì,2023,555,18.286,89.0,194.0,5.0,46.0,25.0,249,261,510,0.35,10.6,0.012,2.18,-48.0,0.0,9.2,0.083,51.2,600.0,1.165,30.4,0.5344,0.3016,8
Belvì,2024,548,18.286,118.0,264.0,6.0,52.0,28.0,249,261,510,0.48,14.4,0.014,2.24,36.1,13.0,8.7,0.095,51.2,600.0,1.19,30.0,0.3656,0.308,11
Belvì,2025,536,18.286,141.0,273.0,6.0,52.0,28.0,249,261,510,0.51,14.9,0.014,1.94,3.4,0.0,8.7,0.097,51.2,600.0,1.217,29.3,0.4645,0.3574,10
Benetutti,2023,1683,94.066,2478.0,6650.0,7.0,196.0,96.0,683,582,1265,3.95,70.7,0.093,2.68,,5.9,28.0,0.116,46.0,1339.0,0.912,17.9,0.4625,0.4136,11
Benetutti,2024,1664,94.066,2742.0,8105.0,6.0,194.0,96.0,683,582,1265,4.87,86.2,0.114,2.96,21.9,-1.0,32.3,0.117,46.0,1339.0,0.921,17.7,0.3649,0.3649,12
Benetutti,2025,1643,94.066,3480.0,9351.0,7.0,202.0,100.0,683,582,1265,5.69,99.4,0.127,2.69,15.4,4.1,28.9,0.123,46.0,1339.0,0.938,17.5,0.4103,0.4103,12
Berchidda,2022,2634,202.262,368.0,1091.0,17.0,446.0,159.0,1141,632,1773,0.41,5.4,0.007,2.96,,,26.2,0.169,35.6,1454.0,0.721,13.0,0.6621,0.3241,6
Berchidda,2023,2605,202.262,1359.0,3114.0,19.0,454.0,148.0,1161,637,1798,1.2,15.4,0.019,2.29,185.4,1.8,23.9,0.174,35.4,1465.0,0.737,12.9,0.3836,0.3836,12
Berchidda,2024,2584,202.262,1307.0,4349.0,27.0,500.0,180.0,1161,637,1798,1.68,21.5,0.024,3.33,39.7,10.1,18.5,0.193,35.4,1465.0,0.76,12.8,0.3555,0.3555,12
Berchidda,2025,2577,202.262,1584.0,5155.0,32.0,524.0,189.0,1161,637,1798,2.0,25.5,0.027,3.25,18.5,4.8,16.4,0.203,35.4,1465.0,0.772,12.7,0.3512,0.3512,12
Bessude,2025,370,26.544,71.0,178.0,6.0,28.0,15.0,184,136,320,0.48,6.7,0.017,2.51,,7.7,4.7,0.076,42.5,313.0,0.921,13.9,0.6704,0.209,5
Bitti,2022,2610,215.633,1449.0,2793.0,8.0,106.0,48.0,1209,1128,2337,1.07,13.0,0.072,1.93,,,13.3,0.041,48.3,2594.0,1.035,12.1,0.526,0.526,12
Bitti,2023,2584,215.633,1437.0,2648.0,8.0,106.0,48.0,1191,1136,2327,1.02,12.3,0.068,1.84,-5.2,0.0,13.3,0.041,48.8,2613.0,1.052,12.0,0.4464,0.4464,12
Bitti,2024,2547,215.633,1872.0,3658.0,12.0,126.0,53.0,1191,1136,2327,1.44,17.0,0.08,1.95,38.1,18.9,10.5,0.049,48.8,2613.0,1.075,11.8,0.4697,0.4215,11
Bitti,2025,2516,215.633,2324.0,5069.0,15.0,149.0,58.0,1191,1136,2327,2.01,23.5,0.093,2.18,38.6,18.3,9.9,0.059,48.8,2613.0,1.098,11.7,0.3972,0.3972,12
Bolotana,2022,2419,108.415,304.0,613.0,10.0,127.0,75.0,1105,750,1855,0.25,5.7,0.013,2.02,,,12.7,0.053,40.4,1725.0,0.766,22.3,0.4232,0.3708,11
Bolotana,2023,2362,108.415,244.0,456.0,11.0,135.0,79.0,1087,757,1844,0.19,4.2,0.009,1.87,-25.6,6.3,12.3,0.057,41.1,1741.0,0.794,21.8,0.4277,0.3757,11
Bolotana,2024,2317,108.415,298.0,607.0,10.0,129.0,76.0,1087,757,1844,0.26,5.6,0.013,2.04,33.1,-4.4,12.9,0.056,41.1,1741.0,0.807,21.4,0.4645,0.286,9
Bolotana,2025,2284,108.415,617.0,2452.0,10.0,129.0,76.0,1087,757,1844,1.07,22.6,0.052,3.97,304.0,0.0,12.9,0.056,41.1,1741.0,0.819,21.1,0.3796,0.3796,12
Bonarcado,2022,1519,28.186,1260.0,3478.0,3.0,75.0,26.0,644,344,988,2.29,123.4,0.127,2.76,,,25.0,0.049,34.8,791.0,0.57,53.9,0.7836,0.3509,4
Bonarcado,2023,1525,28.186,593.0,1178.0,3.0,75.0,26.0,663,344,1007,0.77,41.8,0.043,1.99,-66.1,0.0,25.0,0.049,34.2,791.0,0.568,54.1,0.6311,0.5081,9
Bonarcado,2024,1533,28.186,1596.0,4062.0,6.0,87.0,33.0,663,344,1007,2.65,144.1,0.128,2.55,244.8,16.0,14.5,0.057,34.2,791.0,0.573,54.4,0.5106,0.4661,11
Bonarcado,2025,1534,28.186,1697.0,4421.0,9.0,97.0,40.0,663,344,1007,2.88,156.9,0.125,2.61,8.8,11.5,10.8,0.063,34.2,791.0,0.579,54.4,0.6233,0.6233,12
Bonnanaro,2025,904,21.99,27.0,62.0,6.0,32.0,15.0,451,385,836,0.07,2.8,0.005,2.3,,60.0,5.3,0.035,46.1,886.0,1.015,41.1,0.875,,2
Bono,2023,3319,74.57,117.0,207.0,5.0,56.0,7.0,1449,587,2036,0.06,2.8,0.01,1.77,,0.0,11.2,0.017,28.8,1350.0,0.424,44.5,0.6094,0.2188,6
Bono,2024,3293,74.57,287.0,537.0,7.0,78.0,48.0,1449,587,2036,0.16,7.2,0.019,1.87,159.4,39.3,11.1,0.024,28.8,1350.0,0.434,44.2,0.5202,0.4766,11
Bono,2025,3261,74.57,363.0,931.0,9.0,94.0,55.0,1449,587,2036,0.29,12.5,0.027,2.56,73.4,20.5,10.4,0.029,28.8,1350.0,0.443,43.7,0.4588,0.3505,10
Bonorva,2023,3178,149.226,133.0,268.0,6.0,55.0,28.0,1410,1090,2500,0.08,1.8,0.013,2.02,,0.0,9.2,0.017,43.6,2507.0,0.806,21.3,0.342,0.2822,11
Bonorva,2024,3126,149.226,296.0,640.0,10.0,119.0,55.0,1410,1090,2500,0.2,4.3,0.015,2.16,138.8,116.4,11.9,0.038,43.6,2507.0,0.84,20.9,0.6265,0.5518,10
Bonorva,2025,3086,149.226,552.0,850.0,14.0,148.0,71.0,1410,1090,2500,0.28,5.7,0.016,1.54,32.8,24.4,10.6,0.048,43.6,2507.0,0.86,20.7,0.4248,0.3725,11
Boroneddu,2025,143,4.719,13.0,46.0,1.0,4.0,2.0,76,42,118,0.32,9.7,0.032,3.54,,,4.0,0.028,35.6,97.0,0.703,30.3,0.9167,,1
Bortigali,2023,1229,67.32,136.0,312.0,1.0,6.0,3.0,605,459,1064,0.25,4.6,0.142,2.29,,0.0,6.0,0.005,43.1,1056.0,0.864,18.3,0.4088,0.2906,10
Bortigali,2024,1248,67.32,163.0,636.0,2.0,12.0,5.0,605,459,1064,0.51,9.4,0.145,3.9,103.8,100.0,6.0,0.01,43.1,1056.0,0.856,18.5,0.5,0.25,8
Bortigali,2025,1225,67.32,125.0,369.0,2.0,12.0,5.0,605,459,1064,0.3,5.5,0.084,2.95,-42.0,0.0,6.0,0.01,43.1,1056.0,0.872,18.2,0.4102,0.2136,9
Bortigiadas,2023,714,75.668,504.0,927.0,4.0,42.0,18.0,326,259,585,1.3,12.3,0.06,1.84,,0.0,10.5,0.059,44.3,596.0,0.893,9.4,0.5943,0.5132,10
