comune,scalo,distanza_km,correlazione,n_mesi_validi,peso_distanza,peso_correlazione,punteggio,probabilita
Mara,Aeroporto_Cagliari,136.7,,5,0.06495893356879505,0.5,0.032479466784397525,0.04194794956995835
Mara,Aeroporto_Olbia,89.5,,5,0.1669601696670407,0.5,0.08348008483352035,0.10781637555621938
Mara,Aeroporto_Alghero,36.4,,5,0.48287377253122976,0.5,0.24143688626561488,0.3118210775018931
Mara,Porto_Cagliari,140.3,,5,0.06044629464471146,0.5,0.03022314732235573,0.03903386309077663
Mara,Porto_Olbia,89.4,,5,0.167294424149439,0.5,0.0836472120747195,0.10803222408391
Mara,Porto_Porto Torres,61.8,,5,0.2905440729744046,0.5,0.1452720364872023,0.1876220475213491
Mara,Porto_Golfo Aranci,99.9,,5,0.13560622465418967,0.5,0.06780311232709484,0.08756921889953846
Mara,Porto_Arbatax,106.1,,5,0.11979180515772868,0.5,0.05989590257886434,0.0773568826577011
Mara,Porto_Porto Vesme,140.6,,5,0.06008470273734039,0.5,0.030042351368670193,0.03880036111865384
Martis,Aeroporto_Cagliari,171.5,0.627,9,0.03238694077290704,0.627,0.020306611864612713,0.013505980762541296
Martis,Aeroporto_Olbia,59.4,0.826,9,0.30483031544319683,0.826,0.25178984055608056,0.1674660827432239
Martis,Aeroporto_Alghero,48.2,0.655,9,0.3813643734941895,0.655,0.24979366463869412,0.16613842090979652
Martis,Porto_Cagliari,174.8,0.911,9,0.030318414857502925,0.911,0.027620075935185166,0.018370184880059273
Martis,Porto_Olbia,57.3,0.879,9,0.31790585293156354,0.879,0.27943924472684434,0.1858557739096181
Martis,Porto_Porto Torres,45.7,0.902,9,0.4009173430419921,0.902,0.36162744342387687,0.24051936022873416
Martis,Porto_Golfo Aranci,67.0,0.884,9,0.261845668580326,0.884,0.23147157102500818,0.15395234843617256
Martis,Porto_Arbatax,119.6,0.891,9,0.09144660764700575,0.891,0.08147892741348213,0.05419184812985424
Martis,Porto_Porto Vesme,181.4,-0.325,9,0.02656926984545338,0.0,0.0,0.0
Monteleone Rocca Doria,Aeroporto_Cagliari,142.1,0.614,6,0.05830893140604179,0.614,0.03580168388330966,0.029369194837684992
Monteleone Rocca Doria,Aeroporto_Olbia,93.3,0.824,6,0.15474139109731752,0.824,0.12750690626418962,0.1045977386267352
Monteleone Rocca Doria,Aeroporto_Alghero,28.7,0.692,6,0.5632678551220047,0.692,0.38978135574442724,0.31974933408905426
Monteleone Rocca Doria,Porto_Cagliari,145.9,0.843,6,0.054041662614278875,0.843,0.04555712158383709,0.03737187290968638
Monteleone Rocca Doria,Porto_Olbia,92.8,0.83,6,0.15629656793268215,0.83,0.1297261513841262,0.10641825194483596
Monteleone Rocca Doria,Porto_Porto Torres,55.7,0.855,6,0.32824335819079375,0.855,0.28064807125312863,0.23022402835348624
Monteleone Rocca Doria,Porto_Golfo Aranci,103.3,0.812,6,0.1266915356654413,0.812,0.10287352696033834,0.084390238928022
Monteleone Rocca Doria,Porto_Arbatax,113.8,0.766,6,0.1026941629081768,0.766,0.07866372878766344,0.06453021553270372
Monteleone Rocca Doria,Porto_Porto Vesme,143.3,,6,0.056926176482972754,0.5,0.028463088241486377,0.023349124777791216
Monti,Aeroporto_Cagliari,173.7,0.599,9,0.030992811143078575,0.599,0.018564693874704066,0.00980611123713191
Monti,Aeroporto_Olbia,16.7,0.79,9,0.7160537822272085,0.79,0.5656824879594947,0.29880080109410173
Monti,Aeroporto_Alghero,91.9,0.642,9,0.15913537880584921,0.642,0.1021649131933552,0.053964827541328725
Monti,Porto_Cagliari,176.3,0.71,9,0.02942237028273445,0.71,0.02088988290074146,0.011034306131729631
Monti,Porto_Olbia,17.5,0.763,9,0.7046880897187134,0.763,0.5376770124553784,0.2840079469864271
Monti,Porto_Porto Torres,88.5,0.782,9,0.17033298882540943,0.782,0.13320039726147018,0.07035817133273138
Monti,Porto_Golfo Aranci,28.0,0.734,9,0.5712090638488149,0.734,0.4192674528650301,0.22146248727028814
Monti,Porto_Arbatax,99.6,0.631,9,0.13642230780331424,0.631,0.08608247622389129,0.045469876482555086
Monti,Porto_Porto Vesme,197.4,,9,0.019293249714027027,0.5,0.009646624857013513,0.005095471923706264
Mores,Aeroporto_Cagliari,146.2,0.815,10,0.053718383445935165,0.815,0.043780482508437156,0.02975113401710923
Mores,Aeroporto_Olbia,67.4,0.92,10,0.2597592599935311,0.92,0.23897851919404864,0.1623984374859795
Mores,Aeroporto_Alghero,47.8,0.836,10,0.38442752475037856,0.836,0.3213814106913165,0.2183955240384192
Mores,Porto_Cagliari,149.5,0.927,10,0.050287436723591865,0.927,0.04661645384276966,0.03167832527682517
Mores,Porto_Olbia,67.2,0.911,10,0.26080037788112365,0.911,0.23758914424970365,0.16145428434282366
Mores,Porto_Porto Torres,61.4,0.937,10,0.2928777478112949,0.937,0.27442644969918334,0.18648716539993518
Mores,Porto_Golfo Aranci,77.8,0.911,10,0.21097829881783206,0.911,0.19220123022304503,0.130610816304208
Mores,Porto_Arbatax,99.8,0.858,10,0.13587770849684613,0.858,0.11658307389029399,0.07922431313470008
Mores,Porto_Porto Vesme,157.3,-0.385,10,0.04302387864907007,0.0,0.0,0.0
Muros,Aeroporto_Cagliari,164.9,,0,0.03695700755157944,0.5,0.01847850377578972,0.02019783359206927
Muros,Aeroporto_Olbia,78.6,,0,0.20762950780541625,0.5,0.10381475390270813,0.11347418325480249
Muros,Aeroporto_Alghero,28.7,,0,0.5632678551220047,0.5,0.28163392756100236,0.30783851721863287
Muros,Porto_Cagliari,168.5,,0,0.03438963734347271,0.5,0.017194818671736355,0.01879470818587388
Muros,Porto_Olbia,76.9,,0,0.2148102926780192,0.5,0.1074051463390096,0.11739864325646418
Muros,Porto_Porto Torres,36.8,,0,0.4790261931887511,0.5,0.23951309659437556,0.2617985593872934
Muros,Porto_Golfo Aranci,86.7,,0,0.17657668871613388,0.5,0.08828834435806694,0.09650312109143334
Muros,Porto_Arbatax,124.5,,0,0.08290996657517266,0.5,0.04145498328758633,0.04531215644752046
Muros,Porto_Porto Vesme,168.8,,0,0.03418391729671192,0.5,0.01709195864835596,0.01868227756591018
Nughedu San Nicolò,Aeroporto_Cagliari,141.8,0.788,7,0.05865983665751733,0.788,0.04622395128612366,0.0325680441152275
Nughedu San Nicolò,Aeroporto_Olbia,60.0,0.831,7,0.30119421191220214,0.831,0.25029239009904,0.1763486974965366
Nughedu San Nicolò,Aeroporto_Alghero,60.0,0.783,7,0.30119421191220214,0.783,0.23583506792725428,0.16616249114294604
Nughedu San Nicolò,Porto_Cagliari,145.0,0.908,7,0.05502322005640723,0.908,0.04996108381121777,0.03520111838852646
