comune,anno,mese,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
Anela,2025,2,154.0,6.0,7.03,0,True
Anela,2025,3,154.0,6.0,7.03,0,True
Anela,2025,4,154.0,6.0,7.03,0,True
Anela,2025,5,154.0,6.0,7.03,0,True
Anela,2025,6,154.0,6.0,7.03,0,True
Anela,2025,7,154.0,6.0,7.03,0,True
Anela,2025,8,154.0,6.0,7.03,0,True
Anela,2025,9,154.0,6.0,7.03,0,True
Anela,2025,10,154.0,6.0,7.03,0,True
Anela,2025,11,154.0,6.0,7.03,0,True
Anela,2025,12,154.0,6.0,7.03,0,True
Arborea,2025,1,107027.0,1961.0,14.95,0,True
Arborea,2025,2,107027.0,1961.0,14.95,0,True
Arborea,2025,3,107027.0,1961.0,14.95,0,True
Arborea,2025,4,107027.0,1961.0,14.95,0,True
Arborea,2025,5,107027.0,1961.0,14.95,0,True
Arborea,2025,6,107027.0,1961.0,14.95,0,True
Arborea,2025,7,107027.0,1961.0,14.95,0,True
Arborea,2025,8,107027.0,1961.0,14.95,0,True
Arborea,2025,9,107027.0,1961.0,14.95,0,True
Arborea,2025,10,107027.0,1961.0,14.95,0,True
Arborea,2025,11,107027.0,1961.0,14.95,0,True
Arborea,2025,12,107027.0,1961.0,14.95,0,True
Arbus,2025,1,86717.0,2394.0,9.92,0,True
Arbus,2025,2,86717.0,2394.0,9.92,0,True
Arbus,2025,3,86717.0,2394.0,9.92,0,True
Arbus,2025,4,86717.0,2394.0,9.92,0,True
Arbus,2025,5,86717.0,2394.0,9.92,0,True
Arbus,2025,6,86717.0,2394.0,9.92,0,True
Arbus,2025,7,86717.0,2394.0,9.92,0,True
Arbus,2025,8,86717.0,2394.0,9.92,0,True
Arbus,2025,9,86717.0,2394.0,9.92,0,True
Arbus,2025,10,86717.0,2394.0,9.92,0,True
Arbus,2025,11,86717.0,2394.0,9.92,0,True
Arbus,2025,12,86717.0,2394.0,9.92,0,True
Ardara,2025,1,171.01,14.0,3.35,0,True
Ardara,2025,2,171.01,14.0,3.35,0,True
Ardara,2025,3,171.01,14.0,3.35,0,True
Ardara,2025,4,171.01,14.0,3.35,0,True
Ardara,2025,5,171.01,14.0,3.35,0,True
Ardara,2025,6,171.01,14.0,3.35,0,True
Ardara,2025,7,171.01,14.0,3.35,0,True
Ardara,2025,8,171.01,14.0,3.35,0,True
Ardara,2025,9,171.01,14.0,3.35,0,True
Ardara,2025,10,171.01,14.0,3.35,0,True
Ardara,2025,11,171.01,14.0,3.35,0,True
Ardara,2025,12,171.01,14.0,3.35,0,True
Ardauli,2025,1,0.0,4.0,0.0,0,True
Ardauli,2025,2,0.0,4.0,0.0,0,True
Ardauli,2025,3,0.0,4.0,0.0,0,True
Ardauli,2025,4,0.0,4.0,0.0,0,True
Ardauli,2025,5,0.0,4.0,0.0,0,True
Ardauli,2025,6,0.0,4.0,0.0,0,True
Ardauli,2025,7,0.0,4.0,0.0,0,True
Ardauli,2025,8,0.0,4.0,0.0,0,True
Ardauli,2025,9,0.0,4.0,0.0,0,True
Ardauli,2025,10,0.0,4.0,0.0,0,True
Ardauli,2025,11,0.0,4.0,0.0,0,True
Ardauli,2025,12,0.0,4.0,0.0,0,True
Aritzo,2025,1,3626.0,268.0,3.71,0,True
Aritzo,2025,2,3626.0,268.0,3.71,0,True
Aritzo,2025,3,3626.0,268.0,3.71,0,True
Aritzo,2025,4,3626.0,268.0,3.71,0,True
Aritzo,2025,5,3626.0,268.0,3.71,0,True
Aritzo,2025,6,3626.0,268.0,3.71,0,True
Aritzo,2025,7,3626.0,268.0,3.71,0,True
Aritzo,2025,8,3626.0,268.0,3.71,0,True
Aritzo,2025,9,3626.0,268.0,3.71,0,True
Aritzo,2025,10,3626.0,268.0,3.71,0,True
Aritzo,2025,11,3626.0,268.0,3.71,0,True
Aritzo,2025,12,3626.0,268.0,3.71,0,True
Armungia,2025,1,203.0,33.0,1.69,0,True
Armungia,2025,2,203.0,33.0,1.69,0,True
Armungia,2025,3,203.0,33.0,1.69,0,True
Armungia,2025,4,203.0,33.0,1.69,0,True
Armungia,2025,5,203.0,33.0,1.69,0,True
Armungia,2025,6,203.0,33.0,1.69,0,True
Armungia,2025,7,203.0,33.0,1.69,0,True
Armungia,2025,8,203.0,33.0,1.69,0,True
Armungia,2025,9,203.0,33.0,1.69,0,True
Armungia,2025,10,203.0,33.0,1.69,0,True
Armungia,2025,11,203.0,33.0,1.69,0,True
Armungia,2025,12,203.0,33.0,1.69,0,True
Arzachena,2025,1,1352148.0,31195.0,11.88,0,True
Arzachena,2025,2,1352148.0,31195.0,11.88,0,True
Arzachena,2025,3,1352148.0,31195.0,11.88,0,True
Arzachena,2025,4,1352148.0,31195.0,11.88,0,True
Arzachena,2025,5,1352148.0,31195.0,11.88,0,True
Arzachena,2025,6,1352148.0,31195.0,11.88,0,True
Arzachena,2025,7,1352148.0,31195.0,11.88,0,True
Arzachena,2025,8,1352148.0,31195.0,11.88,0,True
Arzachena,2025,9,1352148.0,31195.0,11.88,0,True
Arzachena,2025,10,1352148.0,31195.0,11.88,0,True
Arzachena,2025,11,1352148.0,31195.0,11.88,0,True
Arzachena,2025,12,1352148.0,31195.0,11.88,0,True
Arzana,2025,1,631.0,115.0,1.5,0,True
Arzana,2025,2,631.0,115.0,1.5,0,True
Arzana,2025,3,631.0,115.0,1.5,0,True
Arzana,2025,4,631.0,115.0,1.5,0,True
Arzana,2025,5,631.0,115.0,1.5,0,True
Arzana,2025,6,631.0,115.0,1.5,0,True
Arzana,2025,7,631.0,115.0,1.5,0,True
Arzana,2025,8,631.0,115.0,1.5,0,True
Arzana,2025,9,631.0,115.0,1.5,0,True
Arzana,2025,10,631.0,115.0,1.5,0,True
Arzana,2025,11,631.0,115.0,1.5,0,True
Arzana,2025,12,631.0,115.0,1.5,0,True
Assemini,2025,1,37498.0,855.0,12.02,0,True
Assemini,2025,2,37498.0,855.0,12.02,0,True
Assemini,2025,3,37498.0,855.0,12.02,0,True
Assemini,2025,4,37498.0,855.0,12.02,0,True
Assemini,2025,5,37498.0,855.0,12.02,0,True
Assemini,2025,6,37498.0,855.0,12.02,0,True
Assemini,2025,7,37498.0,855.0,12.02,0,True
Assemini,2025,8,37498.0,855.0,12.02,0,True
Assemini,2025,9,37498.0,855.0,12.02,0,True
Assemini,2025,10,37498.0,855.0,12.02,0,True
Assemini,2025,11,37498.0,855.0,12.02,0,True
Assemini,2025,12,37498.0,855.0,12.02,0,True
Assolo,2025,1,0.0,17.0,0.0,0,True
Assolo,2025,2,0.0,17.0,0.0,0,True
Assolo,2025,3,0.0,17.0,0.0,0,True
Assolo,2025,4,0.0,17.0,0.0,0,True
Assolo,2025,5,0.0,17.0,0.0,0,True
Assolo,2025,6,0.0,17.0,0.0,0,True
Assolo,2025,7,0.0,17.0,0.0,0,True
Assolo,2025,8,0.0,17.0,0.0,0,True
Assolo,2025,9,0.0,17.0,0.0,0,True
Assolo,2025,10,0.0,17.0,0.0,0,True
Assolo,2025,11,0.0,17.0,0.0,0,True
Assolo,2025,12,0.0,17.0,0.0,0,True
Atzara,2025,1,381.0,20.0,5.22,0,True
Atzara,2025,2,381.0,20.0,5.22,0,True
Atzara,2025,3,381.0,20.0,5.22,0,True
Atzara,2025,4,381.0,20.0,5.22,0,True
Atzara,2025,5,381.0,20.0,5.22,0,True
Atzara,2025,6,381.0,20.0,5.22,0,True
Atzara,2025,7,381.0,20.0,5.22,0,True
Atzara,2025,8,381.0,20.0,5.22,0,True
Atzara,2025,9,381.0,20.0,5.22,0,True
Atzara,2025,10,381.0,20.0,5.22,0,True
Atzara,2025,11,381.0,20.0,5.22,0,True
Atzara,2025,12,381.0,20.0,5.22,0,True
Austis,2025,1,190.0,70.0,0.74,0,True
Austis,2025,2,190.0,70.0,0.74,0,True
Austis,2025,3,190.0,70.0,0.74,0,True
Austis,2025,4,190.0,70.0,0.74,0,True
Austis,2025,5,190.0,70.0,0.74,0,True
Austis,2025,6,190.0,70.0,0.74,0,True
Austis,2025,7,190.0,70.0,0.74,0,True
Austis,2025,8,190.0,70.0,0.74,0,True
Austis,2025,9,190.0,70.0,0.74,0,True
Austis,2025,10,190.0,70.0,0.74,0,True
Austis,2025,11,190.0,70.0,0.74,0,True
Austis,2025,12,190.0,70.0,0.74,0,True
Badesi,2025,1,394310.0,6620.0,16.32,0,True
Badesi,2025,2,394310.0,6620.0,16.32,0,True
Badesi,2025,3,394310.0,6620.0,16.32,0,True
Badesi,2025,4,394310.0,6620.0,16.32,0,True
Badesi,2025,5,394310.0,6620.0,16.32,0,True
Badesi,2025,6,394310.0,6620.0,16.32,0,True
Badesi,2025,7,394310.0,6620.0,16.32,0,True
Badesi,2025,8,394310.0,6620.0,16.32,0,True
Badesi,2025,9,394310.0,6620.0,16.32,0,True
Badesi,2025,10,394310.0,6620.0,16.32,0,True
Badesi,2025,11,394310.0,6620.0,16.32,0,True
Badesi,2025,12,394310.0,6620.0,16.32,0,True
Ballao,2025,1,196.0,13.0,4.13,0,True
Ballao,2025,2,196.0,13.0,4.13,0,True
Ballao,2025,3,196.0,13.0,4.13,0,True
Ballao,2025,4,196.0,13.0,4.13,0,True
Ballao,2025,5,196.0,13.0,4.13,0,True
Ballao,2025,6,196.0,13.0,4.13,0,True
Ballao,2025,7,196.0,13.0,4.13,0,True
Ballao,2025,8,196.0,13.0,4.13,0,True
Ballao,2025,9,196.0,13.0,4.13,0,True
Ballao,2025,10,196.0,13.0,4.13,0,True
Ballao,2025,11,196.0,13.0,4.13,0,True
Ballao,2025,12,196.0,13.0,4.13,0,True
Banari,2025,1,238.0,19.0,3.43,0,True
Banari,2025,2,238.0,19.0,3.43,0,True
Banari,2025,3,238.0,19.0,3.43,0,True
Banari,2025,4,238.0,19.0,3.43,0,True
Banari,2025,5,238.0,19.0,3.43,0,True
Banari,2025,6,238.0,19.0,3.43,0,True
Banari,2025,7,238.0,19.0,3.43,0,True
Banari,2025,8,238.0,19.0,3.43,0,True
