,comune,anno,presenze_annue,letti_totali,utilizzazione_lorda_pct,segmenti_esclusi,copertura_sufficiente
114,La Maddalena,2022,297316.0,5460.0,14.92,0,True
115,Laconi,2022,2496.0,65.0,10.52,0,True
116,Lanusei,2022,6186.0,368.0,4.61,0,True
117,Las Plassas,2022,0.0,3.0,0.0,0,True
118,Loceri,2022,3709.99,102.0,9.97,0,True
119,Loculi,2022,15.0,51.0,0.08,0,True
120,Lodine,2022,0.0,12.0,0.0,0,True
121,Lodè,2022,0.0,44.0,0.0,0,True
122,Loiri Porto San Paolo,2022,156280.0,3466.0,12.35,0,True
123,Lotzorai,2022,89457.0,2264.0,10.83,0,True
124,Lula,2022,26.98,52.0,0.14,0,True
125,Lunamatrona,2022,0.0,267.0,0.0,0,True
126,Luogosanto,2022,6672.99,302.0,6.05,0,True
127,Luras,2022,0.0,65.0,0.0,0,True
128,Macomer,2022,10707.0,81.0,36.22,0,True
129,Magomadas,2022,9361.0,316.0,8.12,0,True
130,Mamoiada,2022,861.0,145.0,1.63,0,True
131,Mandas,2022,1566.0,35.0,12.26,0,True
132,Mara,2022,0.0,6.0,0.0,0,True
133,Maracalagonis,2022,122503.0,2429.0,13.82,0,True
134,Marrubiu,2022,1626.0,112.0,3.98,0,True
135,Martis,2022,0.0,38.0,0.0,0,True
136,Masainas,2022,2049.0,75.0,7.48,0,True
137,Masullas,2022,0.0,5.0,0.0,0,True
138,Meana Sardo,2022,161.99,52.0,0.85,0,True
139,Milis,2022,1116.0,50.0,6.12,0,True
140,Modolo,2022,1407.99,81.0,4.76,0,True
141,Mogoro,2022,0.0,22.0,0.0,0,True
142,Monastir,2022,8265.0,74.0,30.6,0,True
143,Monserrato,2022,6057.0,157.0,10.57,0,True
144,Monteleone Rocca Doria,2022,0.0,11.0,0.0,0,True
145,Monti,2022,451.0,104.0,1.19,0,True
146,Mores,2022,0.0,26.0,0.0,0,True
147,Morgongiori,2022,0.0,12.0,0.0,0,True
148,Muravera,2022,649738.0,10063.0,17.69,0,True
149,Muros,2022,0.0,2.0,0.0,0,True
150,Narbolia,2022,79107.0,2045.0,10.6,0,True
151,Narcao,2022,736.0,60.0,3.36,0,True
152,Neoneli,2022,0.0,25.0,0.0,0,True
153,Norbello,2022,0.0,204.0,0.0,0,True
154,Nughedu San Nicolò,2022,0.0,105.0,0.0,0,True
155,Nughedu Santa Vittoria,2022,0.0,4.0,0.0,0,True
156,Nulvi,2022,776.0,120.0,1.77,0,True
157,Nuoro,2022,43642.0,802.0,14.91,0,True
158,Nurachi,2022,5485.0,225.0,6.68,0,True
159,Nuragus,2022,0.0,8.0,0.0,0,True
160,Nurallao,2022,760.0,23.0,9.05,0,True
161,Nuraminis,2022,1610.0,27.0,16.34,0,True
162,Nureci,2022,0.0,8.0,0.0,0,True
163,Nurri,2022,0.0,26.0,0.0,0,True
164,Nuxis,2022,0.0,6.0,0.0,0,True
165,Olbia,2022,822274.0,16114.0,13.98,0,True
