comune,anno,mese,letti_totali,superficie_kmq,densita_ricettiva,copertura_sufficiente
Arbus,2023,4,1507,269.273,5.6,True
Arbus,2023,5,1507,269.273,5.6,True
Arbus,2023,6,1507,269.273,5.6,True
Arbus,2023,7,1507,269.273,5.6,True
Arbus,2023,8,1507,269.273,5.6,True
Arbus,2023,9,1507,269.273,5.6,True
Arbus,2023,10,1507,269.273,5.6,True
Arbus,2023,11,1507,269.273,5.6,True
Arbus,2023,12,1507,269.273,5.6,True
Ardara,2023,1,4,38.173,0.1,True
Ardara,2023,2,4,38.173,0.1,True
Ardara,2023,3,4,38.173,0.1,True
Ardara,2023,4,4,38.173,0.1,True
Ardara,2023,5,4,38.173,0.1,True
Ardara,2023,6,4,38.173,0.1,True
Ardara,2023,7,4,38.173,0.1,True
Ardara,2023,8,4,38.173,0.1,True
Ardara,2023,9,4,38.173,0.1,True
Ardara,2023,10,4,38.173,0.1,True
Ardara,2023,11,4,38.173,0.1,True
Ardara,2023,12,4,38.173,0.1,True
Ardauli,2023,1,4,20.564,0.19,True
Ardauli,2023,2,4,20.564,0.19,True
Ardauli,2023,3,4,20.564,0.19,True
Ardauli,2023,4,4,20.564,0.19,True
Ardauli,2023,5,4,20.564,0.19,True
Ardauli,2023,6,4,20.564,0.19,True
Ardauli,2023,7,4,20.564,0.19,True
Ardauli,2023,8,4,20.564,0.19,True
Ardauli,2023,9,4,20.564,0.19,True
Ardauli,2023,10,4,20.564,0.19,True
Ardauli,2023,11,4,20.564,0.19,True
Ardauli,2023,12,4,20.564,0.19,True
Aritzo,2023,1,257,75.183,3.42,True
Aritzo,2023,2,257,75.183,3.42,True
Aritzo,2023,3,257,75.183,3.42,True
Aritzo,2023,4,257,75.183,3.42,True
Aritzo,2023,5,257,75.183,3.42,True
Aritzo,2023,6,257,75.183,3.42,True
Aritzo,2023,7,257,75.183,3.42,True
Aritzo,2023,8,257,75.183,3.42,True
Aritzo,2023,9,257,75.183,3.42,True
Aritzo,2023,10,257,75.183,3.42,True
Aritzo,2023,11,257,75.183,3.42,True
Aritzo,2023,12,257,75.183,3.42,True
Armungia,2023,1,21,55.243,0.38,True
Armungia,2023,2,21,55.243,0.38,True
Armungia,2023,3,21,55.243,0.38,True
Armungia,2023,4,21,55.243,0.38,True
Armungia,2023,5,21,55.243,0.38,True
Armungia,2023,6,21,55.243,0.38,True
Armungia,2023,7,21,55.243,0.38,True
Armungia,2023,8,21,55.243,0.38,True
Armungia,2023,9,21,55.243,0.38,True
Armungia,2023,10,21,55.243,0.38,True
Armungia,2023,11,21,55.243,0.38,True
Armungia,2023,12,21,55.243,0.38,True
Arzachena,2023,1,20271,231.32,87.63,True
Arzachena,2023,2,20271,231.32,87.63,True
Arzachena,2023,3,20271,231.32,87.63,True
Arzachena,2023,4,20271,231.32,87.63,True
Arzachena,2023,5,20271,231.32,87.63,True
Arzachena,2023,6,20271,231.32,87.63,True
Arzachena,2023,7,20271,231.32,87.63,True
Arzachena,2023,8,20271,231.32,87.63,True
Arzachena,2023,9,20271,231.32,87.63,True
Arzachena,2023,10,20271,231.32,87.63,True
Arzachena,2023,11,20271,231.32,87.63,True
Arzachena,2023,12,20271,231.32,87.63,True
Arzana,2023,1,13,162.755,0.08,True
Arzana,2023,2,13,162.755,0.08,True
Arzana,2023,3,13,162.755,0.08,True
Arzana,2023,4,13,162.755,0.08,True
Arzana,2023,5,13,162.755,0.08,True
Arzana,2023,6,13,162.755,0.08,True
Arzana,2023,7,13,162.755,0.08,True
Arzana,2023,8,13,162.755,0.08,True
Arzana,2023,9,13,162.755,0.08,True
Arzana,2023,10,13,162.755,0.08,True
Arzana,2023,11,13,162.755,0.08,True
Arzana,2023,12,13,162.755,0.08,True
Assemini,2023,1,592,118.322,5.0,True
Assemini,2023,2,592,118.322,5.0,True
Assemini,2023,3,592,118.322,5.0,True
Assemini,2023,4,592,118.322,5.0,True
Assemini,2023,5,592,118.322,5.0,True
Assemini,2023,6,592,118.322,5.0,True
Assemini,2023,7,592,118.322,5.0,True
Assemini,2023,8,592,118.322,5.0,True
Assemini,2023,9,592,118.322,5.0,True
Assemini,2023,10,592,118.322,5.0,True
Assemini,2023,11,592,118.322,5.0,True
Assemini,2023,12,592,118.322,5.0,True
Assolo,2023,1,18,16.337,1.1,True
Assolo,2023,2,18,16.337,1.1,True
Assolo,2023,3,18,16.337,1.1,True
Assolo,2023,4,18,16.337,1.1,True
Assolo,2023,5,18,16.337,1.1,True
Assolo,2023,6,18,16.337,1.1,True
Assolo,2023,7,18,16.337,1.1,True
Assolo,2023,8,18,16.337,1.1,True
Assolo,2023,9,18,16.337,1.1,True
Assolo,2023,10,18,16.337,1.1,True
Assolo,2023,11,18,16.337,1.1,True
Assolo,2023,12,18,16.337,1.1,True
Asuni,2023,1,0,21.328,0.0,False
Asuni,2023,2,0,21.328,0.0,False
Asuni,2023,3,0,21.328,0.0,False
Asuni,2023,4,0,21.328,0.0,False
Asuni,2023,5,0,21.328,0.0,False
Asuni,2023,6,0,21.328,0.0,False
Asuni,2023,7,0,21.328,0.0,False
Asuni,2023,8,0,21.328,0.0,False
Asuni,2023,9,0,21.328,0.0,False
Asuni,2023,10,0,21.328,0.0,False
Asuni,2023,11,0,21.328,0.0,False
Asuni,2023,12,0,21.328,0.0,False
Atzara,2023,1,30,35.952,0.83,True
Atzara,2023,2,30,35.952,0.83,True
Atzara,2023,3,30,35.952,0.83,True
Atzara,2023,4,30,35.952,0.83,True
Atzara,2023,5,30,35.952,0.83,True
Atzara,2023,6,30,35.952,0.83,True
Atzara,2023,7,30,35.952,0.83,True
Atzara,2023,8,30,35.952,0.83,True
Atzara,2023,9,30,35.952,0.83,True
Atzara,2023,10,30,35.952,0.83,True
Atzara,2023,11,30,35.952,0.83,True
Atzara,2023,12,30,35.952,0.83,True
Austis,2023,1,68,50.748,1.34,True
Austis,2023,2,68,50.748,1.34,True
Austis,2023,3,68,50.748,1.34,True
Austis,2023,4,68,50.748,1.34,True
Austis,2023,5,68,50.748,1.34,True
Austis,2023,6,68,50.748,1.34,True
Austis,2023,7,68,50.748,1.34,True
Austis,2023,8,68,50.748,1.34,True
Austis,2023,9,68,50.748,1.34,True
Austis,2023,10,68,50.748,1.34,True
Austis,2023,11,68,50.748,1.34,True
Austis,2023,12,68,50.748,1.34,True
Badesi,2023,1,5601,31.463,178.02,True
Badesi,2023,2,5601,31.463,178.02,True
Badesi,2023,3,5601,31.463,178.02,True
Badesi,2023,4,5601,31.463,178.02,True
Badesi,2023,5,5601,31.463,178.02,True
Badesi,2023,6,5601,31.463,178.02,True
Badesi,2023,7,5601,31.463,178.02,True
Badesi,2023,8,5601,31.463,178.02,True
Badesi,2023,9,5601,31.463,178.02,True
