,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,turismo_log_density_norm,natura_log_density_norm,ristorazione_log_density_norm,servizi_log_density_norm,infrastrutture_log_density_norm,indice,indice_log,classe
0,90001,Aggius,90001,0,19,14,6,12,90001,86.36631128311511,0.1389430649719787,0.13010069636050584,0.21999318620563293,0.1988452736522186,0.16210024246730848,0.1502289218924902,0.06947153248598935,0.0671646315946611,0.0,0.0,1.3740612759061088,1.632755191429698,2.432084743238945,1.984078267032106,0.0,4.759654139973603,7.440878566246309,7.376188420383162,4.464546591480602,0.0,1.604435869331862,5.433035556352381,1
1,90002,Alà dei Sardi,90002,2,62,16,5,40,90002,197.22634798855307,0.20281265869366288,0.1846626964314148,0.3143596209751775,0.2733495667693243,0.08112506347746515,0.07800222435880719,0.02535158233670786,0.02503556093462872,0.010140632934683144,0.010089561689494592,2.148554735130717,2.333128184448973,1.2171667739338823,0.7240307180395253,0.12335338159191914,7.237807101083653,10.228862346630315,3.8298824010153845,1.6641560533086635,0.4541857269022486,1.5922217673033554,5.789576177872275,1
2,90003,Alghero,90003,241,283,174,59,251,90003,223.06128139692424,1.125251314025048,0.7538900608071284,1.268709648880831,0.8192112332555934,0.7800546957783201,0.5766440917972478,0.26450130489034995,0.23467781906910593,1.0804205843826158,0.7325700773028508,13.334201354447616,9.416165570195671,11.703616821405793,7.554047994268924,13.142526061592166,33.09156020286293,30.65524865037062,28.31302667299412,15.599431312958503,32.97694025827385,11.142384968463917,28.89149428082152,5
3,90004,Anela,90004,1,186,1,3,6,90004,36.734292029973865,0.16333512008627293,0.15129098343582564,5.063388722674461,1.8022688389506736,0.02722252001437882,0.02685857740324956,0.08166756004313647,0.07850388741346061,0.02722252001437882,0.02685857740324956,1.6698434477074187,37.57968310639264,0.40843538906389937,2.332391775520498,0.3311420422035275,5.722096363393383,67.44170141965083,1.318746917265322,5.218286092670274,1.209049795905086,10.360533859271593,19.744451540874834,5
4,90005,Ardara,90005,2,14,3,4,8,90005,37.975381507056184,0.2106627947506867,0.1911679738973374,0.3686598908137017,0.3138320792201049,0.0789985480315075,0.07603334061383865,0.10533139737534335,0.10014519713357091,0.05266569868767167,0.05132570761552428,2.243746808164431,2.736136336674252,1.1852614189902055,3.0082211934894123,0.6406396986134859,7.533270474751544,11.743735965048108,3.7332108859850712,6.656820530396196,2.310447622952875,2.1095075593006936,7.172125152739222,2
5,90006,Arzachena,90006,46,70,119,21,113,90006,231.0045007293218,0.4891679583871273,0.3982175467945734,0.3030243990008753,0.26468802321748885,0.515141478301488,0.415508819618707,0.0909073197002626,0.08700975338021906,0.19913031934343237,0.18159656016692766,5.620947366800059,2.2489999310072943,7.728968883185212,2.5962754941069734,2.422274667341427,16.93726064199302,9.904743535145844,20.401340202866706,5.783685381073441,8.174643083677454,4.425996760279072,13.32264923248647,4
6,90007,Banari,90007,0,8,3,2,11,90007,21.426369123936894,0.5133860961870171,0.4143495880991832,0.3733717063178306,0.31726881579653504,0.1400143898691865,0.1310408850190075,0.09334292657945766,0.08923990799992819,0.0,0.0,5.91462058793168,2.77110669806642,2.1007177796383227,2.665835420354741,0.0,17.66996226355772,11.87234017604947,6.4340624062102325,5.931927528309287,0.0,3.287181719876985,10.445675333568124,3
7,90008,Benetutti,90008,0,153,7,4,19,90008,94.41779463052936,0.20123325348097548,0.18334874029445142,1.6204572517152236,0.9633488261009704,0.07413856707193833,0.0715190073844119,0.04236489546967905,0.04149206962067458,0.0,0.0,2.12940260129968,12.026781537473756,1.1123442822586938,1.2099239124087116,0.0,7.1781284916603765,36.048941472405346,3.511558676322818,2.7580480023534215,0.0,4.049473608071389,12.281692851217025,4
8,90009,Berchidda,90009,5,58,13,6,9,90009,201.86768672331803,0.0445836584650395,0.04361839307713202,0.28731691010803234,0.25256013770222496,0.06439861778283483,0.062409961532461866,0.029722438976693,0.02928928920451114,0.024768699147244166,0.02446692775692297,0.22984320753394524,2.1324213929332045,0.9662101265943246,0.8488605779459042,0.3012931063696882,0.8317120614797073,9.450912665913064,3.064307656429478,1.946908561548399,1.1013887134377107,0.952758733141204,3.6272784717841047,1
9,90010,Bessude,90010,0,11,1,2,1,90010,26.481249088840244,0.037762569153938476,0.037067019806294885,0.41538826069332324,0.34740388263993455,0.037762569153938476,0.037067019806294885,0.07552513830787695,0.07280904305349072,0.0,0.0,0.147129528795747,3.0829470257866114,0.56657391072886,2.1569667483796064,0.0,0.5341550611981409,13.000007778346284,1.8199779298753878,4.839740161982296,0.0,1.25173540948809,4.500205073218435,1
