codice_istat,nome_comune,area_km2,turismo,natura,ristorazione,servizi,infrastrutture,indice,classe
91024,Fonni,112.03,28,34,16,5,0,2.0,2
91025,Gadoni,43.67,11,15,3,4,0,2.06,2
91026,Gairo,77.6,31,43,7,5,2,2.97,3
91027,Galtellì,55.95,23,182,9,5,3,8.37,5
91028,Gavoi,38.13,24,20,9,7,0,4.66,4
91031,Girasole,13.37,7,2,4,5,2,4.77,4
91032,Ilbono,31.43,13,13,5,5,7,3.61,3
91033,Irgoli,75.38,11,12,7,5,0,1.3,1
91035,Jerzu,102.2,15,37,17,9,1,2.0,2
91037,Lanusei,52.88,39,19,13,13,22,5.55,4
91038,Lei,18.74,15,4,2,3,2,4.35,4
91039,Loceri,19.78,9,12,7,4,0,4.62,4
91040,Loculi,38.11,6,7,4,2,1,1.39,1
91041,Lodè,123.22,13,9,5,5,1,0.73,1
91042,Lotzorai,16.45,40,33,21,7,7,18.65,5
91043,Lula,149.27,14,28,10,5,1,0.95,1
91044,Macomer,122.65,65,18,12,18,13,3.16,3
91046,Mamoiada,49.31,27,21,23,5,3,4.6,4
91047,Meana Sardo,73.56,8,17,8,5,5,1.43,1
91050,Noragugume,26.78,7,3,1,1,0,1.34,1
91051,Nuoro,192.57,104,102,70,58,17,5.34,4
91055,Oliena,165.51,45,159,23,7,1,3.28,3
91056,Ollolai,27.32,7,60,4,5,2,6.23,5
91057,Olzai,69.38,3,19,3,4,0,0.95,1
91058,Onanì,71.15,12,11,3,2,0,1.05,1
91059,Onifai,43.33,5,11,2,2,1,1.16,1
91060,Oniferi,35.88,13,9,3,4,3,2.52,2
91061,Orani,130.26,11,25,12,5,0,1.01,1
91062,Orgosolo,221.93,78,256,24,6,1,3.77,3
91063,Orosei,91.01,81,108,88,10,3,8.76,5
91064,Orotelli,61.47,12,6,4,5,2,1.38,1
91066,Ortueri,39.02,1,4,0,4,0,0.63,1
91067,Orune,127.97,7,163,1,5,0,2.66,3
91068,Osidda,26.07,7,58,2,2,0,5.57,4
91069,Osini,39.61,31,29,3,2,0,4.56,4
91070,Ottana,45.02,8,5,10,6,0,2.0,2
91071,Ovodda,40.68,10,16,6,5,1,2.53,2
91072,Perdasdefogu,78.66,9,11,6,6,3,1.18,1
91073,Posada,32.83,37,209,26,6,2,19.05,5
91077,Sarule,52.25,10,22,8,4,0,2.17,2
91083,Silanus,47.96,27,6,10,5,8,3.46,3
91084,Sindia,58.85,16,9,4,5,3,1.81,2
91085,Siniscola,195.82,59,94,54,17,3,3.11,3
91086,Sorgono,55.82,41,8,4,9,2,3.79,3
91088,Talana,118.86,20,15,4,4,0,1.0,1
91089,Tertenia,117.37,70,76,30,6,6,4.33,4
91090,Teti,43.99,23,6,8,4,0,3.0,3
91091,Tiana,19.24,1,5,2,3,0,1.56,1
91093,Tonara,52.19,16,34,15,6,2,3.63,3
91094,Torpè,91.82,17,81,13,6,0,2.92,3
91095,Tortolì,40.16,84,101,89,28,95,24.7,5
91097,Triei,32.91,9,3,8,5,7,2.71,3
91098,Ulassai,121.98,35,77,8,5,0,2.49,2
91099,Urzulei,130.23,29,167,9,6,0,3.5,3
91100,Ussassai,47.47,29,67,3,3,4,5.31,4
91101,Villagrande Strisaili,209.83,44,48,13,9,6,1.5,1
91103,Cardedu,33.24,49,18,15,4,1,8.18,5
91104,Lodine,7.98,3,6,2,2,1,4.65,4
92003,Assemini,118.93,23,154,42,25,14,5.12,4
92009,Cagliari,83.57,312,1126,557,268,344,77.23,5
