comune,anno,mese,densita_turistica,densita_turistica_norm,intensita_turistica_presenze,intensita_turistica_norm,densita_ricettiva,densita_ricettiva_norm,utilizzazione_lorda_pct,utilizzazione_lorda_norm,indice_overtourism,n_indicatori_disponibili,Unnamed: 0,codice_istat,nome_comune,codice_istat_str,infrastrutture,natura,ristorazione,servizi,turismo,com_istat_code,area_km2,turismo_density,turismo_log_density,natura_density,natura_log_density,ristorazione_density,ristorazione_log_density,servizi_density,servizi_log_density,infrastrutture_density,infrastrutture_log_density,turismo_density_norm,natura_density_norm,ristorazione_density_norm,servizi_density_norm,infrastrutture_density_norm,indice_attrattivita_assoluto,indice_attrattivita_og,indice_attrattivita_log,indice_attrattivita_assoluto_norm,indice_attrattivita_log_norm,classe_attrattivita,indice_attrattivita,gem_score,gem_score_normalized,quadrante,etichetta,icona,gem_rank,gem_tier,descrizione_breve
Monserrato,2022,1,20.72,0.0121,0.0071,0.0002,24.1,0.1177,10.57,0.3569,0.0179,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9821,100.0,Q2,Destinazione Popolare,🏖️,1,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2023,2,19.34,0.0113,0.0066,0.0002,34.69,0.1694,9.3,0.314,0.0186,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9814,99.92872416250891,Q2,Destinazione Popolare,🏖️,2,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2023,3,29.17,0.0171,0.01,0.0003,34.69,0.1694,9.3,0.314,0.0229,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9771,99.49088687506364,Q2,Destinazione Popolare,🏖️,3,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2022,11,35.46,0.0207,0.0121,0.0004,24.1,0.1177,10.57,0.3569,0.0243,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9757,99.34833520008146,Q2,Destinazione Popolare,🏖️,4,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2022,2,36.08,0.0211,0.0123,0.0004,24.1,0.1177,10.57,0.3569,0.0244,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9756,99.33815293758273,Q2,Destinazione Popolare,🏖️,5,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2022,12,39.91,0.0233,0.0136,0.0004,24.1,0.1177,10.57,0.3569,0.025,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.975,99.27705936259036,Q2,Destinazione Popolare,🏖️,6,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2023,11,39.61,0.0232,0.0136,0.0004,34.69,0.1694,9.3,0.314,0.0265,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9735,99.12432542510946,Q2,Destinazione Popolare,🏖️,7,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2022,3,47.44,0.0277,0.0162,0.0005,24.1,0.1177,10.57,0.3569,0.0276,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9724,99.01232053762347,Q2,Destinazione Popolare,🏖️,8,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2024,1,38.53,0.0225,0.0133,0.0004,54.34,0.2653,7.31,0.2468,0.0277,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9723,99.00213827512474,Q2,Destinazione Popolare,🏖️,9,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2023,1,42.06,0.0246,0.0144,0.0005,34.69,0.1694,9.3,0.314,0.0284,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9716,98.93086243763365,Q2,Destinazione Popolare,🏖️,10,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
Monserrato,2023,4,42.98,0.0251,0.0148,0.0005,34.69,0.1694,9.3,0.314,0.0286,4.0,310,118028,Monserrato,118028,54,46,12,23,23,118028,6.514021266477363,3.530845089248209,1.5109084760138516,7.061690178496419,2.087123234099969,1.8421800465642832,1.044571379731687,3.530845089248209,1.5109084760138516,8.289810209539274,2.228918123073388,43.40385803903847,100.0,27.63776860537481,100.0,100.0,68.54871113278651,0.0,4.242027386677777,100.0,100.0,5,1.0,0.9714,98.9104979126362,Q2,Destinazione Popolare,🏖️,11,Top Gem,🔍 Scoperta rara — territorio in fase di sviluppo
