comune,anno,mese,popolazione_residente,presenze_mese,intensita_turistica_presenze,arrivi_mese,intensita_turistica_arrivi_vs_residenti,n_mesi_con_dati,copertura_sufficiente
Abbasanta,2025,1,2574,335.0,0.1301,158.0,0.0614,12,True
Abbasanta,2025,2,2574,303.0,0.1177,162.0,0.0629,12,True
Abbasanta,2025,3,2574,386.0,0.15,216.0,0.0839,12,True
Abbasanta,2025,4,2574,340.0,0.1321,150.0,0.0583,12,True
Abbasanta,2025,5,2574,443.0,0.1721,198.0,0.0769,12,True
Abbasanta,2025,6,2574,394.0,0.1531,158.0,0.0614,12,True
Abbasanta,2025,7,2574,241.0,0.0936,115.0,0.0447,12,True
Abbasanta,2025,8,2574,745.0,0.2894,256.0,0.0995,12,True
Abbasanta,2025,9,2574,452.0,0.1756,252.0,0.0979,12,True
Abbasanta,2025,10,2574,472.0,0.1834,243.0,0.0944,12,True
Abbasanta,2025,11,2574,427.0,0.1659,169.0,0.0657,12,True
Abbasanta,2025,12,2574,218.0,0.0847,119.0,0.0462,12,True
Aggius,2025,1,1403,6.0,0.0043,6.0,0.0043,9,False
Aggius,2025,3,1403,13.0,0.0093,9.0,0.0064,9,False
Aggius,2025,4,1403,81.0,0.0577,50.0,0.0356,9,False
Aggius,2025,5,1403,103.0,0.0734,56.0,0.0399,9,False
Aggius,2025,6,1403,318.0,0.2267,139.0,0.0991,9,False
Aggius,2025,7,1403,525.0,0.3742,185.0,0.1319,9,False
Aggius,2025,8,1403,617.0,0.4398,236.0,0.1682,9,False
Aggius,2025,9,1403,399.0,0.2844,181.0,0.129,9,False
Aggius,2025,10,1403,163.0,0.1162,50.0,0.0356,9,False
Aglientu,2025,1,1195,4.09,0.0034,0.24,0.0002,12,True
Aglientu,2025,2,1195,3.82,0.0032,0.22,0.0002,12,True
Aglientu,2025,3,1195,78.96,0.0661,20.29,0.017,12,True
Aglientu,2025,4,1195,3477.52,2.9101,1031.56,0.8632,12,True
Aglientu,2025,5,1195,13327.54,11.1528,4048.68,3.388,12,True
Aglientu,2025,6,1195,52714.39,44.1125,9911.08,8.2938,12,True
Aglientu,2025,7,1195,100377.13,83.9976,14133.42,11.8271,12,True
Aglientu,2025,8,1195,126975.59,106.2557,16417.45,13.7385,12,True
Aglientu,2025,9,1195,56803.47,47.5343,9608.91,8.0409,12,True
Aglientu,2025,10,1195,12390.64,10.3687,2675.57,2.239,12,True
Aglientu,2025,11,1195,570.33,0.4773,10.25,0.0086,12,True
Aglientu,2025,12,1195,348.52,0.2916,2.32,0.0019,12,True
Aidomaggiore,2025,1,379,2.05,0.0054,1.17,0.0031,12,True
Aidomaggiore,2025,2,379,21.91,0.0578,14.1,0.0372,12,True
Aidomaggiore,2025,3,379,2.48,0.0065,1.42,0.0037,12,True
Aidomaggiore,2025,4,379,32.76,0.0864,19.73,0.0521,12,True
Aidomaggiore,2025,5,379,5.77,0.0152,3.31,0.0087,12,True
Aidomaggiore,2025,6,379,9.19,0.0242,5.27,0.0139,12,True
Aidomaggiore,2025,7,379,42.06,0.111,31.92,0.0842,12,True
