comune,rank,mercato,presenze,quota_pct
Milis,2,Germania,1472,22.15
Milis,3,Francia,870,13.09
Milis,4,Stati Uniti d'America,594,8.94
Milis,5,Spagna,257,3.87
Modolo,1,Italia,2515,31.79
Modolo,2,Francia,1786,22.57
Modolo,3,Germania,1092,13.8
Modolo,4,Spagna,501,6.33
Modolo,5,Paesi Bassi,327,4.13
Mogoro,1,Italia,690,39.38
Mogoro,2,Francia,275,15.7
Mogoro,3,Spagna,199,11.36
Mogoro,4,Polonia,93,5.31
Mogoro,5,Germania,86,4.91
Monastir,1,Italia,19711,66.07
Monastir,2,Francia,2403,8.06
Monastir,3,Spagna,1808,6.06
Monastir,4,Germania,1370,4.59
Monastir,5,Paesi Bassi,558,1.87
Monserrato,1,Italia,19189,53.89
Monserrato,2,Francia,3686,10.35
Monserrato,3,Germania,2213,6.22
Monserrato,4,Spagna,1427,4.01
Monserrato,5,Polonia,1344,3.77
Monteleone Rocca Doria,1,Francia,92,25.41
Monteleone Rocca Doria,2,Germania,72,19.89
Monteleone Rocca Doria,3,Italia,53,14.64
Monteleone Rocca Doria,4,Paesi Bassi,30,8.29
Monteleone Rocca Doria,5,Ungheria,22,6.08
Monti,1,Italia,2115,47.71
Monti,2,Francia,789,17.8
Monti,3,Germania,420,9.47
Monti,4,Spagna,288,6.5
Monti,5,Paesi Bassi,161,3.63
Mores,1,Italia,2724,28.83
Mores,2,Germania,1696,17.95
Mores,3,Francia,1195,12.65
Mores,4,Paesi Bassi,977,10.34
Mores,5,Regno Unito,472,4.99
Muravera,1,Italia,1703003,59.23
Muravera,2,Germania,570726,19.85
Muravera,3,Svizzera (incluso Liechtenstein),241451,8.4
Muravera,4,Austria,51308,1.78
Muravera,5,Francia,51058,1.78
Muros,1,Francia,153,75.37
Muros,2,Spagna,27,13.3
Muros,3,Italia,23,11.33
Musei,1,Italia,255,46.45
Musei,2,Germania,76,13.84
Musei,3,Polonia,51,9.29
Musei,4,Francia,44,8.01
Musei,5,Spagna,36,6.56
Narbolia,1,Italia,170514,50.2
Narbolia,2,Germania,92336,27.18
Narbolia,3,Svizzera (incluso Liechtenstein),25590,7.53
Narbolia,4,Francia,14297,4.21
Narbolia,5,Austria,9538,2.81
Narcao,1,Italia,1487,93.23
Narcao,2,Francia,36,2.26
Narcao,3,Svizzera (incluso Liechtenstein),21,1.32
Narcao,4,Germania,19,1.19
Narcao,5,Polonia,10,0.63
Norbello,1,Italia,4271,44.3
Norbello,2,Spagna,1457,15.11
Norbello,3,Francia,1364,14.15
Norbello,4,Germania,813,8.43
Norbello,5,Paesi Bassi,542,5.62
Nughedu San Nicolò,1,Italia,652,53.8
Nughedu San Nicolò,2,Germania,155,12.79
Nughedu San Nicolò,3,Francia,130,10.73
Nughedu San Nicolò,4,Paesi Bassi,59,4.87
Nughedu San Nicolò,5,Spagna,54,4.46
Nughedu Santa Vittoria,1,Italia,282,66.04
Nughedu Santa Vittoria,2,Germania,44,10.3
Nughedu Santa Vittoria,3,Francia,21,4.92
Nughedu Santa Vittoria,4,Spagna,13,3.04
Nughedu Santa Vittoria,5,Romania,10,2.34
Nulvi,1,Francia,2344,26.42
Nulvi,2,Germania,2273,25.62
Nulvi,3,Italia,1420,16.01
Nulvi,4,Spagna,776,8.75
Nulvi,5,Svizzera (incluso Liechtenstein),379,4.27
Nuoro,1,Italia,154031,72.69
Nuoro,2,Francia,12749,6.02
Nuoro,3,Germania,8336,3.93
Nuoro,4,Spagna,6453,3.05
Nuoro,5,Paesi Bassi,3418,1.61
Nurachi,1,Italia,13539,52.16
Nurachi,2,Germania,4040,15.56
Nurachi,3,Francia,2865,11.04
Nurachi,4,Spagna,1019,3.93
Nurachi,5,Svizzera (incluso Liechtenstein),831,3.2
Nuragus,1,Italia,149,81.42
Nuragus,2,Francia,18,9.84
Nuragus,3,Germania,5,2.73
Nuragus,4,Spagna,4,2.19
Nuragus,5,Polonia,3,1.64
Nurallao,1,Italia,1489,62.85
Nurallao,2,Francia,235,9.92
Nurallao,3,Germania,199,8.4
Nurallao,4,Svizzera (incluso Liechtenstein),97,4.09
Nurallao,5,Spagna,47,1.98
Nuraminis,1,Italia,8876,85.13
Nuraminis,2,Romania,310,2.97
Nuraminis,3,Francia,223,2.14
Nuraminis,4,Spagna,211,2.02
Nuraminis,5,Altri Paesi Africa Mediterranea,174,1.67
Nureci,1,Italia,518,44.89
Nureci,2,Germania,148,12.82
Nureci,3,Francia,102,8.84
Nureci,4,Svizzera (incluso Liechtenstein),66,5.72
Nureci,5,Paesi Bassi,60,5.2
Nurri,1,Italia,4603,93.03
Nurri,2,Spagna,90,1.82
Nurri,3,Germania,50,1.01
Nurri,4,Francia,45,0.91
Nurri,5,Grecia,31,0.63
Nuxis,1,Italia,322,35.58
Nuxis,2,Germania,182,20.11
Nuxis,3,Spagna,156,17.24
Nuxis,4,Paesi Bassi,47,5.19
Nuxis,5,Francia,38,4.2
Olbia,1,Italia,1489827,37.87
Olbia,2,Germania,507804,12.91
Olbia,3,Francia,390587,9.93
Olbia,4,Regno Unito,193050,4.91
Olbia,5,Svizzera (incluso Liechtenstein),182487,4.64
Oliena,1,Italia,55802,40.94
Oliena,2,Stati Uniti d'America,13883,10.19
Oliena,3,Germania,12339,9.05
Oliena,4,Francia,12195,8.95
Oliena,5,Regno Unito,8397,6.16
Ollastra,1,Italia,84,75.0
Ollastra,2,Germania,10,8.93
Ollastra,3,Paesi Bassi,6,5.36
Ollastra,4,Spagna,6,5.36
Ollastra,5,Slovenia,4,3.57
Ollolai,1,Italia,916,67.4
Ollolai,2,Austria,77,5.67
Ollolai,3,Germania,67,4.93
Ollolai,4,Francia,64,4.71
Ollolai,5,Stati Uniti d'America,62,4.56
Olmedo,1,Italia,15085,43.03
Olmedo,2,Francia,4776,13.62
Olmedo,3,Germania,3705,10.57
Olmedo,4,Spagna,2911,8.3
Olmedo,5,Paesi Bassi,1693,4.83
Onifai,1,Italia,2627,35.3
Onifai,2,Francia,1187,15.95
Onifai,3,Germania,982,13.2
Onifai,4,Spagna,611,8.21
Onifai,5,Polonia,242,3.25
Orani,1,Italia,5177,75.52
Orani,2,Francia,483,7.05
Orani,3,Germania,438,6.39
Orani,4,Spagna,105,1.53
Orani,5,Regno Unito,77,1.12
Orgosolo,1,Italia,9759,45.74
Orgosolo,2,Francia,3679,17.24
Orgosolo,3,Germania,2091,9.8
Orgosolo,4,Spagna,835,3.91
Orgosolo,5,Polonia,695,3.26
Oristano,1,Italia,480427,60.18
Oristano,2,Germania,70521,8.83
Oristano,3,Francia,57369,7.19
Oristano,4,Svizzera (incluso Liechtenstein),24549,3.08
Oristano,5,Spagna,23462,2.94
Orosei,1,Italia,2159380,60.87
Orosei,2,Germania,581024,16.38
Orosei,3,Svizzera (incluso Liechtenstein),251879,7.1
Orosei,4,Francia,113045,3.19
Orosei,5,Austria,55597,1.57
Orroli,1,Italia,1242,51.88
Orroli,2,Germania,318,13.28
Orroli,3,Francia,167,6.98
Orroli,4,Regno Unito,95,3.97
Orroli,5,Stati Uniti d'America,82,3.43
Ortueri,1,Italia,402,67.56
Ortueri,2,Francia,171,28.74
Ortueri,3,Polonia,8,1.34
Ortueri,4,Germania,4,0.67
Ortueri,5,Repubblica Ceca,3,0.5
Orune,1,Italia,15,100.0
Oschiri,1,Italia,1757,47.22
Oschiri,2,Germania,568,15.26
Oschiri,3,Francia,446,11.99
Oschiri,4,Paesi Bassi,181,4.86
Oschiri,5,Spagna,170,4.57
Osidda,1,Italia,77,88.51
Osidda,2,Francia,6,6.9
Osidda,3,Altri Paesi Europei,2,2.3
Osidda,4,Russia,2,2.3
Osilo,1,Francia,644,21.47
Osilo,2,Germania,594,19.81
Osilo,3,Italia,392,13.07
Osilo,4,Paesi Bassi,352,11.74
Osilo,5,Spagna,191,6.37
Osini,1,Italia,3504,58.55
Osini,2,Francia,526,8.79
Osini,3,Germania,524,8.76
Osini,4,Regno Unito,203,3.39
Osini,5,Svizzera (incluso Liechtenstein),164,2.74
Ossi,1,Italia,1277,36.83
Ossi,2,Francia,675,19.47
Ossi,3,Germania,444,12.81
Ossi,4,Spagna,358,10.33
Ossi,5,Paesi Bassi,160,4.61
Ottana,1,Italia,9305,91.62
Ottana,2,Cina,160,1.58
Ottana,3,Romania,128,1.26
Ottana,4,Altri Paesi dell'Africa,97,0.96
Ottana,5,Egitto,87,0.86
Ovodda,1,Italia,1194,97.47
Ovodda,2,Romania,17,1.39
Ovodda,3,Portogallo,10,0.82
Ovodda,4,Francia,4,0.33
Ozieri,1,Italia,14107,81.65
Ozieri,2,Romania,787,4.56
Ozieri,3,Francia,515,2.98
Ozieri,4,Germania,447,2.59
Ozieri,5,Spagna,213,1.23
Pabillonis,1,Italia,1947,53.11
Pabillonis,2,Germania,436,11.89
Pabillonis,3,Francia,277,7.56
Pabillonis,4,Spagna,236,6.44
Pabillonis,5,Polonia,200,5.46
Padria,1,Italia,190,58.64
Padria,2,Regno Unito,64,19.75
Padria,3,Svizzera (incluso Liechtenstein),41,12.65
Padria,4,Paesi Bassi,13,4.01
Padria,5,Germania,8,2.47
Padru,1,Italia,3726,41.35
Padru,2,Germania,1727,19.17
Padru,3,Francia,979,10.86
Padru,4,Spagna,397,4.41
Padru,5,Romania,282,3.13
Palau,1,Italia,1087272,42.56
Palau,2,Germania,567742,22.22
Palau,3,Svizzera (incluso Liechtenstein),206488,8.08
Palau,4,Francia,153160,5.99
Palau,5,Paesi Bassi,74889,2.93
Palmas Arborea,1,Italia,368,75.88
Palmas Arborea,2,Francia,65,13.4
Palmas Arborea,3,Repubblica Ceca,26,5.36
Palmas Arborea,4,Spagna,16,3.3
Palmas Arborea,5,Paesi Bassi,7,1.44
Pattada,1,Italia,274,50.18
Pattada,2,Francia,132,24.18
Pattada,3,Germania,36,6.59
Pattada,4,Svizzera (incluso Liechtenstein),28,5.13
Pattada,5,Spagna,15,2.75
Pau,1,Polonia,63,34.43
Pau,2,Belgio,48,26.23
Pau,3,Spagna,46,25.14
Pau,4,Francia,20,10.93
Pau,5,Altri Paesi Centro - Sud America,6,3.28
Pauli Arbarei,1,Italia,819,69.29
Pauli Arbarei,2,Germania,76,6.43
Pauli Arbarei,3,Francia,61,5.16
Pauli Arbarei,4,Spagna,41,3.47
Pauli Arbarei,5,Stati Uniti d'America,36,3.05
Paulilatino,1,Italia,4945,53.96
Paulilatino,2,Germania,1013,11.05
Paulilatino,3,Francia,672,7.33
Paulilatino,4,Spagna,439,4.79
Paulilatino,5,Paesi Bassi,256,2.79
Perdasdefogu,1,Italia,996,94.59
Perdasdefogu,2,Germania,11,1.04
Perdasdefogu,3,Svizzera (incluso Liechtenstein),10,0.95
Perdasdefogu,4,Austria,7,0.66
Perdasdefogu,5,Polonia,6,0.57
Perdaxius,1,Paesi Bassi,79,45.93
Perdaxius,2,Germania,42,24.42
Perdaxius,3,Svizzera (incluso Liechtenstein),14,8.14
Perdaxius,4,Italia,10,5.81
Perdaxius,5,Austria,7,4.07
Perfugas,1,Italia,1272,23.39
Perfugas,2,Francia,1239,22.78
Perfugas,3,Germania,598,11.0
Perfugas,4,Paesi Bassi,554,10.19
Perfugas,5,Spagna,503,9.25
Pimentel,1,Italia,683,24.63
Pimentel,2,Francia,565,20.38
Pimentel,3,Germania,482,17.38
Pimentel,4,Spagna,190,6.85
Pimentel,5,Belgio,168,6.06
Piscinas,1,Italia,1472,80.0
Piscinas,2,Germania,121,6.58
Piscinas,3,Francia,101,5.49
Piscinas,4,Polonia,25,1.36
Piscinas,5,Belgio,21,1.14
Ploaghe,1,Italia,1108,65.6
Ploaghe,2,Spagna,178,10.54
Ploaghe,3,Germania,119,7.05
Ploaghe,4,Francia,102,6.04
Ploaghe,5,Lituania,21,1.24
Pompu,1,Italia,114,65.52
Pompu,2,Moldavia,13,7.47
Pompu,3,Germania,12,6.9
Pompu,4,Croazia,10,5.75
Pompu,5,Francia,9,5.17
Porto Torres,1,Italia,120643,56.43
Porto Torres,2,Francia,29285,13.7
Porto Torres,3,Spagna,22591,10.57
Porto Torres,4,Germania,8895,4.16
Porto Torres,5,Polonia,4000,1.87
Portoscuso,1,Italia,56502,50.78
Portoscuso,2,Germania,12247,11.01
Portoscuso,3,Francia,10123,9.1
Portoscuso,4,Svizzera (incluso Liechtenstein),4570,4.11
Portoscuso,5,Regno Unito,3009,2.7
Posada,1,Italia,75598,56.29
Posada,2,Germania,24222,18.03
Posada,3,Francia,6950,5.17
Posada,4,Svizzera (incluso Liechtenstein),3660,2.73
Posada,5,Spagna,3062,2.28
Pozzomaggiore,1,Italia,1061,32.71
Pozzomaggiore,2,Spagna,647,19.94
Pozzomaggiore,3,Francia,387,11.93
Pozzomaggiore,4,Germania,382,11.78
Pozzomaggiore,5,Paesi Bassi,148,4.56
Pula,1,Italia,949624,43.44
Pula,2,Germania,302736,13.85
Pula,3,Svizzera (incluso Liechtenstein),164560,7.53
Pula,4,Regno Unito,161410,7.38
Pula,5,Francia,122917,5.62
Putifigari,1,Italia,1195,42.94
Putifigari,2,Francia,730,26.23
Putifigari,3,Spagna,187,6.72
Putifigari,4,Germania,108,3.88
Putifigari,5,Polonia,99,3.56
Quartu Sant'Elena,1,Italia,399619,35.08
Quartu Sant'Elena,2,Germania,155038,13.61
Quartu Sant'Elena,3,Francia,147470,12.95
Quartu Sant'Elena,4,Polonia,55867,4.9
Quartu Sant'Elena,5,Svizzera (incluso Liechtenstein),40766,3.58
Quartucciu,1,Italia,25664,50.27
Quartucciu,2,Germania,5093,9.98
Quartucciu,3,Francia,5037,9.87
Quartucciu,4,Spagna,2208,4.32
Quartucciu,5,Polonia,2066,4.05
Riola Sardo,1,Italia,33198,66.23
Riola Sardo,2,Germania,3909,7.8
Riola Sardo,3,Francia,3409,6.8
Riola Sardo,4,Svizzera (incluso Liechtenstein),1762,3.52
Riola Sardo,5,Belgio,1151,2.3
Ruinas,1,Francia,180,26.55
Ruinas,2,Germania,159,23.45
Ruinas,3,Italia,148,21.83
Ruinas,4,Paesi Bassi,40,5.9
Ruinas,5,Portogallo,30,4.42
Sadali,1,Italia,2918,86.79
Sadali,2,Germania,101,3.0
Sadali,3,Paesi Bassi,53,1.58
Sadali,4,Francia,37,1.1
Sadali,5,Svizzera (incluso Liechtenstein),37,1.1
Sagama,1,Italia,540,64.36
Sagama,2,Francia,146,17.4
Sagama,3,Germania,64,7.63
Sagama,4,Spagna,34,4.05
Sagama,5,Russia,9,1.07
Samassi,1,Italia,228,88.03
Samassi,2,Altri Paesi dell'Africa,20,7.72
Samassi,3,Stati Uniti d'America,6,2.32
Samassi,4,Altri Paesi Africa Mediterranea,3,1.16
Samassi,5,Francia,1,0.39
Samatzai,1,Italia,178,59.53
Samatzai,2,Francia,48,16.05
Samatzai,3,Romania,14,4.68
Samatzai,4,Slovacchia,12,4.01
Samatzai,5,Spagna,12,4.01
Samugheo,1,Italia,722,63.17
Samugheo,2,Stati Uniti d'America,140,12.25
Samugheo,3,Germania,138,12.07
Samugheo,4,Spagna,30,2.62
Samugheo,5,Giappone,20,1.75
San Gavino Monreale,1,Italia,4188,86.37
San Gavino Monreale,2,Germania,133,2.74
San Gavino Monreale,3,Argentina,80,1.65
San Gavino Monreale,4,Francia,74,1.53
San Gavino Monreale,5,Norvegia,66,1.36
San Giovanni Suergiu,1,Italia,22364,46.38
San Giovanni Suergiu,2,Germania,6388,13.25
San Giovanni Suergiu,3,Francia,4744,9.84
San Giovanni Suergiu,4,Svizzera (incluso Liechtenstein),2814,5.84
San Giovanni Suergiu,5,Polonia,2105,4.37
San Nicolò D'Arcidano,1,Italia,907,60.23
San Nicolò D'Arcidano,2,Germania,240,15.94
San Nicolò D'Arcidano,3,Spagna,84,5.58
San Nicolò D'Arcidano,4,Francia,54,3.59
San Nicolò D'Arcidano,5,Paesi Bassi,50,3.32
San Sperate,1,Italia,2475,38.08
San Sperate,2,Francia,1249,19.22
San Sperate,3,Germania,461,7.09
San Sperate,4,Spagna,336,5.17
San Sperate,5,Belgio,291,4.48
San Teodoro,1,Italia,1926106,58.97
San Teodoro,2,Germania,469623,14.38
San Teodoro,3,Svizzera (incluso Liechtenstein),151621,4.64
San Teodoro,4,Regno Unito,102539,3.14
San Teodoro,5,Francia,97675,2.99
San Vero Milis,1,Italia,106124,52.57
San Vero Milis,2,Germania,32460,16.08
San Vero Milis,3,Svizzera (incluso Liechtenstein),14224,7.05
San Vero Milis,4,Francia,11892,5.89
San Vero Milis,5,Paesi Bassi,5244,2.6
San Vito,1,Italia,12827,49.98
San Vito,2,Germania,5351,20.85
San Vito,3,Francia,1728,6.73
San Vito,4,Spagna,648,2.53
San Vito,5,Austria,594,2.31
Sanluri,1,Italia,11213,64.59
Sanluri,2,Germania,1302,7.5
Sanluri,3,Francia,988,5.69
Sanluri,4,Spagna,622,3.58
Sanluri,5,Stati Uniti d'America,464,2.67
Sant'Andrea Frius,1,Italia,72,78.26
Sant'Andrea Frius,2,Francia,13,14.13
Sant'Andrea Frius,3,Spagna,6,6.52
Sant'Andrea Frius,4,Germania,1,1.09
Sant'Anna Arresi,1,Italia,234715,72.64
Sant'Anna Arresi,2,Germania,21207,6.56
Sant'Anna Arresi,3,Francia,14517,4.49
Sant'Anna Arresi,4,Svizzera (incluso Liechtenstein),8023,2.48
Sant'Anna Arresi,5,Polonia,7155,2.21
Sant'Antioco,1,Italia,249648,56.65
Sant'Antioco,2,Germania,64155,14.56
Sant'Antioco,3,Francia,34804,7.9
Sant'Antioco,4,Svizzera (incluso Liechtenstein),22940,5.21
Sant'Antioco,5,Paesi Bassi,10293,2.34
Sant'Antonio Di Gallura,1,Paesi Bassi,9431,24.71
Sant'Antonio Di Gallura,2,Germania,7232,18.94
Sant'Antonio Di Gallura,3,Francia,5151,13.49
Sant'Antonio Di Gallura,4,Belgio,3876,10.15
Sant'Antonio Di Gallura,5,Italia,3098,8.12
Santa Giusta,1,Italia,3312,52.32
Santa Giusta,2,Francia,939,14.83
Santa Giusta,3,Germania,508,8.03
Santa Giusta,4,Spagna,284,4.49
Santa Giusta,5,Polonia,198,3.13
Santa Maria Coghinas,1,Italia,24087,41.58
Santa Maria Coghinas,2,Spagna,15401,26.59
Santa Maria Coghinas,3,Francia,6419,11.08
Santa Maria Coghinas,4,Germania,5198,8.97
Santa Maria Coghinas,5,Regno Unito,1142,1.97
Santa Teresa Gallura,1,Italia,891156,45.81
Santa Teresa Gallura,2,Francia,251325,12.92
Santa Teresa Gallura,3,Germania,227130,11.68
Santa Teresa Gallura,4,Svizzera (incluso Liechtenstein),86081,4.43
Santa Teresa Gallura,5,Regno Unito,56561,2.91
Santadi,1,Italia,1749,51.99
Santadi,2,Francia,413,12.28
Santadi,3,Germania,278,8.26
Santadi,4,Spagna,202,6.0
Santadi,5,Svizzera (incluso Liechtenstein),201,5.98
Santu Lussurgiu,1,Italia,15026,44.75
Santu Lussurgiu,2,Germania,4627,13.78
Santu Lussurgiu,3,Francia,3520,10.48
Santu Lussurgiu,4,Paesi Bassi,1458,4.34
Santu Lussurgiu,5,Svizzera (incluso Liechtenstein),1395,4.15
Sardara,1,Italia,195780,94.72
Sardara,2,Francia,1714,0.83
Sardara,3,Germania,1389,0.67
Sardara,4,Spagna,1273,0.62
Sardara,5,Regno Unito,895,0.43
Sarroch,1,Italia,39771,50.58
Sarroch,2,Germania,11504,14.63
Sarroch,3,Francia,5971,7.59
Sarroch,4,Regno Unito,3483,4.43
Sarroch,5,Svizzera (incluso Liechtenstein),2475,3.15
Sarule,1,Italia,969,79.49
Sarule,2,Francia,82,6.73
Sarule,3,Austria,41,3.36
Sarule,4,Altri Paesi Centro - Sud America,35,2.87
Sarule,5,Spagna,21,1.72
Sassari,1,Italia,630523,68.43
Sassari,2,Francia,52148,5.66
Sassari,3,Spagna,47562,5.16
Sassari,4,Germania,30967,3.36
Sassari,5,Romania,24629,2.67
Scano Di Montiferro,1,Italia,2042,24.02
Scano Di Montiferro,2,Francia,1921,22.6
Scano Di Montiferro,3,Germania,1303,15.33
Scano Di Montiferro,4,Spagna,1077,12.67
Scano Di Montiferro,5,Belgio,344,4.05
Sedilo,1,Italia,2545,48.07
Sedilo,2,Francia,593,11.2
Sedilo,3,Germania,450,8.5
Sedilo,4,Spagna,366,6.91
Sedilo,5,Svizzera (incluso Liechtenstein),172,3.25
Sedini,1,Italia,583,30.33
Sedini,2,Germania,407,21.18
Sedini,3,Francia,301,15.66
Sedini,4,Spagna,142,7.39
Sedini,5,Svizzera (incluso Liechtenstein),75,3.9
Selargius,1,Italia,86815,74.5
Selargius,2,Francia,5272,4.52
Selargius,3,Spagna,3699,3.17
Selargius,4,Germania,3346,2.87
Selargius,5,Polonia,1989,1.71
Selegas,1,Italia,108,46.75
Selegas,2,Germania,44,19.05
Selegas,3,Paesi Bassi,44,19.05
Selegas,4,Francia,17,7.36
Selegas,5,Altri Paesi Centro - Sud America,6,2.6
Seneghe,1,Germania,760,42.62
Seneghe,2,Francia,316,17.72
Seneghe,3,Italia,180,10.1
Seneghe,4,Paesi Bassi,95,5.33
Seneghe,5,Svizzera (incluso Liechtenstein),95,5.33
Sennariolo,1,Italia,1380,26.67
Sennariolo,2,Germania,1115,21.55
Sennariolo,3,Francia,929,17.95
Sennariolo,4,Belgio,413,7.98
Sennariolo,5,Paesi Bassi,387,7.48
Sennori,1,Italia,2180,24.49
Sennori,2,Spagna,1812,20.35
Sennori,3,Germania,1226,13.77
Sennori,4,Francia,1177,13.22
Sennori,5,Polonia,389,4.37
Senorbì,1,Italia,5420,88.88
Senorbì,2,Germania,162,2.66
Senorbì,3,Paesi Bassi,105,1.72
Senorbì,4,Spagna,67,1.1
Senorbì,5,Francia,65,1.07
Serdiana,1,Italia,376,44.76
Serdiana,2,Francia,123,14.64
Serdiana,3,Germania,53,6.31
Serdiana,4,Spagna,42,5.0
Serdiana,5,Regno Unito,36,4.29
Serramanna,1,Italia,1594,48.61
Serramanna,2,Francia,450,13.72
Serramanna,3,Germania,416,12.69
Serramanna,4,Spagna,238,7.26
Serramanna,5,Paesi Bassi,138,4.21
Serrenti,1,Italia,208,76.19
Serrenti,2,Paesi Bassi,22,8.06
Serrenti,3,Spagna,19,6.96
Serrenti,4,Brasile,12,4.4
Serrenti,5,Cina,4,1.47
Serri,1,Italia,869,47.96
Serri,2,Germania,256,14.13
Serri,3,Francia,181,9.99
Serri,4,Paesi Bassi,66,3.64
Serri,5,Belgio,56,3.09
Sestu,1,Italia,19012,66.43
Sestu,2,Francia,2617,9.14
Sestu,3,Spagna,1248,4.36
Sestu,4,Germania,1101,3.85
Sestu,5,Romania,544,1.9
Settimo San Pietro,1,Italia,2187,87.2
Settimo San Pietro,2,Spagna,96,3.83
Settimo San Pietro,3,Francia,75,2.99
Settimo San Pietro,4,Svizzera (incluso Liechtenstein),21,0.84
Settimo San Pietro,5,Portogallo,19,0.76
Seui,1,Canada,15,34.88
Seui,2,Italia,9,20.93
Seui,3,Germania,6,13.95
Seui,4,Paesi Bassi,6,13.95
Seui,5,Stati Uniti d'America,4,9.3
Seulo,1,Italia,1727,43.9
Seulo,2,Germania,536,13.62
Seulo,3,Danimarca,390,9.91
Seulo,4,Francia,336,8.54
Seulo,5,Paesi Bassi,160,4.07
Siamaggiore,1,Italia,3662,36.0
Siamaggiore,2,Germania,1616,15.89
Siamaggiore,3,Francia,1325,13.02
Siamaggiore,4,Paesi Bassi,768,7.55
Siamaggiore,5,Belgio,501,4.92
Siamanna,1,Italia,463,69.73
Siamanna,2,Francia,110,16.57
Siamanna,3,Spagna,21,3.16
Siamanna,4,Germania,19,2.86
Siamanna,5,Svizzera (incluso Liechtenstein),17,2.56
Siddi,1,Italia,12,48.0
Siddi,2,Germania,6,24.0
Siddi,3,Francia,3,12.0
Siddi,4,Belgio,2,8.0
Siddi,5,Spagna,1,4.0
Silanus,1,Italia,104,100.0
Siliqua,1,Italia,359,39.23
Siliqua,2,Francia,91,9.95
Siliqua,3,Paesi Bassi,80,8.74
Siliqua,4,Germania,66,7.21
Siliqua,5,Spagna,65,7.1
Silius,1,Italia,42,27.27
Silius,2,Francia,39,25.32
Silius,3,Polonia,34,22.08
Silius,4,Argentina,10,6.49
Silius,5,Germania,7,4.55
Simaxis,1,Italia,1841,63.35
Simaxis,2,Francia,349,12.01
Simaxis,3,Germania,258,8.88
Simaxis,4,Spagna,143,4.92
Simaxis,5,Paesi Bassi,37,1.27
Sindia,1,Italia,262,42.74
Sindia,2,Spagna,208,33.93
Sindia,3,Romania,66,10.77
Sindia,4,Altri Paesi dell'Asia,32,5.22
Sindia,5,Polonia,14,2.28
Sini,1,Italia,65,37.57
Sini,2,Germania,47,27.17
Sini,3,Francia,19,10.98
Sini,4,Svizzera (incluso Liechtenstein),14,8.09
Sini,5,Paesi Bassi,6,3.47
Siniscola,1,Italia,428660,58.06
Siniscola,2,Germania,126454,17.13
Siniscola,3,Svizzera (incluso Liechtenstein),31586,4.28
Siniscola,4,Francia,31321,4.24
Siniscola,5,Austria,18255,2.47
Sinnai,1,Italia,57949,41.27
Sinnai,2,Germania,28143,20.04
Sinnai,3,Francia,10018,7.13
Sinnai,4,Svizzera (incluso Liechtenstein),8383,5.97
Sinnai,5,Polonia,4240,3.02
Siurgus Donigala,1,Italia,235,35.55
Siurgus Donigala,2,Germania,102,15.43
Siurgus Donigala,3,Francia,82,12.41
Siurgus Donigala,4,Spagna,58,8.77
Siurgus Donigala,5,Polonia,42,6.35
Solarussa,1,Italia,1878,30.61
Solarussa,2,Francia,1196,19.49
Solarussa,3,Germania,870,14.18
Solarussa,4,Altri Paesi Europei,332,5.41
Solarussa,5,Spagna,289,4.71
Soleminis,1,Italia,902,45.93
Soleminis,2,Germania,196,9.98
Soleminis,3,Francia,194,9.88
Soleminis,4,Spagna,160,8.15
Soleminis,5,Paesi Bassi,131,6.67
Sorgono,1,Italia,2189,55.03
Sorgono,2,Germania,414,10.41
Sorgono,3,Francia,369,9.28
Sorgono,4,Paesi Bassi,208,5.23
Sorgono,5,Spagna,117,2.94
Sorradile,1,Italia,571,78.11
Sorradile,2,Regno Unito,32,4.38
Sorradile,3,Islanda,30,4.1
Sorradile,4,Romania,28,3.83
Sorradile,5,Egitto,23,3.15
Sorso,1,Italia,182876,47.16
Sorso,2,Francia,93019,23.99
Sorso,3,Germania,31115,8.02
Sorso,4,Spagna,14727,3.8
Sorso,5,Svizzera (incluso Liechtenstein),8202,2.12
Stintino,1,Italia,1015893,75.05
Stintino,2,Germania,69615,5.14
Stintino,3,Francia,42810,3.16
Stintino,4,Svizzera (incluso Liechtenstein),34424,2.54
Stintino,5,Spagna,34149,2.52
Suni,1,Italia,1445,36.43
Suni,2,Francia,808,20.37
Suni,3,Germania,524,13.21
Suni,4,Spagna,377,9.51
Suni,5,Belgio,167,4.21
Talana,1,Italia,381,29.06
Talana,2,Svizzera (incluso Liechtenstein),218,16.63
Talana,3,Germania,204,15.56
Talana,4,Malta,120,9.15
Talana,5,Francia,92,7.02
Telti,1,Italia,4667,32.67
Telti,2,Germania,2168,15.18
Telti,3,Francia,2028,14.2
Telti,4,Regno Unito,951,6.66
Telti,5,Spagna,777,5.44
Tempio Pausania,1,Italia,71402,50.24
Tempio Pausania,2,Germania,11415,8.03
Tempio Pausania,3,Paesi Bassi,11228,7.9
Tempio Pausania,4,Polonia,10736,7.55
Tempio Pausania,5,Francia,10685,7.52
Tergu,1,Italia,7772,22.61
Tergu,2,Francia,7126,20.73
Tergu,3,Spagna,5755,16.75
Tergu,4,Germania,3777,10.99
Tergu,5,Ungheria,1639,4.77
Terralba,1,Italia,10937,68.81
Terralba,2,Francia,1107,6.96
Terralba,3,Germania,1013,6.37
Terralba,4,Spagna,448,2.82
Terralba,5,Polonia,292,1.84
