comune,anno,mese,letti_totali,superficie_kmq,densita_ricettiva,copertura_sufficiente
Anela,2022,11,10,36.781,0.27,True
Anela,2022,12,10,36.781,0.27,True
Arborea,2022,1,1905,94.668,20.12,True
Arborea,2022,2,1905,94.668,20.12,True
Arborea,2022,3,1905,94.668,20.12,True
Arborea,2022,4,1905,94.668,20.12,True
Arborea,2022,5,1905,94.668,20.12,True
Arborea,2022,6,1905,94.668,20.12,True
Arborea,2022,7,1905,94.668,20.12,True
Arborea,2022,8,1905,94.668,20.12,True
Arborea,2022,9,1905,94.668,20.12,True
Arborea,2022,10,1905,94.668,20.12,True
Arborea,2022,11,1905,94.668,20.12,True
Arborea,2022,12,1905,94.668,20.12,True
Arbus,2022,1,1362,269.273,5.06,True
Arbus,2022,2,1362,269.273,5.06,True
Arbus,2022,3,1362,269.273,5.06,True
Arbus,2022,4,1362,269.273,5.06,True
Arbus,2022,5,1362,269.273,5.06,True
Arbus,2022,6,1362,269.273,5.06,True
Arbus,2022,7,1362,269.273,5.06,True
Arbus,2022,8,1362,269.273,5.06,True
Arbus,2022,9,1362,269.273,5.06,True
Arbus,2022,10,1362,269.273,5.06,True
Arbus,2022,11,1362,269.273,5.06,True
Arbus,2022,12,1362,269.273,5.06,True
Ardara,2022,1,4,38.173,0.1,True
Ardara,2022,2,4,38.173,0.1,True
Ardara,2022,3,4,38.173,0.1,True
Ardara,2022,4,4,38.173,0.1,True
Ardara,2022,5,4,38.173,0.1,True
Ardara,2022,6,4,38.173,0.1,True
Ardara,2022,7,4,38.173,0.1,True
Ardara,2022,8,4,38.173,0.1,True
Ardara,2022,9,4,38.173,0.1,True
Ardara,2022,10,4,38.173,0.1,True
Ardara,2022,11,4,38.173,0.1,True
Ardara,2022,12,4,38.173,0.1,True
Ardauli,2022,1,0,20.564,0.0,False
Ardauli,2022,2,0,20.564,0.0,False
Ardauli,2022,3,0,20.564,0.0,False
Ardauli,2022,4,0,20.564,0.0,False
Ardauli,2022,5,0,20.564,0.0,False
Ardauli,2022,6,0,20.564,0.0,False
Ardauli,2022,7,0,20.564,0.0,False
Ardauli,2022,8,0,20.564,0.0,False
Ardauli,2022,9,0,20.564,0.0,False
Ardauli,2022,10,0,20.564,0.0,False
Ardauli,2022,11,0,20.564,0.0,False
Ardauli,2022,12,0,20.564,0.0,False
Aritzo,2022,1,261,75.183,3.47,True
Aritzo,2022,2,261,75.183,3.47,True
Aritzo,2022,3,261,75.183,3.47,True
Aritzo,2022,4,261,75.183,3.47,True
Aritzo,2022,5,261,75.183,3.47,True
Aritzo,2022,6,261,75.183,3.47,True
Aritzo,2022,7,261,75.183,3.47,True
Aritzo,2022,8,261,75.183,3.47,True
Aritzo,2022,9,261,75.183,3.47,True
Aritzo,2022,10,261,75.183,3.47,True
Aritzo,2022,11,261,75.183,3.47,True
Aritzo,2022,12,261,75.183,3.47,True
Armungia,2022,1,20,55.243,0.36,True
Armungia,2022,2,20,55.243,0.36,True
Armungia,2022,3,20,55.243,0.36,True
Armungia,2022,4,20,55.243,0.36,True
Armungia,2022,5,20,55.243,0.36,True
Armungia,2022,6,20,55.243,0.36,True
Armungia,2022,7,20,55.243,0.36,True
Armungia,2022,8,20,55.243,0.36,True
Armungia,2022,9,20,55.243,0.36,True
Armungia,2022,10,20,55.243,0.36,True
Armungia,2022,11,20,55.243,0.36,True
Armungia,2022,12,20,55.243,0.36,True
Arzachena,2022,1,20916,231.32,90.42,True
Arzachena,2022,2,20916,231.32,90.42,True
Arzachena,2022,3,20916,231.32,90.42,True
Arzachena,2022,4,20916,231.32,90.42,True
Arzachena,2022,5,20916,231.32,90.42,True
Arzachena,2022,6,20916,231.32,90.42,True
Arzachena,2022,7,20916,231.32,90.42,True
Arzachena,2022,8,20916,231.32,90.42,True
Arzachena,2022,9,20916,231.32,90.42,True
Arzachena,2022,10,20916,231.32,90.42,True
Arzachena,2022,11,20916,231.32,90.42,True
Arzachena,2022,12,20916,231.32,90.42,True
Arzana,2022,1,73,162.755,0.45,True
Arzana,2022,2,73,162.755,0.45,True
Arzana,2022,3,73,162.755,0.45,True
Arzana,2022,4,73,162.755,0.45,True
Arzana,2022,5,73,162.755,0.45,True
Arzana,2022,6,73,162.755,0.45,True
Arzana,2022,7,73,162.755,0.45,True
Arzana,2022,8,73,162.755,0.45,True
Arzana,2022,9,73,162.755,0.45,True
Arzana,2022,10,73,162.755,0.45,True
Arzana,2022,11,73,162.755,0.45,True
