Comune,Totale
Vallermosa,1782
Villacidro,12997
Villamar,2408
Villamassargia,3298
Villanovaforru,695
Villanovafranca,1148
Villanova Tulo,1003
Villaperuccio,1015
Villaputzu,4368
Villasalto,903
Villasimius,3735
Villasor,6534
Villaspeciosa,2628
