Comune,Totale
Aggius,1411
Aglientu,1168
Alà dei Sardi,1765
Alghero,42420
Anela,568
Ardara,730
Arzachena,13399
Badesi,1822
Banari,515
Benetutti,1683
Berchidda,2605
Bessude,383
Bonnanaro,920
Bono,3319
Bonorva,3178
Bortigiadas,714
Borutta,254
Bottidda,648
Buddusò,3614
Budoni,5434
Bultei,829
Bulzi,452
Burgos,852
Calangianus,3815
Cargeghe,585
Castelsardo,5674
Cheremule,396
Chiaramonti,1531
Codrongianos,1279
Cossoine,761
Erula,688
Esporlatu,375
Florinas,1446
Giave,483
Golfo Aranci,2376
Illorai,748
Ittireddu,470
Ittiri,8043
Laerru,845
La Maddalena,10609
Loiri Porto San Paolo,3689
Luogosanto,1825
Luras,2387
Mara,530
Martis,467
Monteleone Rocca Doria,106
Monti,2334
Mores,1722
Muros,819
Nughedu San Nicolò,748
Nule,1285
Nulvi,2638
Olbia,61172
Olmedo,4187
Oschiri,3016
Osilo,2800
Ossi,5474
Ozieri,9853
Padria,598
Padru,2072
Palau,4053
Pattada,2859
Perfugas,2253
Ploaghe,4285
Porto Torres,21202
Pozzomaggiore,2378
Putifigari,674
Romana,480
Santa Maria Coghinas,1303
Sant'Antonio di Gallura,1432
Santa Teresa Gallura,5036
San Teodoro,5035
Sassari,121409
Sedini,1247
Semestene,130
Sennori,6876
Siligo,791
Sorso,14434
Stintino,1535
Telti,2231
Tempio Pausania,13238
Tergu,607
Thiesi,2777
Tissi,2339
Torralba,888
Trinità d'Agultu e Vignola,2239
Tula,1439
Uri,2826
Usini,4219
Valledoria,4301
Viddalba,1596
Villanova Monteleone,2098
Aritzo,1201
Arzana,2232
Atzara,1002
Austis,744
Bari Sardo,3837
Baunei,3437
Belvì,555
Birori,496
Bitti,2584
Bolotana,2362
Borore,1953
Bortigali,1229
Cardedu,1943
Desulo,2078
Dorgali,8354
Dualchi,571
Elini,556
Fonni,3644
Gadoni,678
Gairo,1293
Galtellì,2356
Gavoi,2488
Girasole,1353
Ilbono,1986
Irgoli,2201
Jerzu,3003
Lanusei,5049
Lei,465
Loceri,1287
Loculi,491
Lodè,1509
Lodine,305
Lotzorai,2126
Lula,1256
Macomer,9352
Mamoiada,2384
Meana Sardo,1599
Noragugume,279
Nuoro,33923
Oliena,6607
Ollolai,1174
Olzai,766
Onanì,359
Onifai,709
Oniferi,859
Orani,2702
Orgosolo,3948
Orosei,6799
Orotelli,1892
Ortueri,1029
Orune,2141
Osidda,217
Osini,714
Ottana,2173
Ovodda,1522
Perdasdefogu,1724
Posada,3029
Sarule,1527
Silanus,1984
Sindia,1586
Siniscola,11194
Sorgono,1491
Talana,955
Tertenia,3867
Teti,595
Tiana,435
Tonara,1755
Torpè,2705
Tortolì,10985
Triei,1056
Ulassai,1371
Urzulei,1094
Ussassai,448
Villagrande Strisaili,2947
Assemini,25926
Cagliari,148296
Capoterra,23181
Decimomannu,8390
Elmas,9448
Maracalagonis,7940
Monserrato,18968
Pula,7135
Quartucciu,12852
Quartu Sant'Elena,68755
Sarroch,5048
Selargius,28504
Sestu,20811
Settimo San Pietro,6913
Sinnai,17227
Uta,8814
Villa San Pietro,2156
Abbasanta,2585
Aidomaggiore,395
Albagiara,241
Ales,1267
Allai,357
Arborea,3746
Ardauli,764
Assolo,342
Asuni,303
Baradili,78
Baratili San Pietro,1220
Baressa,559
Bauladu,632
Bidonì,126
Bonarcado,1525
Boroneddu,150
Bosa,7488
Busachi,1153
