Comune,Totale
Aggius,1411
Aglientu,1177
Alà dei Sardi,1776
Alghero,42281
Anela,560
Ardara,716
Arzachena,13436
Badesi,1838
Banari,515
Benetutti,1664
Berchidda,2584
Bessude,375
Bonnanaro,910
Bono,3293
Bonorva,3126
Bortigiadas,709
Borutta,242
Bottidda,654
Buddusò,3542
Budoni,5504
Bultei,804
Bulzi,459
Burgos,834
Calangianus,3785
Cargeghe,586
Castelsardo,5625
Cheremule,393
Chiaramonti,1526
Codrongianos,1267
Cossoine,753
Erula,688
Esporlatu,366
Florinas,1445
Giave,477
Golfo Aranci,2375
Illorai,730
Ittireddu,462
Ittiri,7937
Laerru,822
La Maddalena,10582
Loiri Porto San Paolo,3741
Luogosanto,1802
Luras,2375
Mara,528
Martis,459
Monteleone Rocca Doria,103
Monti,2348
Mores,1698
Muros,814
Nughedu San Nicolò,725
Nule,1286
Nulvi,2588
Olbia,61481
Olmedo,4208
Oschiri,2970
Osilo,2791
Ossi,5438
Ozieri,9762
Padria,585
Padru,2089
Palau,4113
Pattada,2827
Perfugas,2243
Ploaghe,4242
Porto Torres,21041
Pozzomaggiore,2339
Putifigari,665
Romana,476
Santa Maria Coghinas,1303
Sant'Antonio di Gallura,1427
Santa Teresa Gallura,5044
San Teodoro,5113
Sassari,121085
Sedini,1223
Semestene,125
Sennori,6856
Siligo,765
Sorso,14374
Stintino,1529
Telti,2217
Tempio Pausania,13133
Tergu,608
Thiesi,2715
Tissi,2342
Torralba,874
Trinità d'Agultu e Vignola,2351
Tula,1431
Uri,2842
Usini,4187
Valledoria,4314
Viddalba,1595
Villanova Monteleone,2074
Aritzo,1217
Arzana,2215
Atzara,978
Austis,741
Bari Sardo,3823
Baunei,3402
Belvì,548
Birori,490
Bitti,2547
Bolotana,2317
Borore,1930
Bortigali,1248
Cardedu,1973
Desulo,2042
Dorgali,8320
Dualchi,562
Elini,551
Fonni,3620
Gadoni,658
Gairo,1260
Galtellì,2365
Gavoi,2451
Girasole,1366
Ilbono,1971
Irgoli,2208
Jerzu,2947
Lanusei,5024
Lei,447
Loceri,1303
Loculi,489
Lodè,1491
Lodine,300
Lotzorai,2116
Lula,1242
Macomer,9166
Mamoiada,2389
Meana Sardo,1579
Noragugume,274
Nuoro,33622
Oliena,6530
Ollolai,1154
Olzai,756
Onanì,353
Onifai,718
Oniferi,852
Orani,2664
Orgosolo,3905
Orosei,6833
Orotelli,1862
Ortueri,1002
Orune,2098
Osidda,224
Osini,701
Ottana,2173
Ovodda,1481
Perdasdefogu,1717
Posada,3024
Sarule,1492
Silanus,1946
Sindia,1593
Siniscola,11189
Sorgono,1462
Talana,957
Tertenia,3862
Teti,588
Tiana,431
Tonara,1757
Torpè,2730
Tortolì,11000
Triei,1056
Ulassai,1361
Urzulei,1071
Ussassai,445
Villagrande Strisaili,2911
Assemini,25762
Cagliari,147411
Capoterra,23130
Decimomannu,8385
Elmas,9521
Maracalagonis,7934
Monserrato,18827
Pula,7122
Quartucciu,12831
Quartu Sant'Elena,68509
Sarroch,5008
Selargius,28437
Sestu,20792
Settimo San Pietro,6963
Sinnai,17279
Uta,8892
Villa San Pietro,2159
Abbasanta,2567
Aidomaggiore,382
Albagiara,229
Ales,1257
Allai,349
Arborea,3733
Ardauli,760
Assolo,329
Asuni,300
Baradili,80
Baratili San Pietro,1210
Baressa,553
Bauladu,612
Bidonì,122
Bonarcado,1533
Boroneddu,156
Bosa,7398
Busachi,1131
Cabras,8831
Cuglieri,2446
Curcuris,302
Flussio,398
Fordongianus,815
Ghilarza,4121
Gonnoscodina,427
Gonnosnò,676
Gonnostramatza,796
Laconi,1645
Magomadas,604
Marrubiu,4559
Masullas,1000
Milis,1395
Modolo,175
Mogorella,402
Mogoro,3869
Montresta,443
Morgongiori,643
Narbolia,1640
Neoneli,607
Norbello,1121
Nughedu Santa Vittoria,425
Nurachi,1660
Nureci,309
Ollastra,1103
Oristano,30287
Palmas Arborea,1501
Pau,270
Paulilatino,2105
Pompu,220
Riola Sardo,2010
Ruinas,586
Sagama,188
Samugheo,2708
San Nicolò d'Arcidano,2451
Santa Giusta,4601
Santu Lussurgiu,2197
San Vero Milis,2408
Scano di Montiferro,1384
Sedilo,1934
Seneghe,1620
Senis,386
Sennariolo,153
Siamaggiore,866
Siamanna,752
Siapiccia,350
Simala,293
Simaxis,2100
Sini,494
Siris,228
Soddì,121
Solarussa,2253
Sorradile,334
Suni,980
Tadasuni,126
Terralba,9633
Tinnura,248
Tramatza,921
Tresnuraghes,1011
Ulà Tirso,452
Uras,2669
Usellus,694
Villanova Truschedu,297
Villa Sant'Antonio,325
Villaurbana,1448
Villa Verde,267
Zeddiani,1127
Zerfaliu,980
Arbus,5658
Armungia,399
Ballao,719
Barrali,1099
Barumini,1135
Buggerru,1026
Burcei,2617
Calasetta,2821
Carbonia,25971
Carloforte,5919
Castiadas,1707
Collinas,755
Decimoputzu,4170
Dolianova,9382
Domus de Maria,1642
Domusnovas,5801
Donori,1959
Escalaplano,2055
Escolca,539
Esterzili,560
Fluminimaggiore,2631
Furtei,1504
Genoni,744
Genuri,299
Gergei,1101
Gesico,728
Gesturi,1136
Giba,1914
Goni,439
Gonnesa,4557
Gonnosfanadiga,6090
Guamaggiore,894
Guasila,2460
Guspini,10856
Iglesias,24908
Isili,2443
Las Plassas,205
Lunamatrona,1597
Mandas,1968
Masainas,1198
Monastir,4718
Muravera,5085
Musei,1498
Narcao,3035
Nuragus,815
Nurallao,1126
Nuraminis,2328
Nurri,2017
Nuxis,1420
Orroli,1956
Ortacesus,875
Pabillonis,2438
Pauli Arbarei,546
Perdaxius,1301
Pimentel,1102
Piscinas,771
