comune,anno,abitazioni_totali,abitazioni_occupate,abitazioni_non_occupate,somma_controllo,differenza
Bottidda,2021,500,302,198,500,0
Bottidda,2023,502,302,200,502,0
Buddusò,2019,2133,1437,696,2133,0
Buddusò,2021,2140,1431,709,2140,0
Buddusò,2023,2185,1393,792,2185,0
Budoni,2019,10155,2610,7545,10155,0
Budoni,2021,10270,2758,7512,10270,0
Budoni,2023,10626,2904,7722,10626,0
Buggerru,2019,1401,481,920,1401,0
Buggerru,2021,1396,515,881,1396,0
Buggerru,2023,1408,517,891,1408,0
Bultei,2019,807,379,428,807,0
Bultei,2021,809,385,424,809,0
Bultei,2023,816,372,444,816,0
Bulzi,2019,405,240,165,405,0
Bulzi,2021,406,247,159,406,0
Bulzi,2023,402,243,159,402,0
Burcei,2019,1340,1057,283,1340,0
Burcei,2021,1349,1043,306,1349,0
Burcei,2023,1361,1045,316,1361,0
Burgos,2019,628,423,205,628,0
Burgos,2021,627,420,207,627,0
Burgos,2023,634,411,223,634,0
Busachi,2019,1103,574,529,1103,0
Busachi,2021,1105,540,565,1105,0
Busachi,2023,1110,535,575,1110,0
Cabras,2019,5494,3858,1636,5494,0
Cabras,2021,5524,3887,1637,5524,0
Cabras,2023,5615,3914,1701,5615,0
Cagliari,2019,80132,73411,6721,80132,0
Cagliari,2021,80388,74318,6070,80388,0
Cagliari,2023,82245,74959,7286,82245,0
Calangianus,2019,2487,1614,873,2487,0
Calangianus,2021,2496,1595,901,2496,0
Calangianus,2023,2516,1588,928,2516,0
Calasetta,2019,3998,1485,2513,3998,0
Calasetta,2021,4025,1489,2536,4025,0
Calasetta,2023,4086,1535,2551,4086,0
Capoterra,2019,10312,9522,790,10312,0
Capoterra,2021,10931,10202,729,10931,0
Capoterra,2023,11099,10528,571,11099,0
Carbonia,2019,14297,12106,2191,14297,0
Carbonia,2021,14309,12293,2016,14309,0
Carbonia,2023,14630,12371,2259,14630,0
Cardedu,2019,1097,967,130,1097,0
Cardedu,2021,1191,960,231,1191,0
Cardedu,2023,1276,977,299,1276,0
Cargeghe,2019,379,255,124,379,0
Cargeghe,2021,380,252,128,380,0
Cargeghe,2023,382,269,113,382,0
Carloforte,2019,7338,2949,4389,7338,0
Carloforte,2021,7358,3031,4327,7358,0
Carloforte,2023,7436,3061,4375,7436,0
Castelsardo,2019,5758,2831,2927,5758,0
Castelsardo,2021,5818,2851,2967,5818,0
Castelsardo,2023,5991,2881,3110,5991,0
Castiadas,2019,1718,761,957,1718,0
Castiadas,2021,1756,794,962,1756,0
Castiadas,2023,1837,841,996,1837,0
Cheremule,2019,381,197,184,381,0
Cheremule,2021,382,199,183,382,0
Cheremule,2023,383,197,186,383,0
Chiaramonti,2019,1150,720,430,1150,0
Chiaramonti,2021,1154,728,426,1154,0
Chiaramonti,2023,1169,739,430,1169,0
Codrongianos,2019,796,538,258,796,0
Codrongianos,2021,796,552,244,796,0
Codrongianos,2023,806,575,231,806,0
Collinas,2019,568,371,197,568,0
Collinas,2021,566,369,197,566,0
Collinas,2023,563,353,210,563,0
Cossoine,2019,646,364,282,646,0
Cossoine,2021,648,362,286,648,0
Cossoine,2023,647,378,269,647,0
Cuglieri,2019,3565,1300,2265,3565,0
Cuglieri,2021,3572,1282,2290,3572,0
Cuglieri,2023,3602,1273,2329,3602,0
Curcuris,2019,199,132,67,199,0
Curcuris,2021,199,136,63,199,0
Curcuris,2023,205,132,73,205,0
Decimomannu,2019,3607,3300,307,3607,0
Decimomannu,2021,3645,3452,193,3645,0
Decimomannu,2023,3759,3550,209,3759,0
Decimoputzu,2019,1960,1707,253,1960,0
Decimoputzu,2021,1970,1761,209,1970,0
Decimoputzu,2023,2009,1789,220,2009,0
Desulo,2019,1904,1116,788,1904,0
Desulo,2021,1903,1058,845,1903,0
Desulo,2023,1908,1040,868,1908,0
Dolianova,2019,4729,3965,764,4729,0
Dolianova,2021,4754,3978,776,4754,0
Dolianova,2023,4816,4014,802,4816,0
Domus De Maria,2019,2545,830,1715,2545,0
Domus De Maria,2021,2552,843,1709,2552,0
Domus De Maria,2023,2575,868,1707,2575,0
Domusnovas,2019,3117,2455,662,3117,0
Domusnovas,2021,3126,2464,662,3126,0
Domusnovas,2023,3182,2519,663,3182,0
Donori,2019,958,790,168,958,0
Donori,2021,984,805,179,984,0
Donori,2023,1008,826,182,1008,0
Dorgali,2019,6306,3516,2790,6306,0
Dorgali,2021,6343,3612,2731,6343,0
Dorgali,2023,6429,3666,2763,6429,0
Dualchi,2019,451,265,186,451,0
Dualchi,2021,449,276,173,449,0
Dualchi,2023,446,275,171,446,0
Elini,2019,374,235,139,374,0
Elini,2021,369,231,138,369,0
Elini,2023,367,235,132,367,0
Elmas,2019,4334,4038,296,4334,0
Elmas,2021,4408,4192,216,4408,0
Elmas,2023,4623,4451,172,4623,0
Erula,2019,395,311,84,395,0
Erula,2021,396,315,81,396,0
Erula,2023,394,314,80,394,0
Escalaplano,2019,1391,949,442,1391,0
Escalaplano,2021,1395,937,458,1395,0
Escalaplano,2023,1401,941,460,1401,0
Escolca,2019,363,268,95,363,0
Escolca,2021,363,266,97,363,0
Escolca,2023,365,266,99,365,0
Esporlatu,2019,279,177,102,279,0
Esporlatu,2021,279,183,96,279,0
Esporlatu,2023,280,184,96,280,0
Esterzili,2019,688,310,378,688,0
Esterzili,2021,691,304,387,691,0
Esterzili,2023,702,318,384,702,0
Florinas,2019,974,627,347,974,0
Florinas,2021,974,612,362,974,0
Florinas,2023,989,627,362,989,0
Fluminimaggiore,2019,2206,1210,996,2206,0
Fluminimaggiore,2021,2216,1210,1006,2216,0
Fluminimaggiore,2023,2247,1231,1016,2247,0
Flussio,2019,338,212,126,338,0
Flussio,2021,338,217,121,338,0
Flussio,2023,345,205,140,345,0
Fonni,2019,2258,1578,680,2258,0
Fonni,2021,2258,1579,679,2258,0
Fonni,2023,2296,1578,718,2296,0
Fordongianus,2019,791,416,375,791,0
Fordongianus,2021,790,416,374,790,0
Fordongianus,2023,787,415,372,787,0
Furtei,2019,869,642,227,869,0
Furtei,2021,875,648,227,875,0
Furtei,2023,888,649,239,888,0
Gadoni,2019,705,370,335,705,0
Gadoni,2021,703,356,347,703,0
Gadoni,2023,705,348,357,705,0
Gairo,2019,743,680,63,743,0
Gairo,2021,743,684,59,743,0
Gairo,2023,799,679,120,799,0
Galtellì,2019,1206,1067,139,1206,0
Galtellì,2021,1206,1073,133,1206,0
Galtellì,2023,1244,1060,184,1244,0
Gavoi,2019,1764,1126,638,1764,0
Gavoi,2021,1628,1117,511,1628,0
Gavoi,2023,1631,1135,496,1631,0
Genoni,2019,538,357,181,538,0
Genoni,2021,539,347,192,539,0
Genoni,2023,541,347,194,541,0
Genuri,2019,275,138,137,275,0
Genuri,2021,274,141,133,274,0
Genuri,2023,274,137,137,274,0
Gergei,2019,820,528,292,820,0
Gergei,2021,820,513,307,820,0
Gergei,2023,816,519,297,816,0
Gesico,2019,484,331,153,484,0
Gesico,2021,488,318,170,488,0
Gesico,2023,486,313,173,486,0
Gesturi,2019,787,530,257,787,0
Gesturi,2021,795,529,266,795,0
Gesturi,2023,801,531,270,801,0
Ghilarza,2019,2775,1879,896,2775,0
Ghilarza,2021,2791,1843,948,2791,0
Ghilarza,2023,2839,1857,982,2839,0
Giave,2019,646,254,392,646,0
Giave,2021,642,250,392,642,0
Giave,2023,637,241,396,637,0
Giba,2019,1308,863,445,1308,0
Giba,2021,1334,890,444,1334,0
Giba,2023,1352,940,412,1352,0
Girasole,2019,732,558,174,732,0
Girasole,2021,736,563,173,736,0
Girasole,2023,751,590,161,751,0
Golfo Aranci,2019,5275,1207,4068,5275,0
Golfo Aranci,2021,5294,1191,4103,5294,0
Golfo Aranci,2023,5400,1202,4198,5400,0
Goni,2019,272,215,57,272,0
Goni,2021,273,222,51,273,0
Goni,2023,277,217,60,277,0
Gonnesa,2019,2892,2124,768,2892,0
Gonnesa,2021,2898,2107,791,2898,0
Gonnesa,2023,2903,2100,803,2903,0
Gonnoscodina,2019,345,196,149,345,0
Gonnoscodina,2021,346,194,152,346,0
Gonnoscodina,2023,351,195,156,351,0
Gonnosfanadiga,2019,3562,2678,884,3562,0
Gonnosfanadiga,2021,3569,2685,884,3569,0
Gonnosfanadiga,2023,3576,2691,885,3576,0
Gonnosnò,2019,527,322,205,527,0
