comune,anno,abitazioni_totali,abitazioni_occupate,abitazioni_non_occupate,somma_controllo,differenza
Perdasdefogu,2021,1293,815,478,1293,0
Perdasdefogu,2023,1295,808,487,1295,0
Perdaxius,2019,768,552,216,768,0
Perdaxius,2021,773,553,220,773,0
Perdaxius,2023,797,553,244,797,0
Perfugas,2019,1495,965,530,1495,0
Perfugas,2021,1498,965,533,1498,0
Perfugas,2023,1503,985,518,1503,0
Pimentel,2019,595,442,153,595,0
Pimentel,2021,601,468,133,601,0
Pimentel,2023,608,480,128,608,0
Piscinas,2019,534,358,176,534,0
Piscinas,2021,534,373,161,534,0
Piscinas,2023,544,366,178,544,0
Ploaghe,2019,2397,1817,580,2397,0
Ploaghe,2021,2404,1840,564,2404,0
Ploaghe,2023,2438,1850,588,2438,0
Pompu,2019,152,92,60,152,0
Pompu,2021,152,92,60,152,0
Pompu,2023,155,98,57,155,0
Porto Torres,2019,10437,9261,1176,10437,0
Porto Torres,2021,10475,9261,1214,10475,0
Porto Torres,2023,10561,9300,1261,10561,0
Portoscuso,2019,3303,2179,1124,3303,0
Portoscuso,2021,3303,2200,1103,3303,0
Portoscuso,2023,3337,2211,1126,3337,0
Posada,2019,3501,1532,1969,3501,0
Posada,2021,3521,1593,1928,3521,0
Posada,2023,3589,1610,1979,3589,0
Pozzomaggiore,2019,2002,1175,827,2002,0
Pozzomaggiore,2021,1999,1174,825,1999,0
Pozzomaggiore,2023,1987,1135,852,1987,0
Pula,2019,7187,3267,3920,7187,0
Pula,2021,7223,3282,3941,7223,0
Pula,2023,7274,3375,3899,7274,0
Putifigari,2019,460,309,151,460,0
Putifigari,2021,462,299,163,462,0
Putifigari,2023,470,300,170,470,0
Quartu Sant'Elena,2019,34441,29528,4913,34441,0
Quartu Sant'Elena,2021,34607,30979,3628,34607,0
Quartu Sant'Elena,2023,35015,31669,3346,35015,0
Quartucciu,2019,6087,5374,713,6087,0
Quartucciu,2021,6093,5448,645,6093,0
Quartucciu,2023,6164,5563,601,6164,0
Riola Sardo,2019,1255,905,350,1255,0
Riola Sardo,2021,1252,919,333,1252,0
Riola Sardo,2023,1275,934,341,1275,0
Romana,2019,395,230,165,395,0
Romana,2021,395,221,174,395,0
Romana,2023,395,217,178,395,0
Ruinas,2019,557,287,270,557,0
Ruinas,2021,558,282,276,558,0
Ruinas,2023,556,275,281,556,0
Sadali,2019,767,454,313,767,0
Sadali,2021,768,419,349,768,0
Sadali,2023,779,418,361,779,0
Sagama,2019,193,85,108,193,0
Sagama,2021,193,81,112,193,0
Sagama,2023,192,81,111,192,0
Samassi,2019,2339,1992,347,2339,0
Samassi,2021,2342,2023,319,2342,0
Samassi,2023,2372,2056,316,2372,0
Samatzai,2019,884,633,251,884,0
Samatzai,2021,886,637,249,886,0
Samatzai,2023,891,659,232,891,0
Samugheo,2019,1896,1240,656,1896,0
Samugheo,2021,1910,1199,711,1910,0
Samugheo,2023,1930,1208,722,1930,0
San Basilio,2019,675,486,189,675,0
San Basilio,2021,673,476,197,673,0
San Basilio,2023,684,474,210,684,0
San Gavino Monreale,2019,4248,3463,785,4248,0
San Gavino Monreale,2021,4267,3487,780,4267,0
San Gavino Monreale,2023,4298,3454,844,4298,0
San Giovanni Suergiu,2019,3475,2439,1036,3475,0
San Giovanni Suergiu,2021,3513,2440,1073,3513,0
San Giovanni Suergiu,2023,3639,2459,1180,3639,0
San Nicolò D'Arcidano,2019,1314,990,324,1314,0
San Nicolò D'Arcidano,2021,1317,1011,306,1317,0
San Nicolò D'Arcidano,2023,1344,1013,331,1344,0
San Nicolò Gerrei,2019,574,318,256,574,0
San Nicolò Gerrei,2021,579,320,259,579,0
San Nicolò Gerrei,2023,584,337,247,584,0
San Sperate,2019,3855,3451,404,3855,0
San Sperate,2021,3912,3530,382,3912,0
San Sperate,2023,4078,3676,402,4078,0
San Teodoro,2019,964,604,360,964,0
San Teodoro,2021,969,576,393,969,0
San Teodoro,2023,961,584,377,961,0
San Vero Milis,2019,3121,1173,1948,3121,0
San Vero Milis,2021,3126,1208,1918,3126,0
San Vero Milis,2023,3137,1237,1900,3137,0
San Vito,2019,2710,1600,1110,2710,0
San Vito,2021,2710,1590,1120,2710,0
San Vito,2023,2740,1602,1138,2740,0
Sanluri,2019,4120,3534,586,4120,0
Sanluri,2021,4140,3510,630,4140,0
Sanluri,2023,4220,3601,619,4220,0
Sant'Andrea Frius,2019,925,666,259,925,0
Sant'Andrea Frius,2021,925,675,250,925,0
Sant'Andrea Frius,2023,942,688,254,942,0
Sant'Anna Arresi,2019,2333,1177,1156,2333,0
Sant'Anna Arresi,2021,2373,1226,1147,2373,0
Sant'Anna Arresi,2023,2515,1252,1263,2515,0
Sant'Antioco,2019,7640,4972,2668,7640,0
Sant'Antioco,2021,7673,5030,2643,7673,0
Sant'Antioco,2023,7801,5082,2719,7801,0
Sant'Antonio Di Gallura,2019,965,642,323,965,0
Sant'Antonio Di Gallura,2021,967,637,330,967,0
Sant'Antonio Di Gallura,2023,987,647,340,987,0
Santa Giusta,2019,2153,1928,225,2153,0
Santa Giusta,2021,2164,1945,219,2164,0
Santa Giusta,2023,2201,1966,235,2201,0
Santa Maria Coghinas,2019,1098,666,432,1098,0
Santa Maria Coghinas,2021,1103,657,446,1103,0
Santa Maria Coghinas,2023,1112,663,449,1112,0
Santa Teresa Gallura,2019,9341,2661,6680,9341,0
Santa Teresa Gallura,2021,9336,2726,6610,9336,0
Santa Teresa Gallura,2023,9266,2774,6492,9266,0
Santadi,2019,2147,1407,740,2147,0
Santadi,2021,2149,1393,756,2149,0
Santadi,2023,2168,1397,771,2168,0
Santu Lussurgiu,2019,1800,966,834,1800,0
Santu Lussurgiu,2021,1797,977,820,1797,0
Santu Lussurgiu,2023,1810,985,825,1810,0
Sardara,2019,2090,1642,448,2090,0
Sardara,2021,2095,1624,471,2095,0
Sardara,2023,2129,1622,507,2129,0
Sarroch,2019,3184,2249,935,3184,0
Sarroch,2021,3185,2291,894,3185,0
Sarroch,2023,3192,2321,871,3192,0
Sarule,2019,948,695,253,948,0
Sarule,2021,950,688,262,950,0
Sarule,2023,957,670,287,957,0
Sassari,2019,64811,56598,8213,64811,0
Sassari,2021,64924,57218,7706,64924,0
Sassari,2023,65535,57467,8068,65535,0
Scano Di Montiferro,2019,1296,629,667,1296,0
Scano Di Montiferro,2021,1299,613,686,1299,0
Scano Di Montiferro,2023,1309,618,691,1309,0
Sedilo,2019,1376,901,475,1376,0
Sedilo,2021,1388,908,480,1388,0
Sedilo,2023,1393,901,492,1393,0
Sedini,2019,1007,611,396,1007,0
Sedini,2021,1009,609,400,1009,0
Sedini,2023,1013,599,414,1013,0
Segariu,2019,595,435,160,595,0
Segariu,2021,599,471,128,599,0
Segariu,2023,612,478,134,612,0
Selargius,2019,12761,12088,673,12761,0
Selargius,2021,12851,12329,522,12851,0
Selargius,2023,13111,12563,548,13111,0
Selegas,2019,727,523,204,727,0
Selegas,2021,728,501,227,728,0
Selegas,2023,735,511,224,735,0
Semestene,2019,237,80,157,237,0
Semestene,2021,237,81,156,237,0
Semestene,2023,237,77,160,237,0
Seneghe,2019,1139,721,418,1139,0
Seneghe,2021,1147,710,437,1147,0
Seneghe,2023,1158,702,456,1158,0
Senis,2019,350,206,144,350,0
Senis,2021,350,201,149,350,0
Senis,2023,351,192,159,351,0
Sennariolo,2019,203,84,119,203,0
Sennariolo,2021,206,77,129,206,0
Sennariolo,2023,210,79,131,210,0
Sennori,2019,3535,2758,777,3535,0
Sennori,2021,3546,2833,713,3546,0
Sennori,2023,3584,2897,687,3584,0
Senorbì,2019,2504,2025,479,2504,0
Senorbì,2021,2516,2047,469,2516,0
Senorbì,2023,2545,2067,478,2545,0
Serdiana,2019,1256,1004,252,1256,0
Serdiana,2021,1260,1063,197,1260,0
Serdiana,2023,1278,1082,196,1278,0
Serramanna,2019,4109,3668,441,4109,0
Serramanna,2021,4118,3666,452,4118,0
Serramanna,2023,4153,3664,489,4153,0
Serrenti,2019,2508,1951,557,2508,0
Serrenti,2021,2505,1934,571,2505,0
Serrenti,2023,2525,1950,575,2525,0
Serri,2019,469,290,179,469,0
Serri,2021,469,285,184,469,0
Serri,2023,467,290,177,467,0
Sestu,2019,9327,9063,264,9327,0
Sestu,2021,9761,9100,661,9761,0
Sestu,2023,9925,9300,625,9925,0
Settimo San Pietro,2019,2879,2653,226,2879,0
Settimo San Pietro,2021,2919,2740,179,2919,0
Settimo San Pietro,2023,3038,2821,217,3038,0
Setzu,2019,123,67,56,123,0
Setzu,2021,122,59,63,122,0
Setzu,2023,120,59,61,120,0
Seui,2019,1444,636,808,1444,0
Seui,2021,1441,613,828,1441,0
Seui,2023,1438,612,826,1438,0
Seulo,2019,762,434,328,762,0
Seulo,2021,762,451,311,762,0
Seulo,2023,764,443,321,764,0
Siamaggiore,2019,479,386,93,479,0
Siamaggiore,2021,480,383,97,480,0
Siamaggiore,2023,484,388,96,484,0
Siamanna,2019,458,335,123,458,0
Siamanna,2021,461,327,134,461,0
Siamanna,2023,465,329,136,465,0
Siapiccia,2019,197,142,55,197,0
Siapiccia,2021,196,142,54,196,0
Siapiccia,2023,200,145,55,200,0
Siddi,2019,439,264,175,439,0
Siddi,2021,438,257,181,438,0
Siddi,2023,442,252,190,442,0
Silanus,2019,1290,813,477,1290,0
Silanus,2021,1291,804,487,1291,0
Silanus,2023,1296,809,487,1296,0
Siligo,2019,695,412,283,695,0
Siligo,2021,695,414,281,695,0
Siligo,2023,703,397,306,703,0
Siliqua,2019,1849,1478,371,1849,0
Siliqua,2021,1857,1515,342,1857,0
Siliqua,2023,1870,1542,328,1870,0
Silius,2019,608,438,170,608,0
Silius,2021,608,421,187,608,0
Silius,2023,609,412,197,609,0
Simala,2019,295,146,149,295,0
Simala,2021,295,140,155,295,0
Simala,2023,295,146,149,295,0
Simaxis,2019,1145,922,223,1145,0
Simaxis,2021,1154,925,229,1154,0
Simaxis,2023,1171,920,251,1171,0
Sindia,2019,1203,704,499,1203,0
Sindia,2021,1224,715,509,1224,0
Sindia,2023,1222,716,506,1222,0
Sini,2019,429,225,204,429,0
Sini,2021,426,214,212,426,0
Sini,2023,432,216,216,432,0
Siniscola,2019,9250,5302,3948,9250,0
Siniscola,2021,9323,5335,3988,9323,0
Siniscola,2023,9588,5393,4195,9588,0
Sinnai,2019,9201,6680,2521,9201,0
Sinnai,2021,9256,6917,2339,9256,0
Sinnai,2023,9498,7094,2404,9498,0
Siris,2019,135,94,41,135,0
Siris,2021,135,92,43,135,0
Siris,2023,136,97,39,136,0
Siurgus Donigala,2019,1265,801,464,1265,0
Siurgus Donigala,2021,1266,803,463,1266,0
Siurgus Donigala,2023,1269,817,452,1269,0
Soddì,2019,113,51,62,113,0
Soddì,2021,113,56,57,113,0
Soddì,2023,116,56,60,116,0
Solarussa,2019,1322,1004,318,1322,0
Solarussa,2021,1323,1016,307,1323,0
Solarussa,2023,1347,1016,331,1347,0
Soleminis,2019,799,711,88,799,0
Soleminis,2021,806,731,75,806,0
Soleminis,2023,825,743,82,825,0
Sorgono,2019,1181,702,479,1181,0
Sorgono,2021,1184,693,491,1184,0
Sorgono,2023,1182,682,500,1182,0
Sorradile,2019,439,196,243,439,0
Sorradile,2021,438,194,244,438,0
Sorradile,2023,442,192,250,442,0
Sorso,2019,9825,6066,3759,9825,0
Sorso,2021,9834,6314,3520,9834,0
Sorso,2023,9858,6506,3352,9858,0
Stintino,2019,5127,915,4212,5127,0
Stintino,2021,5139,901,4238,5139,0
Stintino,2023,5160,923,4237,5160,0
Suelli,2019,592,435,157,592,0
Suelli,2021,603,459,144,603,0
Suelli,2023,603,469,134,603,0
Suni,2019,833,482,351,833,0
Suni,2021,838,489,349,838,0
Suni,2023,842,482,360,842,0
Tadasuni,2019,160,79,81,160,0
Tadasuni,2021,160,76,84,160,0
Tadasuni,2023,160,71,89,160,0
Talana,2019,647,480,167,647,0
Talana,2021,654,479,175,654,0
Talana,2023,670,486,184,670,0
Telti,2019,1301,952,349,1301,0
Telti,2021,1311,1013,298,1311,0
Telti,2023,1349,1005,344,1349,0
Tempio Pausania,2019,8946,5674,3272,8946,0
Tempio Pausania,2021,8946,5685,3261,8946,0
Tempio Pausania,2023,8994,5691,3303,8994,0
Tergu,2019,429,272,157,429,0
Tergu,2021,429,292,137,429,0
Tergu,2023,441,294,147,441,0
Terralba,2019,5621,4075,1546,5621,0
Terralba,2021,5646,4056,1590,5646,0
Terralba,2023,5685,4094,1591,5685,0
Tertenia,2019,3535,1878,1657,3535,0
Tertenia,2021,3550,1912,1638,3550,0
Tertenia,2023,3614,1952,1662,3614,0
Teti,2019,451,298,153,451,0
Teti,2021,452,298,154,452,0
Teti,2023,457,295,162,457,0
Teulada,2019,3105,1588,1517,3105,0
Teulada,2021,3126,1601,1525,3126,0
Teulada,2023,3179,1615,1564,3179,0
Thiesi,2019,1864,1207,657,1864,0
Thiesi,2021,1861,1237,624,1861,0
Thiesi,2023,1875,1208,667,1875,0
Tiana,2019,438,219,219,438,0
Tiana,2021,438,217,221,438,0
Tiana,2023,440,216,224,440,0
Tinnura,2019,207,109,98,207,0
Tinnura,2021,206,110,96,206,0
Tinnura,2023,207,116,91,207,0
Tissi,2019,1116,996,120,1116,0
Tissi,2021,1116,1024,92,1116,0
Tissi,2023,1134,1020,114,1134,0
Tonara,2019,1641,888,753,1641,0
Tonara,2021,1638,868,770,1638,0
Tonara,2023,1660,868,792,1660,0
Torpè,2019,1899,1209,690,1899,0
Torpè,2021,1928,1257,671,1928,0
Torpè,2023,1995,1263,732,1995,0
Torralba,2019,684,414,270,684,0
Torralba,2021,685,422,263,685,0
Torralba,2023,687,417,270,687,0
Tortolì,2019,7420,4971,2449,7420,0
Tortolì,2021,7464,5169,2295,7464,0
Tortolì,2023,7606,5296,2310,7606,0
Tramatza,2019,569,390,179,569,0
Tramatza,2021,571,404,167,571,0
Tramatza,2023,584,410,174,584,0
Tratalias,2019,871,424,447,871,0
Tratalias,2021,874,434,440,874,0
Tratalias,2023,880,437,443,880,0
Tresnuraghes,2019,1617,544,1073,1617,0
Tresnuraghes,2021,1617,537,1080,1617,0
Tresnuraghes,2023,1608,537,1071,1608,0
Triei,2019,673,517,156,673,0
Triei,2021,675,506,169,675,0
Triei,2023,849,506,343,849,0
Trinità D'Agultu E Vignola,2019,6318,1104,5214,6318,0
Trinità D'Agultu E Vignola,2021,6356,1174,5182,6356,0
Trinità D'Agultu E Vignola,2023,6377,1202,5175,6377,0
Tuili,2019,679,442,237,679,0
Tuili,2021,676,432,244,676,0
Tuili,2023,674,431,243,674,0
Tula,2019,901,585,316,901,0
Tula,2021,904,629,275,904,0
Tula,2023,910,623,287,910,0
Turri,2019,335,203,132,335,0
Turri,2021,335,191,144,335,0
Turri,2023,337,192,145,337,0
Ulassai,2019,1094,751,343,1094,0
Ulassai,2021,1095,742,353,1095,0
Ulassai,2023,1107,763,344,1107,0
Ulà Tirso,2019,475,240,235,475,0
Ulà Tirso,2021,476,228,248,476,0
Ulà Tirso,2023,479,226,253,479,0
Uras,2019,1627,1191,436,1627,0
Uras,2021,1629,1148,481,1629,0
Uras,2023,1646,1165,481,1646,0
Uri,2019,1475,1139,336,1475,0
Uri,2021,1478,1204,274,1478,0
Uri,2023,1494,1219,275,1494,0
Urzulei,2019,734,540,194,734,0
Urzulei,2021,732,525,207,732,0
Urzulei,2023,739,506,233,739,0
Usellus,2019,579,358,221,579,0
Usellus,2021,582,352,230,582,0
Usellus,2023,577,349,228,577,0
Usini,2019,1987,1654,333,1987,0
Usini,2021,1999,1712,287,1999,0
Usini,2023,2025,1745,280,2025,0
Ussana,2019,1800,1603,197,1800,0
Ussana,2021,1810,1648,162,1810,0
Ussana,2023,1838,1672,166,1838,0
Ussaramanna,2019,371,222,149,371,0
Ussaramanna,2021,370,218,152,370,0
Ussaramanna,2023,374,225,149,374,0
Ussassai,2019,639,273,366,639,0
Ussassai,2021,641,254,387,641,0
Ussassai,2023,646,249,397,646,0
Uta,2019,3757,3437,320,3757,0
Uta,2021,3806,3598,208,3806,0
Uta,2023,3954,3791,163,3954,0
Valledoria,2019,5032,1983,3049,5032,0
Valledoria,2021,5066,2106,2960,5066,0
Valledoria,2023,5165,2166,2999,5165,0
Vallermosa,2019,988,733,255,988,0
Vallermosa,2021,989,778,211,989,0
Vallermosa,2023,1003,774,229,1003,0
Viddalba,2019,1297,740,557,1297,0
Viddalba,2021,1298,766,532,1298,0
Viddalba,2023,1345,752,593,1345,0
Villa San Pietro,2019,1131,875,256,1131,0
Villa San Pietro,2021,1141,914,227,1141,0
Villa San Pietro,2023,1160,927,233,1160,0
Villa Sant'Antonio,2019,290,162,128,290,0
Villa Sant'Antonio,2021,290,158,132,290,0
Villa Sant'Antonio,2023,290,160,130,290,0
Villa Verde,2019,291,143,148,291,0
Villa Verde,2021,291,139,152,291,0
Villa Verde,2023,289,133,156,289,0
Villacidro,2019,6488,5395,1093,6488,0
Villacidro,2021,6531,5512,1019,6531,0
Villacidro,2023,6596,5536,1060,6596,0
Villagrande Strisaili,2019,1930,1291,639,1930,0
Villagrande Strisaili,2021,1950,1324,626,1950,0
Villagrande Strisaili,2023,1992,1314,678,1992,0
Villamar,2019,1467,1057,410,1467,0
Villamar,2021,1466,1059,407,1466,0
Villamar,2023,1457,1054,403,1457,0
Villamassargia,2019,1822,1401,421,1822,0
Villamassargia,2021,1827,1426,401,1827,0
Villamassargia,2023,1848,1417,431,1848,0
Villanova Monteleone,2019,1564,944,620,1564,0
Villanova Monteleone,2021,1562,950,612,1562,0
Villanova Monteleone,2023,1569,942,627,1569,0
Villanova Truschedu,2019,210,138,72,210,0
Villanova Truschedu,2021,207,135,72,207,0
Villanova Truschedu,2023,208,139,69,208,0
Villanova Tulo,2019,722,496,226,722,0
Villanova Tulo,2021,725,466,259,725,0
Villanova Tulo,2023,730,467,263,730,0
Villanovaforru,2019,446,270,176,446,0
Villanovaforru,2021,446,261,185,446,0
Villanovaforru,2023,441,280,161,441,0
Villanovafranca,2019,941,527,414,941,0
Villanovafranca,2021,940,540,400,940,0
Villanovafranca,2023,943,542,401,943,0
Villaperuccio,2019,669,457,212,669,0
Villaperuccio,2021,709,435,274,709,0
Villaperuccio,2023,719,447,272,719,0
Villaputzu,2019,3379,2058,1321,3379,0
Villaputzu,2021,3393,2109,1284,3393,0
Villaputzu,2023,3443,2109,1334,3443,0
Villasalto,2019,1055,482,573,1055,0
Villasalto,2021,1056,475,581,1056,0
Villasalto,2023,1051,461,590,1051,0
Villasimius,2019,6361,1867,4494,6361,0
Villasimius,2021,6398,1893,4505,6398,0
Villasimius,2023,6482,1941,4541,6482,0
Villasor,2019,3202,2710,492,3202,0
Villasor,2021,3215,2688,527,3215,0
Villasor,2023,3282,2735,547,3282,0
Villaspeciosa,2019,1152,1024,128,1152,0
Villaspeciosa,2021,1168,1060,108,1168,0
Villaspeciosa,2023,1205,1111,94,1205,0
Villaurbana,2019,979,661,318,979,0
Villaurbana,2021,986,645,341,986,0
Villaurbana,2023,988,657,331,988,0
Zeddiani,2019,640,472,168,640,0
Zeddiani,2021,655,489,166,655,0
Zeddiani,2023,656,487,169,656,0
Zerfaliu,2019,585,426,159,585,0
Zerfaliu,2021,587,439,148,587,0
Zerfaliu,2023,601,426,175,601,0
