Comune,Superficie_kmq
Modolo,"2,616"
Tinnura,"3,827"
Boroneddu,"4,719"
Borutta,"4,725"
Tadasuni,"5,150"
Pompu,"5,383"
Soddì,"5,493"
Baradili,"5,638"
Baratili San Pietro,"6,002"
Siris,"6,069"
Monserrato,"6,514"
Flussio,"6,716"
Curcuris,"7,208"
Genuri,"7,714"
Setzu,"7,747"
Lodine,"7,803"
Gonnoscodina,"8,836"
Sini,"8,852"
Magomadas,"9,034"
Albagiara,"9,170"
Turri,"9,423"
Ussaramanna,"9,546"
Tissi,"10,220"
Villanovaforru,"10,770"
Elini,"11,015"
Las Plassas,"11,078"
Siddi,"11,187"
Barrali,"11,218"
Muros,"11,457"
Bidonì,"11,775"
Cargeghe,"11,835"
Sagama,"11,850"
Zeddiani,"12,052"
Baressa,"12,537"
Soleminis,"12,875"
Girasole,"13,100"
Nureci,"13,127"
Siamaggiore,"13,132"
Simala,"13,346"
Monteleone Rocca Doria,"13,542"
Pau,"13,882"
Elmas,"14,008"
Escolca,"14,778"
Pimentel,"15,147"
Pauli Arbarei,"15,291"
Gonnosnò,"15,404"
Zerfaliu,"15,751"
Sennariolo,"15,838"
Nurachi,"16,042"
Senis,"16,238"
Assolo,"16,337"
Villanova Truschedu,"16,618"
Guamaggiore,"16,780"
Piscinas,"16,815"
Lotzorai,"16,898"
Tramatza,"16,948"
Segariu,"17,068"
Mogorella,"17,250"
Birori,"17,269"
Villa Verde,"17,679"
Gonnostramatza,"17,795"
Siapiccia,"17,831"
Burgos,"18,045"
Belvì,"18,286"
Esporlatu,"18,497"
Mara,"18,646"
Villa Sant'Antonio,"18,693"
Masullas,"18,709"
Goni,"18,710"
Milis,"18,795"
Lei,"18,969"
Tiana,"19,063"
Serri,"19,101"
Ulà Tirso,"19,183"
Suelli,"19,283"
Loceri,"19,431"
Nuragus,"19,476"
Laerru,"20,168"
Selegas,"20,288"
Musei,"20,521"
Ardauli,"20,564"
Collinas,"20,668"
Lunamatrona,"20,776"
Asuni,"21,328"
Banari,"21,362"
Romana,"21,393"
Bulzi,"21,534"
Ollastra,"21,623"
Bonnanaro,"21,990"
Ales,"22,204"
Martis,"22,874"
Settimo San Pietro,"23,085"
Dualchi,"23,224"
Santa Maria Coghinas,"23,413"
Ittireddu,"23,740"
Ortacesus,"23,807"
Masainas,"23,886"
Bauladu,"23,900"
Tuili,"24,449"
Cheremule,"24,677"
Valledoria,"25,374"
Gesico,"25,694"
Furtei,"25,808"
Osidda,"26,000"
Barumini,"26,173"
San Sperate,"26,214"
Norbello,"26,280"
Sorradile,"26,483"
Bessude,"26,544"
Selargius,"26,676"
Noragugume,"26,677"
Ollolai,"27,058"
Villaspeciosa,"27,063"
Allai,"27,481"
Villanovafranca,"27,724"
Simaxis,"27,735"
Quartucciu,"27,749"
Decimomannu,"27,995"
Bonarcado,"28,186"
San Nicolò d'Arcidano,"28,223"
Siamanna,"28,345"
Nughedu Santa Vittoria,"28,519"
Perdaxius,"29,692"
Ossi,"30,137"
Giba,"30,255"
Ruinas,"30,585"
Usini,"30,606"
Codrongianos,"30,617"
Ilbono,"30,694"
Tratalias,"30,975"
Sennori,"31,103"
Calasetta,"31,213"
Samatzai,"31,293"
Tresnuraghes,"31,400"
Badesi,"31,463"
Montresta,"31,467"
Solarussa,"31,765"
Monastir,"31,915"
Ussana,"32,800"
Triei,"32,849"
Posada,"33,086"
Cardedu,"33,459"
Olmedo,"33,719"
Bottidda,"33,981"
Senorbì,"34,729"
Nurallao,"34,882"
Usellus,"35,117"
Donori,"35,401"
Oniferi,"35,741"
Atzara,"35,952"
Sant'Andrea Frius,"36,098"
Gergei,"36,219"
Torralba,"36,339"
Florinas,"36,371"
Villaperuccio,"36,698"
Tergu,"36,725"
Sant'Anna Arresi,"36,726"
Anela,"36,781"
Golfo Aranci,"37,270"
Pabillonis,"37,608"
Bari Sardo,"37,625"
Gavoi,"38,142"
Ardara,"38,173"
Loculi,"38,205"
Villamar,"38,207"
Silius,"38,347"
Portoscuso,"38,470"
Ortueri,"38,791"
Cossoine,"39,008"
Fordongianus,"39,100"
Uras,"39,267"
Erula,"39,370"
Palmas Arborea,"39,451"
Semestene,"39,488"
Osini,"39,550"
Abbasanta,"39,816"
Villa San Pietro,"40,276"
Tortolì,"40,416"
Narbolia,"40,458"
Sedini,"40,527"
Villanova Tulo,"40,731"
Ovodda,"40,845"
Aidomaggiore,"41,236"
Samassi,"42,121"
Borore,"42,640"
Serrenti,"42,806"
Siligo,"43,186"
Guasila,"43,325"
Onifai,"43,392"
Genoni,"43,470"
Gadoni,"43,691"
Castelsardo,"43,788"
Teti,"44,134"
San Basilio,"44,561"
Decimoputzu,"44,663"
Palau,"44,722"
Mandas,"44,860"
Nuraminis,"45,107"
Morgongiori,"45,119"
Ottana,"45,342"
Ballao,"46,108"
Gesturi,"46,929"
