Comune,Superficie_kmq
Giave,"46,993"
Suni,"47,301"
Ussassai,"47,430"
Neoneli,"47,769"
Riola Sardo,"47,938"
Silanus,"48,151"
Gonnesa,"48,321"
Buggerru,"48,323"
Sestu,"48,367"
Padria,"48,483"
Mogoro,"48,778"
Mamoiada,"49,119"
Sadali,"49,340"
Terralba,"49,734"
Viddalba,"50,366"
Austis,"50,748"
Carloforte,"51,041"
Nule,"51,678"
Tonara,"52,217"
Sarule,"52,541"
Putifigari,"52,894"
La Maddalena,"52,963"
Lanusei,"53,025"
Ghilarza,"54,779"
Armungia,"55,243"
Serdiana,"55,448"
Sorgono,"55,987"
Budoni,"56,222"
Galtellì,"56,245"
Sardara,"56,316"
Uri,"56,764"
Illorai,"57,297"
Seneghe,"57,809"
Villasimius,"58,173"
Villaurbana,"58,733"
Sindia,"58,819"
Busachi,"58,910"
Seulo,"59,068"
Stintino,"59,093"
Scano di Montiferro,"60,465"
Perfugas,"60,924"
Marrubiu,"61,384"
Orotelli,"61,467"
Vallermosa,"61,567"
Nuxis,"61,642"
Thiesi,"63,114"
San Nicolò Gerrei,"63,285"
Tula,"66,278"
Sorso,"67,006"
Bortigali,"67,320"
Nulvi,"67,466"
Nughedu San Nicolò,"67,512"
Isili,"67,716"
Sarroch,"68,327"
Capoterra,"68,327"
Sedilo,"68,519"
Santa Giusta,"69,453"
Olzai,"69,684"
San Giovanni Suergiu,"72,145"
Onanì,"72,265"
San Vero Milis,"72,376"
Meana Sardo,"73,562"
Nurri,"73,929"
Desulo,"74,491"
Bono,"74,570"
Aritzo,"75,183"
Irgoli,"75,192"
Bortigiadas,"75,668"
Orroli,"75,919"
Siurgus Donigala,"76,120"
Gairo,"77,953"
Perdasdefogu,"78,090"
Pozzomaggiore,"78,849"
Domusnovas,"79,929"
Sant'Antonio di Gallura,"81,303"
Samugheo,"81,530"
Telti,"83,358"
Serramanna,"83,934"
Sanluri,"84,144"
Dolianova,"84,404"
Oristano,"84,570"
Cagliari,"84,916"
Narcao,"85,327"
Aggius,"86,445"
Villasor,"86,793"
San Gavino Monreale,"87,522"
Luras,"88,200"
Sant'Antioco,"88,676"
Orosei,"90,981"
Villamassargia,"91,426"
Torpè,"92,360"
Escalaplano,"93,759"
Muravera,"93,816"
Benetutti,"94,066"
Arborea,"94,668"
Mores,"94,698"
Burcei,"94,845"
Ploaghe,"95,762"
Quartu Sant'Elena,"96,155"
Bultei,"96,899"
Domus de Maria,"97,732"
Osilo,"97,741"
Chiaramonti,"98,687"
Santu Lussurgiu,"99,907"
Esterzili,"101,056"
Maracalagonis,"101,910"
Cabras,"101,983"
Jerzu,"102,246"
Santa Teresa Gallura,"103,396"
Castiadas,"104,030"
Paulilatino,"104,326"
Porto Torres,"104,514"
San Teodoro,"105,042"
Fluminimaggiore,"108,336"
Bolotana,"108,415"
Fonni,"111,944"
Ittiri,"111,976"
Santadi,"116,144"
Tertenia,"117,726"
Assemini,"118,322"
Loiri Porto San Paolo,"118,516"
Talana,"118,701"
Cuglieri,"120,214"
Ulassai,"122,361"
Macomer,"122,658"
Lodè,"122,984"
Monti,"123,717"
Laconi,"124,646"
Gonnosfanadiga,"125,011"
Calangianus,"126,989"
Orune,"128,249"
Bosa,"128,395"
Urzulei,"129,632"
Orani,"129,949"
Villasalto,"130,342"
Trinità d'Agultu e Vignola,"134,092"
Uta,"134,560"
Luogosanto,"134,812"
Pula,"138,805"
Carbonia,"146,006"
Seui,"147,781"
Lula,"148,352"
Aglientu,"148,358"
Bonorva,"149,226"
Padru,"158,056"
Arzana,"162,755"
Pattada,"164,531"
Oliena,"166,001"
Guspini,"175,298"
Buddusò,"176,695"
Villaputzu,"180,687"
Villacidro,"183,509"
Siliqua,"189,783"
Nuoro,"192,395"
Siniscola,"196,825"
Alà dei Sardi,"197,510"
Berchidda,"202,262"
Villanova Monteleone,"202,600"
Iglesias,"208,230"
Villagrande Strisaili,"210,239"
Tempio Pausania,"210,556"
Baunei,"212,110"
Oschiri,"215,496"
Bitti,"215,633"
Orgosolo,"222,527"
Sinnai,"224,089"
Alghero,"225,428"
Dorgali,"226,456"
Arzachena,"231,320"
San Vito,"231,601"
Teulada,"246,566"
Ozieri,"252,765"
Arbus,"269,273"
Olbia,"385,439"
Sassari,"547,317"
