"anno","provincia","comune","mese","macro_tipologia","provenienza","arrivi","presenze"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Campania","36","138"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Puglia","30","143"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Basilicata","4","7"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Calabria","8","22"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Sicilia","25","77"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Sardegna","208","485"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Bolzano","2","2"
"2022","Città metropolitana Cagliari","ASSEMINI","10","Non disponibile","Trento","1","3"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Francia","7","34"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Spagna","3","26"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Belgio","1","3"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Svizzera (incluso Liechtenstein)","2","2"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Austria","3","6"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Repubblica Ceca","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Slovacchia","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Ungheria","2","10"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Romania","12","61"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Slovenia","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Croazia","1","4"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Altri Paesi Centro - Sud America","1","2"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Altri Paesi Asia Occidentale","2","4"
"2022","Città metropolitana Cagliari","ASSEMINI","11","Non disponibile","Piemonte","56","150"
